#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	1639534	1649140	IR	982	.	1644337	0.982	0.984	758	14330	1639534	1643854	1644820	1649152	71318266	1443346	1693346	758	3349	4320	966	immediate
SUPER_1	19095120	19102692	IR	980	.	19098906	0.980	0.997	724	8425	19095120	19098415	19099397	19102698	71318266	18941176	19191176	724	2628	3295	982	immediate
SUPER_1	21940558	21948667	IR	978	.	21944650	0.978	0.955	651	8842	21940558	21944104	21945196	21948667	71318266	21818657	22068657	660	2099	3471	1092	immediate
SUPER_1	23917931	23928539	IR	962	.	23923235	0.962	0.994	965	11584	23917931	23922652	23923818	23928547	71318266	23718657	23968657	965	3409	4721	1166	immediate
SUPER_1	39068196	39090347	IR	912	.	39079272	0.912	0.989	1811	24420	39068196	39077871	39080673	39090347	71318266	38869855	39119855	1811	3490	9674	2802	spaced
SUPER_1	31330823	31363316	IR	796	.	31346955	0.796	0.977	2259	80017	31330823	31343151	31350988	31363367	71318266	31227055	31477055	2265	2000	12328	7837	spaced
SUPER_1	35524960	35566940	IR	795	.	35545733	0.795	0.989	2723	77214	35524960	35539098	35552838	35566940	71318266	35469855	35719855	2716	1268	14102	13740	spaced
SUPER_1	22323053	22330918	IR	776	.	22326986	0.776	0.989	605	8479	22323053	22326454	22327518	22330918	71318266	22118657	22368657	634	3472	3400	1064	immediate
SUPER_1	13468490	13470324	IR	737	.	13469407	0.737	0.991	117	43839	13468490	13469150	13469665	13470324	71318266	13375930	13625930	118	1557	659	515	immediate
SUPER_1	21774430	21777982	IR	733	.	21776207	0.733	0.971	157	3843	21774430	21775772	21776642	21777982	71318266	21685102	21818457	157	1518	1340	870	immediate
SUPER_1	22365957	22368037	IR	725	.	22366997	0.725	0.973	95	2335	22365957	22366651	22367343	22368038	71318266	22168657	22418657	95	3305	694	692	immediate
SUPER_1	64396206	64399006	IR	676	.	64397610	0.676	0.951	149	3067	64396206	64397309	64397903	64399036	71318266	64152474	64402474	149	4085	1103	594	immediate
SUPER_1	31783795	31789203	IR	648	.	31786499	0.648	0.944	337	5902	31783795	31785778	31787220	31789291	71318266	31627055	31877055	340	2657	1983	1442	immediate
SUPER_1	71212769	71220512	IR	622	.	71216641	0.622	0.886	109	9847	71212769	71215981	71217301	71220512	71318266	71033534	71283534	109	3051	3211	1320	immediate
SUPER_1	52448440	52455336	IR	617	.	52451901	0.617	0.973	443	7739	52448440	52451109	52452693	52455336	71318266	52236141	52486141	443	3595	2643	1584	immediate
SUPER_1	66791293	66793686	IR	558	.	66792516	0.558	0.911	116	2650	66791293	66792212	66792824	66793686	71318266	66574309	66824309	116	3636	862	612	immediate
SUPER_1	65832012	65896922	IR	556	.	65864467	0.556	0.500	478	67374	65832012	65863616	65865318	65897004	71318266	65674309	65924309	478	3169	31604	1702	immediate
SUPER_1	7055940	7060499	IR	556	.	7057999	0.556	0.850	34	4804	7055940	7056665	7059796	7060499	71318266	7042841	7292841	34	256	703	3131	spaced
SUPER_1	44928115	44930167	IR	553	.	44929142	0.553	0.991	123	2183	44928115	44928777	44929507	44930167	71318266	44717752	44967752	123	3523	660	730	immediate
SUPER_1	68675414	68678425	IR	552	.	68676920	0.552	0.950	107	3247	68675414	68676627	68677212	68678427	71318266	68471455	68721455	107	3424	1213	585	immediate
SUPER_1	50392016	50404751	IR	541	.	50398577	0.541	0.987	794	13878	50392016	50396704	50400065	50404751	71318266	50186141	50436141	794	3537	4686	3361	spaced
SUPER_1	8055703	8058824	IR	541	.	8057264	0.541	0.910	94	3788	8055703	8056885	8057642	8058863	71318266	7919297	8169297	94	2299	1182	757	immediate
SUPER_1	65992386	66035735	IR	493	.	66014545	0.493	0.544	268	43265	65992386	66007696	66020489	66035735	71318266	65874309	66124309	0	2329	15246	12793	spaced
SUPER_1	1546474	1584846	IR	488	.	1565442	0.488	0.959	578	39535	1546474	1551106	1580274	1584846	71318266	1343346	1593346	584	3705	4572	29168	spaced
SUPER_1	59203460	59204470	IR	487	.	59203981	0.487	0.857	23	8369	59203460	59203715	59204215	59204502	71318266	59170110	59420110	23	564	255	500	immediate
SUPER_1	33416339	33485625	IR	474	.	33450687	0.474	0.909	2094	69269	33416339	33437509	33464466	33485625	71318266	33410255	33660255	0	678	21159	26957	spaced
SUPER_1	13784983	13785609	IR	473	.	13785296	0.473	0.986	40	99519	13784983	13785202	13785390	13785609	71318266	13675930	13925930	40	1822	219	188	immediate
SUPER_1	27846970	27850732	IR	469	.	27848854	0.469	0.868	71	3877	27846970	27848221	27849488	27850732	71318266	27618657	27868657	71	3836	1244	1267	immediate
SUPER_1	35012135	35157163	IR	467	.	35084483	0.467	0.991	2245	157340	35012135	35023872	35145426	35157177	71318266	34919855	35169855	2261	2746	11737	121554	wide
SUPER_1	35866007	35959397	IR	462	.	35912683	0.462	0.989	1604	98802	35866007	35873976	35951464	35959397	71318266	35769855	36019855	1606	2380	7933	77488	spaced
SUPER_1	5568178	5697869	IR	458	.	5632996	0.458	0.778	20	129643	5568178	5568220	5697827	5697881	71318266	5492841	5742841	128	2336	42	129607	wide
SUPER_1	30974972	31107227	IR	455	.	31041063	0.455	0.991	2444	203607	30974972	30987797	31094402	31107240	71318266	30927055	31177055	2461	1900	12825	106605	wide
SUPER_1	61849812	61853910	IR	451	.	61851861	0.451	0.997	247	4484	61849812	61850961	61852761	61853910	71318266	61670110	61920110	247	3029	1149	1800	immediate
SUPER_1	25399628	25403448	IR	447	.	25401542	0.447	0.889	22	125920	25399628	25400199	25402890	25403448	71318266	25268657	25518657	22	2214	558	2691	spaced
SUPER_1	18293636	18300228	IR	446	.	18296932	0.446	0.945	224	7602	18293636	18296687	18297178	18300228	71318266	18091930	18341930	224	3416	3050	491	immediate
SUPER_1	5554930	5556955	IR	446	.	5555944	0.446	0.945	95	2738	5554930	5555772	5556116	5556955	71318266	5342841	5592841	95	3551	839	344	immediate
SUPER_1	45474868	45478644	IR	446	.	45476756	0.446	0.870	74	3985	45474868	45476302	45477210	45478648	71318266	45267752	45517752	74	3483	1434	908	immediate
SUPER_1	66201689	66213911	IR	442	.	66207800	0.442	0.941	435	13727	66201689	66207025	66208576	66213911	71318266	66024309	66274309	435	3058	5335	1551	immediate
SUPER_1	47421034	47424990	IR	441	.	47423012	0.441	0.873	73	5410	47421034	47422585	47423439	47425012	71318266	47267752	47517752	73	2587	1551	854	immediate
SUPER_1	68356718	68358576	IR	440	.	68357654	0.440	0.914	69	2144	68356718	68357519	68357789	68358576	71318266	68171455	68421455	69	3103	787	270	immediate
SUPER_1	28087193	28089293	IR	431	.	28088454	0.431	0.873	230	7044	28087193	28087373	28089118	28089293	71318266	27868657	28118657	7	3659	175	1745	immediate
SUPER_1	62677233	62797722	IR	429	.	62737981	0.429	0.263	30	120451	62677233	62677323	62797684	62797722	71318266	62570110	62820110	0	2789	38	120361	wide
SUPER_1	44433012	44541446	IR	427	.	44487486	0.427	0.635	134	108435	44433012	44441065	44533393	44541465	71318266	44317752	44567752	0	2824	8053	92328	spaced
SUPER_1	36022721	36138949	IR	421	.	36080399	0.421	0.949	2322	116210	36022721	36040183	36121501	36138949	71318266	35919855	36169855	0	2682	17448	81318	spaced
SUPER_1	12493810	12506538	IR	419	.	12500247	0.419	0.939	383	13620	12493810	12497515	12502885	12506538	71318266	12346308	12596308	383	2564	3653	5370	spaced
SUPER_1	58323814	58409336	IR	408	.	58366947	0.408	0.519	41	85470	58323814	58323866	58409284	58409382	71318266	58270110	58520110	0	1607	52	85418	spaced
SUPER_1	70432485	70457662	IR	405	.	70444671	0.405	0.457	26	16025	70432485	70444761	70445386	70457692	71318266	70233534	70483534	0	3525	12276	625	immediate
SUPER_1	41325612	41487036	IR	404	.	41405941	0.404	0.924	235	161467	41325612	41328668	41483980	41487106	71318266	41267752	41517752	0	2309	3056	155312	wide
SUPER_1	39319982	39322783	IR	397	.	39321405	0.397	0.814	20	3073	39319982	39320486	39322324	39322783	71318266	39272197	39522197	20	819	459	1838	immediate
SUPER_1	35392743	35523275	IR	396	.	35458301	0.396	0.969	2622	130347	35392743	35410957	35505061	35523279	71318266	35319855	35569855	0	2302	18214	94104	spaced
SUPER_1	5549158	5553184	IR	396	.	5551171	0.396	0.886	97	4951	5549158	5550256	5552086	5553192	71318266	5442841	5692841	97	1805	1098	1830	immediate
SUPER_1	45207022	45207384	IR	394	.	45207203	0.394	0.910	31	5467	45207022	45207145	45207261	45207394	71318266	45167752	45417752	75	657	123	116	immediate
SUPER_1	34260265	34410284	IR	393	.	34335602	0.393	0.994	291	149995	34260265	34262087	34408462	34410284	71318266	34260255	34510255	0	1250	1822	146375	wide
SUPER_1	61069281	61157188	IR	392	.	61112992	0.392	0.982	70	87986	61069281	61069733	61156736	61157188	71318266	60970110	61220110	70	2385	452	87003	spaced
SUPER_1	70502851	70584918	IR	388	.	70543722	0.388	0.884	57	82922	70502851	70503897	70583873	70584918	71318266	70383534	70633534	57	2672	1045	79976	spaced
SUPER_1	38814389	38918468	IR	388	.	38866143	0.388	0.914	34	104061	38814389	38814459	38918404	38918468	71318266	38669855	38919855	0	3276	64	103945	wide
SUPER_1	4807110	4810855	IR	387	.	4808983	0.387	0.952	101	3943	4807110	4808259	4809706	4810857	71318266	4593346	4843346	101	3593	1149	1447	immediate
SUPER_1	64392514	64395211	IR	386	.	64393908	0.386	0.825	61	2848	64392514	64393624	64394191	64395211	71318266	64152474	64402474	62	4023	1020	567	immediate
SUPER_1	32716685	32857361	IR	384	.	32786625	0.384	0.798	1570	139778	32716685	32737541	32836525	32857361	71318266	32710255	32960255	0	1279	20836	98984	spaced
SUPER_1	2337035	2337109	IR	384	.	2336890	0.384	0.980	27	146183	2337035	2337086	2337059	2337109	71318266	2193346	2443346	574	2395	50	-27	overlap
SUPER_1	2337033	2337095	IR	384	.	2336890	0.384	0.872	27	146183	2337033	2337074	2337054	2337101	71318266	2243346	2493346	371	1561	41	-20	overlap
SUPER_1	7995724	7997719	IR	384	.	7996729	0.384	0.886	27	2012	7995724	7996296	7997163	7997719	71318266	7769297	8019297	27	3790	556	867	immediate
SUPER_1	49755124	49782148	IR	381	.	49768994	0.381	0.392	52	27006	49755124	49768476	49768811	49782148	71318266	49536141	49786141	0	3874	13337	335	immediate
SUPER_1	26079786	26082482	IR	380	.	26081140	0.380	0.922	70	2757	26079786	26080357	26081911	26082483	71318266	25918657	26168657	70	2707	571	1554	immediate
SUPER_1	38303318	38448542	IR	376	.	38375640	0.376	0.906	67	145207	38303318	38304850	38447010	38448546	71318266	38219855	38469855	0	2601	1532	142160	wide
SUPER_1	64173226	64175926	IR	375	.	64174577	0.375	0.960	116	2839	64173226	64174101	64175058	64175926	71318266	63952474	64202474	116	3701	868	957	immediate
SUPER_1	38003132	38136798	IR	373	.	38069521	0.373	0.426	190	133375	38003132	38062407	38077523	38136809	71318266	37919855	38169855	0	2501	59275	15116	spaced
SUPER_1	20683786	20686660	IR	373	.	20685223	0.373	0.992	93	2992	20683786	20684297	20686149	20686660	71318266	20635763	20885763	93	824	511	1852	immediate
SUPER_1	62073362	62127390	IR	371	.	62100822	0.371	0.920	62	54034	62073362	62074329	62126423	62127421	71318266	62020110	62270110	0	1337	967	52094	spaced
SUPER_1	36891898	36896731	IR	370	.	36894321	0.370	0.881	267	5318	36891898	36893919	36894737	36896731	71318266	36869855	37119855	268	407	1994	818	immediate
SUPER_1	20202980	20297049	IR	369	.	20249751	0.369	0.370	39	94085	20202980	20249526	20250503	20297115	71318266	20122318	20331119	0	2128	46546	977	immediate
SUPER_1	33956246	34008768	IR	367	.	33982497	0.367	0.795	2727	101577	33956246	33979824	33985190	34008833	71318266	33910255	34160255	2729	1204	23578	5366	spaced
SUPER_1	63429334	63641190	IR	365	.	63535383	0.365	0.657	43	211842	63429334	63429404	63641144	63641190	71318266	63416504	63666504	549	1979	46	211740	wide
