#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	1245325	1248425	IR	974	.	1246875	0.974	1.000	301	97403	1245325	1246616	1247134	1248425	23856256	1100000	1350000	301	2447	1291	518	immediate
SUPER_1	14701550	14706951	IR	757	.	14704254	0.757	0.987	399	5796	14701550	14703674	14704834	14706951	23856256	14500000	14750000	399	3404	2117	1160	immediate
SUPER_1	11654910	11666026	IR	733	.	11660489	0.733	0.560	167	12270	11654910	11660264	11660714	11666026	23856256	11650000	11900000	167	174	5312	450	immediate
SUPER_1	9199325	9201327	IR	670	.	9200326	0.670	1.000	110	2101	9199325	9199789	9200863	9201327	23856256	9000000	9250000	110	3338	464	1074	immediate
SUPER_1	20305620	20309816	IR	635	.	20307721	0.635	0.992	337	4586	20305620	20307274	20308168	20309816	23856256	20100000	20350000	337	3461	1648	894	immediate
SUPER_1	11047395	11050266	IR	632	.	11048833	0.632	0.989	191	94040	11047395	11048319	11049347	11050266	23856256	10900000	11150000	191	2480	919	1028	immediate
SUPER_1	14691643	14694265	IR	618	.	14692954	0.618	0.990	129	2727	14691643	14692314	14693594	14694266	23856256	14650000	14900000	129	715	671	1280	immediate
SUPER_1	2955193	2957931	IR	593	.	2956562	0.593	0.999	152	87072	2955193	2955897	2957227	2957931	23856256	2850000	3100000	152	1775	704	1330	immediate
SUPER_1	2966540	2969196	IR	593	.	2967868	0.593	0.999	143	66985	2966540	2967209	2968527	2969196	23856256	2900000	3150000	143	1130	669	1318	immediate
SUPER_1	14129664	14131110	IR	578	.	14130387	0.578	0.973	65	9611	14129664	14130035	14130739	14131110	23856256	13900000	14150000	65	3839	371	704	immediate
SUPER_1	4811283	4814374	IR	525	.	4812831	0.525	0.883	95	3266	4811283	4812619	4813044	4814374	23856256	4650000	4900000	95	2713	1330	425	immediate
SUPER_1	12173124	12175872	IR	521	.	12174498	0.521	0.963	109	2970	12173124	12173974	12175022	12175884	23856256	12050000	12300000	109	2074	850	1048	immediate
SUPER_1	2197253	2200143	IR	518	.	2198698	0.518	0.999	143	3026	2197253	2197923	2199473	2200143	23856256	2000000	2250000	143	3311	670	1550	immediate
SUPER_1	16739516	16741596	IR	503	.	16740556	0.503	0.989	53	51474	16739516	16739786	16741326	16741596	23856256	16650000	16900000	53	1509	270	1540	immediate
SUPER_1	12203143	12207331	IR	502	.	12205282	0.502	0.902	214	4511	12203143	12204880	12205683	12207331	23856256	12050000	12300000	214	2587	1648	803	immediate
SUPER_1	11813567	11816481	IR	501	.	11815024	0.501	0.971	116	3016	11813567	11814191	11815857	11816487	23856256	11700000	11950000	116	1916	624	1666	immediate
SUPER_1	6314847	6318488	IR	493	.	6316668	0.493	0.993	261	3957	6314847	6316032	6317309	6318488	23856256	6150000	6400000	261	2777	1179	1277	immediate
SUPER_1	1577127	1578231	IR	493	.	1577679	0.493	0.989	44	146621	1577127	1577412	1577946	1578231	23856256	1450000	1700000	44	2127	285	534	immediate
SUPER_1	11997552	12002696	IR	492	.	12000127	0.492	0.942	282	5462	11997552	11999778	12000510	12002696	23856256	11800000	12050000	282	3335	2186	732	immediate
SUPER_1	7622564	7625035	IR	487	.	7623799	0.487	0.933	205	2911	7622564	7623626	7623973	7625099	23856256	7500000	7750000	205	2063	1062	347	immediate
SUPER_1	22651075	22825657	IR	467	.	22737901	0.467	0.869	27	174532	22651075	22651409	22825347	22825657	23856256	22599027	22849027	0	2322	310	173938	wide
SUPER_1	6296211	6299822	IR	461	.	6297778	0.461	0.992	250	3984	6296211	6297367	6298668	6299822	23856256	6100000	6350000	250	3300	1154	1301	immediate
SUPER_1	3683598	3686655	IR	460	.	3685293	0.460	0.988	207	82807	3683598	3684668	3685591	3686655	23856256	3600000	3850000	207	1418	1064	923	immediate
SUPER_1	11410630	11510088	IR	442	.	11460375	0.442	0.386	54	99491	11410630	11459672	11461078	11510088	23856256	11300000	11550000	54	2672	49010	1406	immediate
SUPER_1	16390765	16395384	IR	438	.	16393074	0.438	0.701	132	4856	16390765	16392983	16393166	16395393	23856256	16150000	16400000	132	4051	2218	183	immediate
SUPER_1	23238795	23240445	IR	433	.	23239620	0.433	1.000	39	167390	23238795	23238974	23240266	23240445	23856256	23099027	23349027	39	2343	179	1292	immediate
SUPER_1	15709428	15711532	IR	428	.	15710480	0.428	0.730	49	2242	15709428	15710213	15710747	15711625	23856256	15600000	15850000	49	1841	785	534	immediate
SUPER_1	17540465	17543761	IR	423	.	17542130	0.423	0.852	149	3588	17540465	17541633	17542627	17543761	23856256	17400000	17650000	149	2368	1134	994	immediate
SUPER_1	23814313	23819082	IR	419	.	23817023	0.419	0.995	136	4745	23814313	23815121	23818274	23819082	23856256	23599027	23849027	0	3627	808	3153	spaced
SUPER_1	19920638	19999998	IR	411	.	19960753	0.411	0.979	28	79340	19920638	19920831	19999805	19999998	23856256	19800000	20050000	0	2671	193	78974	spaced
SUPER_1	11947809	11952178	IR	407	.	11949590	0.407	0.981	132	4355	11947809	11948622	11951365	11952187	23856256	11750000	12000000	0	3333	813	2743	spaced
SUPER_1	9569615	9723612	IR	379	.	9646575	0.379	0.887	107	154063	9569615	9570609	9722683	9723612	23856256	9550000	9800000	107	1610	929	152074	wide
SUPER_1	12195014	12197925	IR	369	.	12196470	0.369	0.974	94	2967	12195014	12195665	12197276	12197925	23856256	12100000	12350000	94	1607	649	1611	immediate
SUPER_1	20992271	21021473	IR	366	.	21006872	0.366	0.388	38	29270	20992271	21006015	21007729	21021508	23856256	20849027	21099027	38	2630	13744	1714	immediate
SUPER_1	12047263	12049288	IR	363	.	12048276	0.363	0.996	112	2147	12047263	12047763	12048788	12049289	23856256	12000000	12250000	112	804	500	1025	immediate
SUPER_1	23267129	23477374	IR	358	.	23372635	0.358	0.385	31	210185	23267129	23314172	23430332	23477374	23856256	23249027	23499027	0	2053	47042	116160	wide
SUPER_1	7897	38306	IR	354	.	22660	0.354	0.961	94	30388	7897	8840	37363	38306	23856256	0	250000	0	384	943	28523	spaced
SUPER_1	21742681	21872967	IR	349	.	21807415	0.349	0.386	35	130241	21742681	21794250	21821484	21872967	23856256	21699027	21949027	0	1813	51483	27234	spaced
SUPER_1	17947867	17990769	IR	347	.	17969318	0.347	0.389	32	42993	17947867	17969025	17969611	17990848	23856256	17750000	18000000	32	3655	21158	586	immediate
SUPER_1	12428510	12433371	IR	346	.	12430565	0.346	0.985	36	4838	12428510	12428776	12433105	12433372	23856256	12250000	12500000	0	3015	266	4329	spaced
SUPER_1	21102629	21193234	IR	343	.	21147515	0.343	0.387	41	90605	21102629	21132428	21163435	21193255	23856256	20999027	21249027	0	2481	29799	31007	spaced
SUPER_1	5848404	5902166	IR	343	.	5874869	0.343	0.991	27	53743	5848404	5848617	5901953	5902166	23856256	5750000	6000000	0	2087	213	53336	spaced
SUPER_1	10858600	11002594	IR	342	.	10930740	0.342	0.973	255	144280	10858600	10859985	11001233	11002594	23856256	10800000	11050000	255	2176	1361	141248	wide
SUPER_1	15308682	15538368	IR	342	.	15423939	0.342	0.905	44	229706	15308682	15309261	15537789	15538407	23856256	15300000	15550000	0	2058	579	228528	wide
SUPER_1	10014409	10017993	IR	341	.	10015996	0.341	0.992	118	3676	10014409	10015037	10017365	10017993	23856256	9800000	10050000	118	3603	628	2328	spaced
