#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	12269585	12278644	IR	688	.	12274116	0.688	0.924	285	10798	12269585	12273510	12274722	12278644	13218592	12050000	12300000	285	3735	3922	1212	immediate
SUPER_1	8548283	8551129	IR	579	.	8549706	0.579	0.980	164	2989	8548283	8549226	8550186	8551136	13218592	8350000	8600000	164	3328	943	960	immediate
SUPER_1	10307361	10308075	IR	553	.	10307718	0.553	1.000	64	165472	10307361	10307682	10307754	10308075	13218592	10150000	10400000	64	2628	321	72	immediate
SUPER_1	12684829	12687219	IR	482	.	12686024	0.482	1.000	93	2471	12684829	12685274	12686774	12687219	13218592	12450000	12700000	93	3933	445	1500	immediate
SUPER_1	8271726	8272236	IR	426	.	8271981	0.426	0.994	37	152686	8271726	8271907	8272055	8272236	13218592	8100000	8350000	37	2866	181	148	immediate
SUPER_1	2340789	2353537	IR	383	.	2347183	0.383	0.378	22	12766	2340789	2347129	2347237	2353537	13218592	2200000	2450000	22	2452	6300	108	immediate
SUPER_1	1751125	1972395	IR	378	.	1861760	0.378	0.378	31	221294	1751125	1861497	1862023	1972411	13218592	1750000	2000000	31	1862	110372	526	immediate
SUPER_1	411452	413648	IR	376	.	412550	0.376	0.987	40	2211	411452	411685	413417	413648	13218592	200000	450000	40	3542	231	1732	immediate
SUPER_1	6763831	6766003	IR	359	.	6764917	0.359	0.995	37	2187	6763831	6764025	6765809	6766003	13218592	6550000	6800000	37	3581	194	1784	immediate
SUPER_1	6175015	6247080	IR	347	.	6211050	0.347	0.993	54	72080	6175015	6175290	6246806	6247080	13218592	6000000	6250000	54	3517	274	71516	spaced
SUPER_1	6342631	6541917	IR	345	.	6442438	0.345	0.969	21	199293	6342631	6342826	6541722	6541917	13218592	6300000	6550000	21	2371	195	198896	wide
SUPER_1	4653367	4887049	IR	343	.	4769713	0.343	0.890	27	233688	4653367	4653681	4886735	4887079	13218592	4650000	4900000	0	2003	314	233054	wide
SUPER_1	10828894	10967472	IR	341	.	10898254	0.341	0.875	22	138593	10828894	10829050	10967316	10967492	13218592	10750000	11000000	22	2469	156	138266	wide
SUPER_1	3563241	3623926	IR	340	.	3593968	0.340	0.989	26	60661	3563241	3563429	3623738	3623926	13218592	3550000	3800000	0	726	188	60309	spaced
SUPER_1	10286903	10292069	IR	340	.	10289111	0.340	1.000	25	5142	10286903	10287052	10291920	10292069	13218592	10100000	10350000	0	3157	149	4868	spaced
SUPER_1	8890994	8995495	IR	339	.	8943571	0.339	0.387	39	104503	8890994	8942187	8944302	8995518	13218592	8750000	9000000	0	3220	51193	2115	spaced
SUPER_1	2863158	3012670	IR	338	.	2937408	0.338	0.986	141	149494	2863158	2864062	3011766	3012671	13218592	2800000	3050000	0	2298	904	147704	wide
SUPER_1	8438832	8441437	IR	336	.	8439663	0.336	0.936	38	2584	8438832	8439428	8440841	8441438	13218592	8200000	8450000	0	4002	596	1413	immediate
SUPER_1	6276900	6316130	IR	336	.	6296595	0.336	0.742	30	39261	6276900	6277028	6316034	6316130	13218592	6100000	6350000	62	3275	96	39006	spaced
SUPER_1	6895101	6958768	IR	334	.	6926615	0.334	0.996	36	63646	6895101	6895347	6958522	6958768	13218592	6800000	7050000	0	2115	246	63175	spaced
SUPER_1	2194016	2223259	IR	334	.	2208644	0.334	0.937	33	29274	2194016	2194337	2222938	2223269	13218592	2000000	2250000	33	3477	321	28601	spaced
SUPER_1	5986161	6077167	IR	334	.	6031577	0.334	0.920	22	91014	5986161	5986322	6077006	6077180	13218592	5900000	6150000	22	2194	161	90684	spaced
SUPER_1	7542653	7682582	IR	333	.	7612584	0.333	0.960	118	140157	7542653	7543398	7681843	7682582	13218592	7450000	7700000	139	2710	739	138445	wide
SUPER_1	1282809	1399789	IR	333	.	1340957	0.333	0.376	48	116931	1282809	1338158	1344440	1399802	13218592	1250000	1500000	0	1521	55349	6282	spaced
SUPER_1	12087929	12177260	IR	333	.	12132499	0.333	0.923	26	89330	12087929	12088238	12176957	12177260	13218592	11950000	12200000	26	3043	303	88719	spaced
SUPER_1	4363223	4486988	IR	333	.	4425493	0.333	0.950	21	123745	4363223	4363541	4486673	4486988	13218592	4250000	4500000	0	2918	315	123132	wide
SUPER_1	11427224	11575298	IR	333	.	11501581	0.333	0.898	20	148069	11427224	11427457	11575065	11575310	13218592	11400000	11650000	0	1687	233	147608	wide
SUPER_1	10640960	10722389	IR	331	.	10681939	0.331	0.971	70	81413	10640960	10641405	10721944	10722400	13218592	10550000	10800000	0	2194	445	80539	spaced
SUPER_1	8521372	8533807	IR	330	.	8527453	0.330	0.837	79	12511	8521372	8521931	8533271	8533807	13218592	8300000	8550000	79	3793	536	11340	spaced
SUPER_1	11006238	11043220	IR	330	.	11024498	0.330	0.979	57	37743	11006238	11006383	11043075	11043220	13218592	10800000	11050000	24	3745	145	36692	spaced
SUPER_1	7925528	8071279	IR	330	.	7998567	0.330	0.867	38	145877	7925528	7925953	8070872	8071279	13218592	7850000	8100000	46	2473	407	144919	wide
SUPER_1	12859559	13002355	IR	330	.	12930526	0.330	0.994	24	142745	12859559	12859726	13002188	13002355	13218592	12800000	13050000	0	2182	167	142462	wide
SUPER_1	548571	577898	IR	330	.	563210	0.330	0.911	21	29323	548571	548806	577676	577898	13218592	450000	700000	21	1887	222	28870	spaced
SUPER_1	10084263	10161548	IR	329	.	10122630	0.329	0.410	205	77300	10084263	10114299	10131512	10161585	13218592	9950000	10200000	0	2881	30036	17213	spaced
SUPER_1	3021765	3092394	IR	329	.	3057433	0.329	0.584	42	70611	3021765	3023144	3091071	3092394	13218592	2950000	3200000	0	1784	1323	67927	spaced
SUPER_1	5702848	5861476	IR	328	.	5782232	0.328	0.947	29	158682	5702848	5703113	5861211	5861477	13218592	5650000	5900000	29	2202	265	158098	wide
SUPER_1	9142348	9209399	IR	328	.	9175537	0.328	0.801	27	67101	9142348	9142691	9209056	9209473	13218592	9000000	9250000	0	2931	343	66365	spaced
SUPER_1	8564409	8715456	IR	328	.	8639953	0.328	0.988	21	151046	8564409	8564581	8715284	8715456	13218592	8550000	8800000	21	1498	172	150703	wide
