#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
ptg000001c	907612	910420	IR	948	.	909016	0.948	0.999	258	3103	907612	908783	909249	910420	1562273	750000	1000000	258	2650	1171	466	immediate
ptg000001c	272906	366404	IR	353	.	319785	0.353	1.000	145	93633	272906	273577	365733	366404	1562273	150000	400000	145	2827	671	92156	spaced
ptg000001c	1179175	1304419	IR	336	.	1242034	0.336	1.000	362	125220	1179175	1181136	1302458	1304419	1562273	1100000	1350000	0	2363	1961	121322	wide
ptg000001c	1323897	1528240	IR	335	.	1426036	0.335	1.000	360	204757	1323897	1325413	1526724	1528240	1562273	1300000	1550000	360	2101	1516	201311	wide
ptg000001c	913037	1009943	IR	332	.	961091	0.332	1.000	361	96882	913037	914996	1007984	1009943	1562273	800000	1050000	0	2691	1959	92988	spaced
ptg000001c	708329	735608	IR	331	.	722382	0.331	1.000	257	27262	708329	709781	734156	735608	1562273	500000	750000	0	3699	1452	24375	spaced
ptg000001c	513235	525747	IR	328	.	519766	0.328	1.000	222	12492	513235	514503	524479	525747	1562273	300000	550000	0	3658	1268	9976	spaced
ptg000001c	1020405	1106614	IR	321	.	1063609	0.321	1.000	162	86382	1020405	1021171	1105848	1106614	1562273	950000	1200000	162	1891	766	84677	spaced
ptg000001c	802668	874172	IR	320	.	838011	0.320	1.000	282	71476	802668	804152	872688	874172	1562273	650000	900000	0	3140	1484	68536	spaced
ptg000001c	625907	633594	IR	317	.	630185	0.317	1.000	255	7670	625907	627359	632142	633594	1562273	400000	650000	0	3829	1452	4783	spaced
ptg000001c	409807	496521	IR	316	.	453268	0.316	0.993	146	86854	409807	410478	495850	496522	1562273	250000	500000	146	3385	671	85372	spaced
ptg000001c	576811	587327	IR	310	.	582294	0.310	1.000	253	12740	576811	577908	586230	587327	1562273	350000	600000	253	3867	1097	8322	spaced
