#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
ptg000001c	341896	445177	IR	334	.	393714	0.334	0.994	163	103413	341896	342711	444362	445177	1387347	200000	450000	163	3225	815	101651	wide
ptg000001c	64293	115381	IR	333	.	89504	0.333	0.981	154	51071	64293	65409	114265	115381	1387347	0	250000	0	1497	1116	48856	spaced
ptg000001c	572453	672562	IR	329	.	622198	0.329	0.973	157	100082	572453	573573	671442	672562	1387347	450000	700000	0	2874	1120	97869	spaced
ptg000001c	1191699	1249290	IR	329	.	1220138	0.329	0.828	71	57559	1191699	1192406	1248680	1249290	1387347	1100000	1350000	0	2008	610	56274	spaced
ptg000001c	468478	513933	IR	328	.	491544	0.328	0.996	183	45438	468478	469623	512788	513934	1387347	300000	550000	0	3186	1145	43165	spaced
ptg000001c	1092818	1113692	IR	328	.	1103030	0.328	0.993	77	21006	1092818	1093236	1113274	1113692	1387347	900000	1150000	77	3387	418	20038	spaced
ptg000001c	872515	877020	IR	326	.	874462	0.326	0.779	31	4482	872515	873734	875879	877020	1387347	750000	1000000	0	2079	1141	2145	spaced
ptg000001c	179208	229737	IR	323	.	204722	0.323	0.980	49	50480	179208	179616	229329	229737	1387347	0	250000	0	3407	408	49713	spaced
ptg000001c	697705	728267	IR	318	.	712713	0.318	0.968	37	30539	697705	698171	727801	728267	1387347	500000	750000	0	3549	466	29630	spaced
ptg000001c	742882	780910	IR	314	.	761815	0.314	0.970	41	38420	742882	743248	780544	780910	1387347	700000	950000	41	1031	366	37296	spaced
