#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
scaffold_101_ctg1	149790	177419	IR	582	.	163616	0.582	0.991	960	29943	149790	161772	165463	177419	178622	0	178622	960	2726	11956	3691	spaced
SUPER_X	7789008	7796693	IR	746	.	7792908	0.746	0.935	145	7968	7789008	7792499	7793212	7796693	16180041	7550000	7800000	161	4047	3481	713	immediate
SUPER_X	2891232	2896578	IR	667	.	2894237	0.667	0.870	263	5368	2891232	2893241	2894569	2896624	16180041	2700000	2950000	0	3231	2009	1328	immediate
SUPER_X	9253526	9382438	IR	605	.	9318285	0.605	0.581	337	128883	9253526	9308274	9327690	9382440	16180041	9200000	9450000	0	1966	54748	19416	spaced
SUPER_X	10472306	10480058	IR	599	.	10476182	0.599	0.960	353	8028	10472306	10475696	10476668	10480113	16180041	10450000	10700000	353	436	3390	972	immediate
SUPER_X	7822078	7834719	IR	596	.	7828318	0.596	0.863	264	23264	7822078	7827314	7829514	7834719	16180041	7800000	8050000	285	473	5205	2200	spaced
SUPER_X	11874536	12048818	IR	592	.	11962024	0.592	0.714	955	122044	11874536	11958240	11965114	12048844	16180041	11800000	12050000	0	2694	83704	6874	spaced
SUPER_X	657973	661949	IR	562	.	660307	0.562	0.637	76	3955	657973	659820	660102	661949	16180041	450000	700000	0	3499	1847	282	immediate
SUPER_X	8408483	8519122	IR	519	.	8463297	0.519	0.890	106	113008	8408483	8457435	8470203	8519122	16180041	8400000	8650000	106	1054	48919	12768	spaced
SUPER_X	825505	842716	IR	517	.	834395	0.517	0.993	725	16749	825505	834102	834139	842716	16180041	600000	850000	0	3901	8577	37	immediate
SUPER_X	3621961	3845482	IR	451	.	3733643	0.451	0.921	108	223659	3621961	3623038	3844405	3845485	16180041	3600000	3850000	108	2228	1077	221367	wide
SUPER_X	2186313	2265331	IR	445	.	2225620	0.445	0.379	46	79103	2186313	2224766	2226920	2265331	16180041	2050000	2300000	58	2930	38411	2154	spaced
SUPER_X	2320648	2324645	IR	431	.	2323051	0.431	0.831	118	3881	2320648	2321852	2323513	2324645	16180041	2150000	2400000	0	2877	1132	1661	immediate
SUPER_X	1479970	1480514	IR	418	.	1480242	0.418	1.000	31	44144	1479970	1480116	1480368	1480514	16180041	1300000	1550000	31	3003	146	252	immediate
SUPER_X	11493099	11504850	IR	412	.	11498912	0.412	0.464	71	11519	11493099	11498913	11499088	11504850	16180041	11450000	11700000	71	816	5762	175	immediate
SUPER_X	2035682	2049914	IR	404	.	2042368	0.404	0.804	21	13902	2035682	2036340	2049309	2049914	16180041	1950000	2200000	0	1546	605	12969	spaced
SUPER_X	2628537	2841431	IR	398	.	2734953	0.398	0.367	59	212907	2628537	2726140	2743828	2841461	16180041	2600000	2850000	73	2249	97603	17688	spaced
SUPER_X	14382283	14444160	IR	397	.	14413141	0.397	0.878	1194	64404	14382283	14400758	14425685	14444160	16180041	14200000	14450000	1194	3553	18475	24927	spaced
SUPER_X	490736	492750	IR	365	.	491641	0.365	1.000	21	2005	490736	490831	492655	492750	16180041	300000	550000	21	3195	95	1824	immediate
SUPER_X	2469082	2576017	IR	361	.	2522315	0.361	0.925	478	109127	2469082	2469411	2575699	2576017	16180041	2450000	2700000	15	1209	318	106288	wide
