#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	60435012	60440388	IR	1000	.	60437696	1.000	0.991	546	5959	60435012	60437398	60438008	60440388	88578179	60237340	60487340	546	3339	2380	610	immediate
SUPER_1	24031498	24033990	IR	983	.	24032744	0.983	0.998	239	2681	24031498	24032588	24032900	24033990	88578179	23791120	24041120	239	4026	1090	312	immediate
SUPER_1	62446456	62448956	IR	965	.	62447706	0.965	1.000	221	2723	62446456	62447523	62447889	62448956	88578179	62237340	62487340	221	3505	1067	366	immediate
SUPER_1	57782983	57795397	IR	956	.	57789191	0.956	0.998	1211	13911	57782983	57788473	57789909	57795397	88578179	57587340	57837340	1247	3364	5488	1436	immediate
SUPER_1	46987242	46991028	IR	952	.	46989135	0.952	0.998	378	159475	46987242	46988881	46989389	46991028	88578179	46835540	47085540	378	2559	1639	508	immediate
SUPER_1	30704727	30706803	IR	879	.	30705765	0.879	0.971	94	2420	30704727	30705526	30706004	30706803	88578179	30667257	30917257	94	641	799	478	immediate
SUPER_1	40332073	40334474	IR	864	.	40333285	0.864	0.957	174	2631	40332073	40333123	40333448	40334474	88578179	40102140	40352140	174	3852	1026	325	immediate
SUPER_1	59409804	59412069	IR	863	.	59411214	0.863	1.000	131	2244	59409804	59410537	59411336	59412069	88578179	59187340	59437340	0	3726	733	799	immediate
SUPER_1	41466450	41468365	IR	842	.	41467406	0.842	0.945	126	2089	41466450	41467096	41467719	41468390	88578179	41252140	41502140	126	3587	646	623	immediate
SUPER_1	38715600	38760795	IR	807	.	38738404	0.807	0.977	1381	55632	38715600	38723635	38752760	38760841	88578179	38652140	38902140	1382	1434	8035	29125	spaced
SUPER_1	15841193	15843182	IR	729	.	15842188	0.729	0.922	32	2100	15841193	15841920	15842456	15843182	88578179	15600501	15850501	32	4027	726	536	immediate
SUPER_1	25239375	25240881	IR	728	.	25240130	0.728	0.958	83	135224	25239375	25240030	25240226	25240885	88578179	25091120	25341120	83	2483	655	196	immediate
SUPER_1	54450255	54469982	IR	716	.	54460117	0.716	0.995	1722	73965	54450255	54458669	54461568	54469982	88578179	54372140	54622140	1730	1466	8414	2899	spaced
SUPER_1	15521001	15522887	IR	691	.	15521944	0.691	0.999	147	2026	15521001	15521677	15522212	15522887	88578179	15300501	15550501	147	3690	675	535	immediate
SUPER_1	48779999	48852148	IR	687	.	48815840	0.687	0.468	213	173386	48779999	48813443	48818704	48852163	88578179	48671740	48921740	206	2405	33444	5261	spaced
SUPER_1	72161665	72163761	IR	667	.	72162719	0.667	0.918	32	2108	72161665	72162335	72163091	72163774	88578179	72004510	72254510	32	2636	670	756	immediate
SUPER_1	31114168	31115528	IR	666	.	31114848	0.666	0.966	37	97086	31114168	31114553	31115143	31115528	88578179	30967257	31217257	37	2459	385	590	immediate
SUPER_1	27394000	27483478	IR	665	.	27439110	0.665	0.807	196	86854	27394000	27437942	27439573	27483478	88578179	27388057	27638057	0	844	43905	1631	immediate
SUPER_1	21143346	21153588	IR	637	.	21148467	0.637	1.000	927	11231	21143346	21147453	21149481	21153588	88578179	20939479	21189479	927	3482	4107	2028	spaced
