#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
ptg000001c	910752	912958	IR	690	.	911855	0.690	0.987	117	2308	910752	911365	912345	912958	1601456	900000	1150000	117	197	613	980	immediate
ptg000001c	1437413	1565509	IR	354	.	1501781	0.354	0.959	335	128070	1437413	1439360	1563562	1565509	1601456	1350000	1600000	0	2524	1947	124202	wide
ptg000001c	962132	968487	IR	346	.	965065	0.346	1.000	212	6564	962132	963077	967542	968487	1601456	800000	1050000	212	2755	945	4465	spaced
ptg000001c	506525	736344	IR	343	.	621180	0.343	0.408	242	186568	506525	551115	691754	736369	1601456	500000	750000	0	2023	44590	140639	wide
ptg000001c	76	7750	IR	341	.	3441	0.341	0.999	206	7655	76	1262	6564	7750	1601456	0	250000	0	65	1186	5302	spaced
ptg000001c	1217380	1283844	IR	336	.	1251101	0.336	0.421	308	66447	1217380	1247355	1253942	1283844	1601456	1100000	1350000	0	2510	29902	6587	spaced
ptg000001c	891371	900154	IR	336	.	895310	0.336	0.999	192	8764	891371	892469	899056	900154	1601456	800000	1050000	0	1595	1098	6587	spaced
ptg000001c	981684	1147693	IR	335	.	1065106	0.335	0.403	248	165990	981684	1053406	1076006	1147693	1601456	900000	1150000	0	2744	71687	22600	spaced
ptg000001c	269346	311950	IR	334	.	290893	0.334	0.997	68	42582	269346	269708	311588	311950	1601456	100000	350000	0	3177	362	41880	spaced
ptg000001c	386969	395854	IR	331	.	391308	0.331	1.000	144	9034	386969	387633	395190	395854	1601456	150000	400000	144	4023	664	7557	spaced
ptg000001c	790849	859201	IR	330	.	824934	0.330	1.000	241	68570	790849	791914	858136	859201	1601456	650000	900000	241	2916	1065	66222	spaced
ptg000001c	436006	484763	IR	325	.	459902	0.325	0.999	238	48731	436006	437337	483432	484763	1601456	250000	500000	0	3506	1331	46095	spaced
ptg000001c	53844	259386	IR	319	.	156270	0.319	1.000	202	205517	53844	54929	258301	259386	1601456	50000	300000	0	1776	1085	203372	wide
ptg000001c	1283849	1320107	IR	317	.	1302370	0.317	1.000	241	36232	1283849	1285180	1318776	1320107	1601456	1100000	1350000	0	3366	1331	33596	spaced
ptg000001c	1568074	1589174	IR	314	.	1578808	0.314	1.000	223	21329	1568074	1569070	1588178	1589174	1601456	1350000	1600000	223	3810	996	19108	spaced
