#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	3202362	3208672	IR	961	.	3205517	0.961	0.997	581	6913	3202362	3205067	3205967	3208674	24426760	3000000	3250000	581	3425	2705	900	immediate
SUPER_1	1108448	1110332	IR	722	.	1109390	0.722	0.998	110	2042	1108448	1108909	1109871	1110332	24426760	1100000	1350000	110	156	461	962	immediate
SUPER_1	1849773	1851767	IR	636	.	1850770	0.636	0.979	115	2224	1849773	1850445	1851095	1851772	24426760	1700000	1950000	115	2512	672	650	immediate
SUPER_1	2110611	2119167	IR	617	.	2114889	0.617	1.000	791	10274	2110611	2114045	2115733	2119167	24426760	1900000	2150000	791	3581	3434	1688	immediate
SUPER_1	5729485	5945534	IR	582	.	5837031	0.582	0.486	22	216014	5729485	5729520	5945499	5945566	24426760	5700000	5950000	0	2291	35	215979	wide
SUPER_1	6237467	6424064	IR	539	.	6331107	0.539	0.395	56	186465	6237467	6237627	6423988	6424064	24426760	6200000	6450000	0	2179	76	186361	wide
SUPER_1	12353031	12354019	IR	507	.	12353525	0.507	0.921	25	47930	12353031	12353421	12353629	12354020	24426760	12200000	12450000	25	2558	390	208	immediate
SUPER_1	16762840	16875092	IR	502	.	16818966	0.502	0.390	66	112267	16762840	16818893	16819039	16875114	24426760	16700000	16950000	161	1982	56053	146	immediate
SUPER_1	2227632	2230792	IR	458	.	2229212	0.458	0.916	161	3390	2227632	2228406	2230018	2230846	24426760	2000000	2250000	161	3820	774	1612	immediate
SUPER_1	18845144	18850325	IR	457	.	18847270	0.457	0.957	47	5156	18845144	18845669	18849800	18850325	24426760	18750000	19000000	0	1628	525	4131	spaced
SUPER_1	318105	518470	IR	437	.	418329	0.437	0.942	33	200375	318105	318170	518405	518474	24426760	300000	550000	406	1971	65	200235	wide
SUPER_1	3195121	3198487	IR	428	.	3196805	0.428	0.985	131	3511	3195121	3195845	3197765	3198487	24426760	2950000	3200000	131	4113	722	1920	immediate
SUPER_1	2714552	2878331	IR	427	.	2796450	0.427	0.581	42	163813	2714552	2714595	2878288	2878363	24426760	2650000	2900000	600	2440	43	163693	wide
SUPER_1	10133470	10270351	IR	409	.	10202251	0.409	0.792	36	136880	10133470	10133531	10270290	10270367	24426760	10050000	10300000	0	2531	61	136759	wide
SUPER_1	19940151	19969930	IR	405	.	19954661	0.405	0.000	49	29842	19940151	19940182	19969899	19970010	24426760	19750000	20000000	0	3417	31	29717	spaced
SUPER_1	8057355	8168652	IR	402	.	8113017	0.402	0.958	21	111251	8057355	8057401	8168606	8168654	24426760	7950000	8200000	230	2716	46	111205	wide
SUPER_1	3450533	3457879	IR	388	.	3454016	0.388	0.984	633	8144	3450533	3453567	3454890	3457879	24426760	3250000	3500000	633	3403	2989	1323	immediate
SUPER_1	234059	237937	IR	386	.	235998	0.386	0.987	173	4161	234059	235097	236899	237937	24426760	50000	300000	173	3099	1038	1802	immediate
SUPER_1	22365479	22383500	IR	385	.	22374907	0.385	0.400	29	17987	22365479	22374128	22374851	22383508	24426760	22150000	22400000	0	3741	8649	723	immediate
SUPER_1	817842	819872	IR	383	.	818877	0.383	0.859	116	7614	817842	818564	819150	819912	24426760	650000	900000	118	2814	722	586	immediate
SUPER_1	7179030	7351844	IR	379	.	7265625	0.379	0.927	27	172780	7179030	7179085	7351793	7351844	24426760	7150000	7400000	466	1923	51	172708	wide
SUPER_1	13990934	14140652	IR	373	.	14065802	0.373	0.938	54	149724	13990934	13990994	14140592	14140656	24426760	13950000	14200000	859	1929	60	149598	wide
SUPER_1	10793827	10849512	IR	370	.	10821704	0.370	0.000	46	55739	10793827	10793854	10849485	10849574	24426760	10600000	10850000	268	3694	27	55631	spaced
SUPER_1	7618249	7744029	IR	369	.	7681268	0.369	0.661	28	95134	7618249	7618308	7743990	7744029	24426760	7600000	7850000	364	1352	39	125682	wide
SUPER_1	1673498	1678403	IR	368	.	1675962	0.368	0.969	298	5397	1673498	1674945	1676956	1678439	24426760	1500000	1750000	298	2932	1447	2011	spaced
SUPER_1	17380874	17505157	IR	368	.	17443432	0.368	0.653	32	124234	17380874	17380949	17505108	17505157	24426760	17300000	17550000	0	2383	49	124159	wide
SUPER_1	5966889	5985888	IR	366	.	5976141	0.366	1.000	31	18961	5966889	5966927	5985850	5985888	24426760	5950000	6200000	12	439	38	18923	spaced
SUPER_1	3098714	3107079	IR	364	.	3102868	0.364	0.999	793	9145	3098714	3102199	3103594	3107079	24426760	2900000	3150000	793	3381	3485	1395	immediate
