#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	148431597	148437629	IR	1000	.	148434613	1.000	1.000	588	6655	148431597	148434304	148434922	148437629	353809194	148430643	148680643	588	66	2707	618	immediate
SUPER_1	191548565	191554307	IR	1000	.	191551436	1.000	1.000	585	6331	191548565	191551114	191551758	191554307	353809194	191309602	191559602	585	4030	2549	644	immediate
SUPER_1	284496018	284499462	IR	1000	.	284497740	1.000	1.000	354	3808	284496018	284497579	284497901	284499462	353809194	284254298	284504298	354	4057	1561	322	immediate
SUPER_1	111612470	111615814	IR	1000	.	111614142	1.000	1.000	331	3687	111612470	111613965	111614319	111615814	353809194	111382381	111632381	331	3862	1495	354	immediate
SUPER_1	39460300	39463324	IR	1000	.	39461812	1.000	0.999	300	3340	39460300	39461643	39461981	39463324	353809194	39252264	39502264	300	3492	1343	338	immediate
SUPER_1	88861864	88863902	IR	1000	.	88862883	1.000	1.000	210	2235	88861864	88862778	88862988	88863902	353809194	88628548	88878548	210	3905	914	210	immediate
SUPER_1	198373498	198468076	IR	999	.	198421068	0.999	0.466	956	94558	198373498	198420503	198421071	198468152	353809194	198261400	198511400	0	2656	47005	568	immediate
SUPER_1	157187090	157192374	IR	999	.	157189732	0.999	1.000	518	5789	157187090	157189399	157190065	157192374	353809194	156980217	157230217	518	3491	2309	666	immediate
SUPER_1	207766166	207771558	IR	999	.	207768859	0.999	0.986	516	5958	207766166	207768560	207769164	207771576	353809194	207560370	207810370	516	3474	2394	604	immediate
SUPER_1	207193708	207196918	IR	999	.	207195313	0.999	1.000	298	3491	207193708	207195103	207195523	207196918	353809194	206960370	207210370	298	3915	1395	420	immediate
SUPER_1	10161560	10165609	IR	999	.	10163254	0.999	0.970	294	4081	10161560	10163257	10163912	10165661	353809194	9946673	10196673	0	3615	1697	655	immediate
SUPER_1	345018016	345020002	IR	999	.	345019009	0.999	0.999	202	2229	345018016	345018908	345019110	345020002	353809194	344801545	345051545	202	3624	892	202	immediate
SUPER_1	194099323	194105185	IR	998	.	194102254	0.998	1.000	619	6504	194099323	194101913	194102595	194105185	353809194	193884290	194134290	619	3632	2590	682	immediate
SUPER_1	284719562	284724074	IR	998	.	284721818	0.998	0.999	438	4984	284719562	284721558	284722078	284724074	353809194	284668566	284918566	438	887	1996	520	immediate
SUPER_1	96728053	96731665	IR	998	.	96729859	0.998	0.999	348	3965	96728053	96729662	96730056	96731665	353809194	96581535	96831535	348	2471	1609	394	immediate
SUPER_1	98181768	98185227	IR	998	.	98183497	0.998	0.994	336	3888	98181768	98183279	98183716	98185234	353809194	98181535	98431535	336	32	1511	437	immediate
SUPER_1	60633025	60636479	IR	998	.	60634890	0.998	0.999	333	3756	60633025	60634430	60635074	60636479	353809194	60398993	60648993	333	3929	1405	644	immediate
SUPER_1	76926437	76929155	IR	998	.	76927796	0.998	0.999	254	2953	76926437	76927646	76927946	76929155	353809194	76751396	77001396	254	2939	1209	300	immediate
SUPER_1	79846877	79849442	IR	998	.	79848159	0.998	0.990	236	2829	79846877	79848005	79848323	79849442	353809194	79601396	79851396	236	4112	1119	318	immediate
SUPER_1	53224065	53227619	IR	997	.	53225842	0.997	1.000	360	13166	53224065	53225659	53226025	53227619	353809194	52998993	53248993	360	3780	1594	366	immediate
SUPER_1	42491604	42494142	IR	997	.	42492873	0.997	0.999	242	130642	42491604	42492731	42493015	42494142	353809194	42352264	42602264	242	2343	1127	284	immediate
SUPER_1	121248863	121250709	IR	997	.	121249786	0.997	0.999	192	2041	121248863	121249700	121249872	121250709	353809194	121009929	121259929	192	3997	837	172	immediate
SUPER_1	35808052	35813330	IR	996	.	35810712	0.996	0.981	485	5823	35808052	35810411	35811013	35813330	353809194	35643431	35893431	485	2787	2317	602	immediate
SUPER_1	313224541	313229711	IR	996	.	313227126	0.996	0.999	484	205977	313224541	313226806	313227446	313229711	353809194	313095830	313345830	484	2188	2265	640	immediate
SUPER_1	317634689	317640637	IR	996	.	317638077	0.996	1.000	478	5929	317634689	317637248	317638078	317640637	353809194	317440572	317690572	0	3284	2559	830	immediate
SUPER_1	148031709	148033507	IR	996	.	148032608	0.996	1.000	181	19225	148031709	148032506	148032710	148033507	353809194	147830968	148080968	181	3360	797	204	immediate
SUPER_1	114873148	114881104	IR	995	.	114877142	0.995	0.987	781	8975	114873148	114876502	114877782	114881104	353809194	114756027	115006027	987	2018	3322	1280	immediate
SUPER_1	113539992	113595900	IR	995	.	113567701	0.995	0.958	367	55905	113539992	113540156	113595736	113595900	353809194	113456027	113706027	19	1865	164	55580	spaced
SUPER_1	84554358	84557090	IR	995	.	84555721	0.995	0.983	266	3002	84554358	84555583	84555872	84557090	353809194	84337833	84587833	266	3631	1218	289	immediate
SUPER_1	124381907	124385579	IR	995	.	124384073	0.995	0.999	264	3647	124381907	124383401	124384085	124385579	353809194	124160220	124410220	0	3725	1494	684	immediate
SUPER_1	159746980	159749550	IR	995	.	159748265	0.995	1.000	261	2845	159746980	159748108	159748422	159749550	353809194	159534726	159784726	261	3558	1128	314	immediate
SUPER_1	238175915	238178495	IR	995	.	238177340	0.995	0.986	246	2774	238175915	238176955	238177455	238178497	353809194	237935001	238185001	246	4036	1040	500	immediate
SUPER_1	75142346	75145416	IR	995	.	75144295	0.995	1.000	216	3053	75142346	75143454	75144308	75145416	353809194	74901396	75151396	0	4041	1108	854	immediate
SUPER_1	202658638	202663078	IR	994	.	202660444	0.994	1.000	345	4410	202658638	202660455	202661261	202663078	353809194	202413553	202663553	0	4121	1817	806	immediate
SUPER_1	302856518	302859880	IR	994	.	302858199	0.994	1.000	315	93680	302856518	302858023	302858375	302859880	353809194	302753688	303003688	315	1741	1505	352	immediate
SUPER_1	140013640	140015866	IR	994	.	140014753	0.994	1.000	228	2463	140013640	140014612	140014894	140015866	353809194	139811145	140061145	228	3393	972	282	immediate
SUPER_1	142662971	142669495	IR	993	.	142666233	0.993	0.999	633	31319	142662971	142665846	142666620	142669495	353809194	142451008	142701008	633	3586	2875	774	immediate
SUPER_1	104555405	104559495	IR	993	.	104557450	0.993	1.000	375	4507	104555405	104557221	104557679	104559495	353809194	104331535	104581535	375	3765	1816	458	immediate
SUPER_1	133611381	133614850	IR	993	.	133613253	0.993	0.910	316	4019	133611381	133612820	133613411	133614957	353809194	133384684	133634684	316	3807	1439	591	immediate
SUPER_1	94561565	94564383	IR	993	.	94562974	0.993	1.000	277	3101	94561565	94562813	94563135	94564383	353809194	94350217	94600217	277	3545	1248	322	immediate
SUPER_1	71933935	71935715	IR	993	.	71934825	0.993	1.000	178	2007	71933935	71934690	71934960	71935715	353809194	71701396	71951396	178	3890	755	270	immediate
SUPER_1	272884039	272886037	IR	992	.	272885038	0.992	0.999	187	2193	272884039	272884918	272885158	272886037	353809194	272639478	272889478	187	4092	879	240	immediate
SUPER_1	155168119	155170001	IR	992	.	155169060	0.992	0.994	170	2065	155168119	155168950	155169170	155170001	353809194	154980217	155230217	170	3147	831	220	immediate
SUPER_1	177481903	177485573	IR	991	.	177483738	0.991	0.998	365	4120	177481903	177483507	177483969	177485573	353809194	177260709	177510709	365	3717	1604	462	immediate
SUPER_1	156167442	156170916	IR	991	.	156169179	0.991	0.999	353	3797	156167442	156168977	156169381	156170916	353809194	155930217	156180217	353	3982	1535	404	immediate
SUPER_1	249201552	249204066	IR	991	.	249202809	0.991	1.000	253	129399	249201552	249202677	249202941	249204066	353809194	249089201	249339201	253	1893	1125	264	immediate
SUPER_1	252483432	252485875	IR	991	.	252484513	0.991	0.998	191	239018	252483432	252484366	252484941	252485875	353809194	252363914	252613914	191	2012	934	575	immediate
SUPER_1	49556193	49559537	IR	990	.	49557865	0.990	0.998	297	3690	49556193	49557643	49558087	49559537	353809194	49344746	49594746	297	3551	1450	444	immediate
SUPER_1	120035791	120038321	IR	990	.	120037056	0.990	0.999	243	147304	120035791	120036904	120037208	120038321	353809194	119959929	120209929	243	1285	1113	304	immediate
SUPER_1	44077000	44079032	IR	990	.	44078016	0.990	0.997	189	2213	44077000	44077897	44078135	44079032	353809194	43852264	44102264	189	3762	897	238	immediate
SUPER_1	67229914	67231911	IR	990	.	67230912	0.990	0.978	156	2216	67229914	67230817	67231008	67231920	353809194	66998993	67248993	156	3865	903	191	immediate
SUPER_1	211278917	211287324	IR	989	.	211283452	0.989	0.999	668	8384	211278917	211282760	211283482	211287324	353809194	211075106	211325106	0	3466	3842	722	immediate
SUPER_1	170209860	170211984	IR	989	.	170210922	0.989	0.964	209	2522	170209860	170210926	170210948	170211984	353809194	170068267	170318267	360	2377	1036	22	immediate
SUPER_1	351130837	351132726	IR	989	.	351131778	0.989	0.978	176	104798	351130837	351131690	351131878	351132726	353809194	351002197	351252197	176	2159	848	188	immediate
SUPER_1	93829449	93834854	IR	988	.	93832152	0.988	0.994	481	6025	93829449	93831856	93832448	93834854	353809194	93608017	93858017	481	3735	2406	592	immediate
SUPER_1	307499139	307502831	IR	988	.	307500985	0.988	1.000	362	4073	307499139	307500766	307501204	307502831	353809194	307462431	307712431	362	642	1627	438	immediate
SUPER_1	103074817	103078593	IR	988	.	103076705	0.988	0.999	361	4145	103074817	103076450	103076960	103078593	353809194	102831535	103081535	361	4086	1633	510	immediate
SUPER_1	280683513	280686611	IR	988	.	280685062	0.988	0.997	303	3373	280683513	280684888	280685236	280686611	353809194	280487098	280737098	303	3299	1375	348	immediate
SUPER_1	80044070	80046936	IR	988	.	80045503	0.988	0.994	241	3238	80044070	80045339	80045667	80046936	353809194	79951396	80201396	241	1568	1269	328	immediate
SUPER_1	318752490	318757020	IR	986	.	318754755	0.986	0.982	362	4974	318752490	318754524	318754986	318757038	353809194	318540572	318790572	362	3569	2034	462	immediate
SUPER_1	134853173	134856365	IR	986	.	134854769	0.986	0.996	297	3607	134853173	134854574	134854964	134856365	353809194	134634684	134884684	297	3667	1401	390	immediate
SUPER_1	285747655	285758261	IR	985	.	285752820	0.985	0.999	1089	11730	285747655	285752280	285753636	285758261	353809194	285518566	285768566	1089	3906	4625	1356	immediate
SUPER_1	153101366	153104537	IR	985	.	153103283	0.985	0.994	209	3139	153101366	153102635	153103268	153104537	353809194	152858555	153108555	0	4073	1269	633	immediate
SUPER_1	148684998	148687216	IR	985	.	148686107	0.985	0.992	178	2529	148684998	148685973	148686241	148687216	353809194	148630643	148880643	178	924	975	268	immediate
SUPER_1	91792232	91795702	IR	983	.	91793967	0.983	0.995	303	3812	91792232	91793780	91794154	91795702	353809194	91558017	91808017	303	3932	1548	374	immediate
SUPER_1	221219238	221222464	IR	983	.	221220851	0.983	0.996	299	3511	221219238	221220656	221221046	221222466	353809194	220980239	221230239	299	4010	1418	390	immediate
SUPER_1	58324848	58327738	IR	983	.	58326293	0.983	0.998	290	3155	58324848	58326122	58326464	58327738	353809194	58098993	58348993	290	3788	1274	342	immediate
SUPER_1	102399907	102402443	IR	983	.	102401313	0.983	0.997	219	42052	102399907	102400918	102401432	102402443	353809194	102281535	102531535	219	1993	1011	514	immediate
SUPER_1	117113192	117119168	IR	982	.	117116512	0.982	1.000	485	5944	117113192	117115879	117116482	117119168	353809194	116906027	117156027	0	3502	2686	603	immediate
SUPER_1	254258263	254263119	IR	982	.	254260415	0.982	0.997	384	4833	254258263	254260389	254260993	254263119	353809194	254022151	254272151	0	3975	2126	604	immediate
SUPER_1	66599229	66601983	IR	982	.	66600606	0.982	1.000	268	3019	66599229	66600421	66600791	66601983	353809194	66398993	66648993	268	3360	1192	370	immediate
SUPER_1	120273373	120275804	IR	982	.	120274448	0.982	0.999	194	2620	120273373	120274323	120274854	120275804	353809194	120059929	120309929	194	3577	950	531	immediate
SUPER_1	72153679	72155591	IR	982	.	72154635	0.982	0.995	163	101103	72153679	72154510	72154760	72155591	353809194	72001396	72251396	163	2553	831	250	immediate
SUPER_1	289561349	289603090	IR	981	.	289581798	0.981	0.465	471	41803	289561349	289581773	289582666	289603169	353809194	289391766	289641766	0	3174	20424	893	immediate
SUPER_1	56936473	56939809	IR	981	.	56938141	0.981	0.999	295	3653	56936473	56937945	56938337	56939809	353809194	56748993	56998993	295	3152	1472	392	immediate
SUPER_1	6968195	6971733	IR	981	.	6969550	0.981	1.000	248	3508	6968195	6969555	6970373	6971733	353809194	6846673	7096673	0	2054	1360	818	immediate
