#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	475707	476665	IR	639	.	476186	0.639	0.993	88	103905	475707	476123	476249	476665	9560889	300000	550000	88	2936	416	126	immediate
SUPER_1	3208538	3363455	IR	634	.	3286001	0.634	0.386	78	155384	3208538	3285795	3286207	3363455	9560889	3150000	3400000	78	2266	77248	412	immediate
SUPER_1	1836578	1932802	IR	592	.	1884784	0.592	0.994	63	96264	1836578	1836896	1932484	1932802	9560889	1700000	1950000	63	3078	318	95588	spaced
SUPER_1	5716761	5717927	IR	560	.	5717344	0.560	0.945	84	8652	5716761	5717279	5717409	5717930	9560889	5550000	5800000	84	2788	518	130	immediate
SUPER_1	4830484	4831744	IR	529	.	4831114	0.529	0.871	53	140910	4830484	4831054	4831174	4831746	9560889	4750000	5000000	53	1351	570	120	immediate
SUPER_1	8362950	8366400	IR	437	.	8364439	0.437	0.560	36	3390	8362950	8364090	8365277	8366400	9560889	8150000	8400000	56	3577	1123	1187	immediate
SUPER_1	2070761	2072173	IR	437	.	2071467	0.437	0.922	24	6838	2070761	2071127	2071810	2072173	9560889	1950000	2200000	24	2024	363	683	immediate
SUPER_1	6513623	6595378	IR	431	.	6554656	0.431	0.975	25	81774	6513623	6513778	6595223	6595380	9560889	6500000	6750000	25	908	155	81445	spaced
SUPER_1	5582940	5664521	IR	421	.	5623747	0.421	0.380	20	81635	5582940	5623668	5623793	5664584	9560889	5450000	5700000	32	2895	40728	125	immediate
SUPER_1	1092953	1095107	IR	416	.	1093583	0.416	0.742	39	2147	1092953	1093957	1094103	1095127	9560889	900000	1150000	0	3233	1004	146	immediate
SUPER_1	3092490	3114275	IR	408	.	3103119	0.408	0.364	36	21741	3092490	3092534	3114231	3114327	9560889	2950000	3200000	0	2556	44	21697	spaced
SUPER_1	7414389	7610990	IR	405	.	7513210	0.405	0.456	110	196291	7414389	7426782	7598597	7611002	9560889	7400000	7650000	0	1878	12393	171815	wide
