#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	55964018	55965934	IR	986	.	55964976	0.986	1.000	187	2173	55964018	55964835	55965117	55965934	88077321	55750000	56000000	187	3582	817	282	immediate
SUPER_1	41323562	41331779	IR	948	.	41327667	0.948	0.994	826	9088	41323562	41327152	41328194	41331779	88077321	41100000	41350000	826	3794	3585	1042	immediate
SUPER_1	37006844	37009422	IR	902	.	37008159	0.902	0.935	177	2808	37006844	37007925	37008393	37009422	88077321	36850000	37100000	180	2635	1029	468	immediate
SUPER_1	44033782	44046852	IR	900	.	44040317	0.900	0.997	1293	14519	44033782	44039486	44041148	44046863	88077321	43800000	44050000	1321	4005	5704	1662	immediate
SUPER_1	65895390	65897316	IR	897	.	65896355	0.897	0.974	128	2210	65895390	65896164	65896546	65897316	88077321	65650000	65900000	128	4105	770	382	immediate
SUPER_1	11784366	11786752	IR	868	.	11785559	0.868	0.916	159	2573	11784366	11785436	11785682	11786752	88077321	11600000	11850000	159	3092	1070	246	immediate
SUPER_1	49094107	49100943	IR	866	.	49097039	0.866	0.883	330	6902	49094107	49097477	49097573	49101028	88077321	49000000	49250000	0	1625	3370	96	immediate
SUPER_1	46025743	46027741	IR	838	.	46026742	0.838	0.894	121	2294	46025743	46026561	46026923	46027811	88077321	45900000	46150000	121	2112	818	362	immediate
SUPER_1	28666725	28669265	IR	811	.	28667995	0.811	0.880	148	2837	28666725	28667473	28668517	28669352	88077321	28450000	28700000	148	3633	748	1044	immediate
SUPER_1	26432025	26434273	IR	726	.	26433149	0.726	0.997	134	2418	26432025	26432695	26433603	26434273	88077321	26200000	26450000	134	3885	670	908	immediate
SUPER_1	12613180	12615821	IR	715	.	12614539	0.715	0.896	133	2836	12613180	12613961	12615117	12615821	88077321	12500000	12750000	133	1908	704	1156	immediate
SUPER_1	79361795	79364518	IR	714	.	79363105	0.714	0.942	23	2728	79361795	79362177	79364138	79364518	88077321	79350000	79600000	23	219	380	1961	immediate
SUPER_1	64800785	64802765	IR	701	.	64801775	0.701	0.974	78	2316	64800785	64801286	64802264	64802765	88077321	64600000	64850000	78	3362	501	978	immediate
SUPER_1	64432223	64434795	IR	656	.	64433724	0.656	0.904	81	2763	64432223	64432686	64434332	64434843	88077321	64400000	64650000	103	558	463	1646	immediate
SUPER_1	70887875	70889915	IR	628	.	70888895	0.628	0.958	83	2161	70887875	70888694	70889096	70889920	88077321	70800000	71050000	83	1481	819	402	immediate
SUPER_1	38964588	38967924	IR	616	.	38966256	0.616	0.965	200	3671	38964588	38965976	38966536	38967925	88077321	38800000	39050000	200	2770	1388	560	immediate
SUPER_1	70963054	71142451	IR	606	.	71052411	0.606	0.389	48	179316	70963054	71052157	71053348	71142462	88077321	70950000	71200000	0	1712	89103	1191	immediate
SUPER_1	36415672	36417836	IR	603	.	36416754	0.603	0.990	84	2200	36415672	36416189	36417319	36417836	88077321	36200000	36450000	84	3612	517	1130	immediate
SUPER_1	1986708	1989326	IR	590	.	1988017	0.590	0.929	199	2828	1986708	1987858	1988225	1989326	88077321	1800000	2050000	204	3133	1101	367	immediate
SUPER_1	6812051	6815075	IR	579	.	6813558	0.579	0.974	162	3171	6812051	6812888	6814238	6815076	88077321	6600000	6850000	178	3559	837	1350	immediate
SUPER_1	19657082	19660188	IR	576	.	19658643	0.576	0.936	102	3232	19657082	19657987	19659299	19660188	88077321	19450000	19700000	102	3477	889	1312	immediate
SUPER_1	62497793	62500552	IR	566	.	62498686	0.566	0.942	180	2739	62497793	62499123	62499226	62500552	88077321	62300000	62550000	0	3319	1326	103	immediate
SUPER_1	69534653	69535438	IR	543	.	69534801	0.543	0.878	96	106320	69534653	69534969	69535122	69535438	88077321	69450000	69700000	20	1417	316	153	immediate
SUPER_1	39815407	39818013	IR	533	.	39816710	0.533	0.971	109	2755	39815407	39816172	39817248	39818015	88077321	39600000	39850000	110	3611	765	1076	immediate
SUPER_1	52078224	52080534	IR	531	.	52079393	0.531	0.891	29	58383	52078224	52078792	52079994	52080534	88077321	51900000	52150000	29	2989	540	1202	immediate
SUPER_1	19553916	19556031	IR	521	.	19555218	0.521	0.979	118	2093	19553916	19554817	19555130	19556031	88077321	19350000	19600000	0	3416	901	313	immediate
SUPER_1	61380639	61382437	IR	520	.	61381538	0.520	0.915	28	6691	61380639	61381096	61381991	61382437	88077321	61250000	61500000	28	2192	446	895	immediate
SUPER_1	34495786	34498341	IR	516	.	34497064	0.516	0.872	38	2678	34495786	34496728	34497407	34498341	88077321	34250000	34500000	38	4117	934	679	immediate
SUPER_1	40699342	40704628	IR	510	.	40702005	0.510	0.913	175	6914	40699342	40701797	40702213	40704628	88077321	40500000	40750000	183	3366	2415	416	immediate
SUPER_1	38446373	38463044	IR	510	.	38455130	0.510	0.925	37	16655	38446373	38446929	38462488	38463047	88077321	38250000	38500000	0	3411	556	15559	spaced
SUPER_1	76258379	76265741	IR	505	.	76261767	0.505	0.936	260	7335	76258379	76260870	76263287	76265741	88077321	76050000	76300000	0	3534	2454	2417	spaced
SUPER_1	16176070	16179483	IR	505	.	16177795	0.505	0.908	118	3546	16176070	16176946	16178644	16179483	88077321	15950000	16200000	118	3796	839	1698	immediate
SUPER_1	79743662	79754408	IR	500	.	79748980	0.500	0.899	262	11494	79743662	79746587	79751483	79754418	88077321	79600000	79850000	262	2483	2925	4896	spaced
SUPER_1	43897990	43900283	IR	488	.	43898809	0.488	0.971	145	2275	43897990	43899006	43899267	43900299	88077321	43700000	43950000	0	3318	1016	261	immediate
SUPER_1	2175402	2177620	IR	488	.	2176511	0.488	0.945	65	2414	2175402	2175861	2177161	2177634	88077321	2050000	2300000	65	2108	459	1300	immediate
SUPER_1	3344238	3346513	IR	476	.	3345877	0.476	0.859	79	2250	3344238	3345340	3345436	3346513	88077321	3100000	3350000	0	4089	1077	96	immediate
SUPER_1	73724160	73726491	IR	470	.	73724998	0.470	0.922	150	2354	73724160	73725195	73725456	73726535	88077321	73500000	73750000	0	3755	1035	261	immediate
SUPER_1	7210471	7212504	IR	470	.	7211252	0.470	0.863	113	2115	7210471	7211352	7211641	7212504	88077321	7000000	7250000	113	3524	863	289	immediate
SUPER_1	12844862	12845446	IR	469	.	12845154	0.469	0.975	27	46645	12844862	12845064	12845244	12845446	88077321	12700000	12950000	27	2419	202	180	immediate
SUPER_1	20441158	20444215	IR	467	.	20442706	0.467	0.903	78	3113	20441158	20441899	20443513	20444215	88077321	20250000	20500000	78	3211	702	1614	immediate
SUPER_1	18132797	18133828	IR	461	.	18133317	0.461	0.936	33	2016	18132797	18133146	18133479	18133837	88077321	17900000	18150000	33	3888	349	333	immediate
SUPER_1	35591847	35593182	IR	459	.	35592271	0.459	0.973	129	2261	35591847	35592335	35592694	35593182	88077321	35450000	35700000	77	2375	488	359	immediate
SUPER_1	49572672	49575522	IR	458	.	49574099	0.458	0.941	113	2971	49572672	49573800	49574401	49575522	88077321	49500000	49750000	113	1234	1121	601	immediate
SUPER_1	60332612	60333636	IR	457	.	60333124	0.457	0.976	47	11736	60332612	60332983	60333266	60333636	88077321	60250000	60500000	47	1385	370	283	immediate
SUPER_1	84265017	84274063	IR	449	.	84269540	0.449	0.999	754	11230	84265017	84268514	84270566	84274063	88077321	84050000	84300000	754	3658	3497	2052	spaced
SUPER_1	315926	545731	IR	449	.	430947	0.449	0.966	246	230093	315926	317209	544448	545745	88077321	300000	550000	246	2180	1283	227239	wide
SUPER_1	21834916	21837624	IR	448	.	21836270	0.448	1.000	127	2845	21834916	21835489	21837051	21837624	88077321	21650000	21900000	127	3104	573	1562	immediate
SUPER_1	2522869	2525547	IR	445	.	2524208	0.445	0.911	102	2772	2522869	2523654	2524762	2525549	88077321	2300000	2550000	102	3736	785	1108	immediate
SUPER_1	11594576	11595284	IR	441	.	11594930	0.441	0.982	24	5946	11594576	11594746	11595114	11595284	88077321	11400000	11650000	24	3248	170	368	immediate
SUPER_1	80386331	80388622	IR	437	.	80387471	0.437	0.759	57	2360	80386331	80386885	80388171	80388622	88077321	80250000	80500000	57	2291	451	1286	immediate
SUPER_1	45751639	45800587	IR	431	.	45775745	0.431	0.905	185	48922	45751639	45755268	45797006	45800587	88077321	45700000	45950000	0	1268	3581	41738	spaced
SUPER_1	43988996	43992005	IR	425	.	43990760	0.425	0.948	113	2989	43988996	43989943	43991088	43992005	88077321	43750000	44000000	0	4008	917	1145	immediate
SUPER_1	78094868	78200292	IR	414	.	78147677	0.414	0.923	365	106849	78094868	78098753	78196407	78200349	88077321	78050000	78300000	365	1626	3885	97654	spaced
SUPER_1	83594815	83598072	IR	412	.	83596459	0.412	0.641	38	3417	83594815	83596335	83596582	83598072	88077321	83450000	83700000	38	2440	1490	247	immediate
SUPER_1	51430793	51438744	IR	410	.	51434775	0.410	0.472	20	8124	51430793	51434752	51434785	51438858	88077321	51300000	51550000	20	2246	3959	33	immediate
SUPER_1	74395036	74398198	IR	409	.	74396616	0.409	0.905	26	3150	74395036	74395630	74397604	74398201	88077321	74300000	74550000	26	1610	594	1974	immediate
SUPER_1	60994123	60996365	IR	406	.	60995244	0.406	0.981	132	2366	60994123	60995083	60995405	60996366	88077321	60750000	61000000	132	4087	960	322	immediate
SUPER_1	72545963	72549961	IR	406	.	72547982	0.406	0.772	78	4058	72545963	72547776	72548189	72549961	88077321	72450000	72700000	78	1632	1772	413	immediate
SUPER_1	87259406	87323531	IR	405	.	87291747	0.405	0.916	214	64085	87259406	87261534	87321403	87323536	88077321	87150000	87400000	0	2357	2128	59869	spaced
SUPER_1	48194495	48197887	IR	402	.	48196193	0.402	0.568	44	3591	48194495	48196036	48196346	48197892	88077321	48000000	48250000	46	3269	1541	310	immediate
SUPER_1	70037627	70039907	IR	401	.	70038767	0.401	0.897	35	2349	70037627	70038026	70039508	70039916	88077321	69800000	70050000	35	3979	399	1482	immediate
SUPER_1	60308320	60310546	IR	399	.	60309452	0.399	0.809	34	2505	60308320	60308714	60310188	60310546	88077321	60300000	60550000	34	157	358	1474	immediate
SUPER_1	41780901	41783890	IR	395	.	41782399	0.395	0.893	101	3090	41780901	41781719	41783078	41783890	88077321	41600000	41850000	102	3039	812	1359	immediate
SUPER_1	5651431	5654628	IR	390	.	5653041	0.390	0.823	56	3471	5651431	5652192	5653867	5654651	88077321	5450000	5700000	57	3383	761	1675	immediate
SUPER_1	42565506	42592595	IR	390	.	42579530	0.390	0.777	27	26953	42565506	42569032	42589105	42592595	88077321	42350000	42600000	0	3817	3490	20073	spaced
SUPER_1	36231750	36235758	IR	389	.	36233790	0.389	0.725	44	4265	36231750	36233609	36233970	36235758	88077321	36100000	36350000	45	2229	1788	361	immediate
SUPER_1	16903112	16906774	IR	387	.	16904975	0.387	0.908	100	3769	16903112	16903872	16906064	16906774	88077321	16750000	17000000	107	2582	710	2192	spaced
SUPER_1	24798718	24801905	IR	387	.	24800311	0.387	0.848	91	3381	24798718	24799344	24801279	24802004	88077321	24650000	24900000	100	2505	626	1935	immediate
SUPER_1	37015226	37017825	IR	385	.	37016531	0.385	0.923	65	2888	37015226	37015892	37017159	37017854	88077321	36800000	37050000	65	3608	666	1267	immediate
SUPER_1	62139292	62141777	IR	384	.	62140556	0.384	0.741	42	2578	62139292	62139894	62141175	62141859	88077321	62000000	62250000	42	2342	602	1281	immediate
SUPER_1	87218994	87258821	IR	383	.	87238745	0.383	0.969	702	41161	87218994	87224327	87253488	87258822	88077321	87100000	87350000	702	2314	5333	29161	spaced
SUPER_1	26003417	26145665	IR	379	.	26074888	0.379	0.860	60	142225	26003417	26005061	26144021	26145719	88077321	26000000	26250000	0	1242	1644	138960	wide
SUPER_1	76910805	76972640	IR	378	.	76941833	0.378	0.991	5962	68579	76910805	76938109	76945339	76972640	88077321	76750000	77000000	5998	3195	27301	7230	spaced
SUPER_1	55605907	55608056	IR	378	.	55607226	0.378	0.982	67	2128	55605907	55606476	55607487	55608056	88077321	55500000	55750000	0	1782	569	1011	immediate
SUPER_1	49043763	49081154	IR	377	.	49062290	0.377	0.548	39	37387	49043763	49043839	49081112	49081154	88077321	48900000	49150000	331	2707	42	37273	spaced
SUPER_1	83197309	83263368	IR	376	.	83230394	0.376	0.972	141	66454	83197309	83198256	83262421	83263375	88077321	83050000	83300000	141	3005	947	64165	spaced
SUPER_1	65672056	65679821	IR	375	.	65675540	0.375	0.979	107	7724	65672056	65672964	65678913	65679821	88077321	65450000	65700000	0	3765	908	5949	spaced
SUPER_1	57863383	57992094	IR	374	.	57927716	0.374	0.906	210	129219	57863383	57866070	57989407	57992112	88077321	57750000	58000000	210	2962	2687	123337	wide
SUPER_1	38948128	38948921	IR	374	.	38948529	0.374	0.980	39	2274	38948128	38948380	38948669	38948921	88077321	38850000	39100000	39	1641	252	289	immediate
SUPER_1	40825452	40859420	IR	373	.	40841933	0.373	0.971	55	33946	40825452	40825905	40858967	40859422	88077321	40650000	40900000	0	3207	453	33062	spaced
SUPER_1	23634472	23845689	IR	372	.	23740209	0.372	0.869	47	211327	23634472	23634978	23845183	23845740	88077321	23600000	23850000	48	2334	506	210205	wide
SUPER_1	20752991	20902251	IR	371	.	20827135	0.371	0.383	76	149237	20752991	20827505	20827760	20902251	88077321	20750000	21000000	0	1293	74491	255	immediate
SUPER_1	1036505	1062921	IR	370	.	1049515	0.370	0.882	93	26485	1036505	1037463	1062022	1062921	88077321	900000	1150000	93	2495	899	24559	spaced
SUPER_1	70405114	70407143	IR	369	.	70406129	0.369	0.955	68	2117	70405114	70405670	70406587	70407145	88077321	70200000	70450000	68	3435	556	917	immediate
SUPER_1	76466436	76469024	IR	369	.	76467734	0.369	0.949	49	2602	76466436	76466783	76468685	76469024	88077321	76300000	76550000	49	2795	339	1902	immediate
SUPER_1	22708666	22711866	IR	369	.	22710753	0.369	0.935	34	3180	22708666	22709063	22711469	22711866	88077321	22500000	22750000	0	3504	397	2406	spaced
SUPER_1	86156130	86157081	IR	368	.	86156753	0.368	1.000	90	11530	86156130	86156537	86156674	86157081	88077321	86150000	86400000	91	109	407	137	immediate
SUPER_1	85916619	86092071	IR	368	.	86004307	0.368	0.991	45	175599	85916619	85916851	86091839	86092071	88077321	85900000	86150000	45	1738	232	174988	wide
SUPER_1	81790613	81815415	IR	367	.	81802547	0.367	0.963	285	24795	81790613	81793535	81812493	81815428	88077321	81600000	81850000	0	3383	2922	18958	spaced
SUPER_1	33954261	33958801	IR	367	.	33956724	0.367	0.912	99	4664	33954261	33954960	33958102	33958824	88077321	33800000	34050000	103	2608	699	3142	spaced
SUPER_1	69303162	69306540	IR	365	.	69304858	0.365	0.963	112	3518	69303162	69303949	69305768	69306540	88077321	69100000	69350000	112	3414	772	1819	immediate
SUPER_1	55441693	55445694	IR	365	.	55443724	0.365	0.885	73	4172	55441693	55442671	55444776	55445694	88077321	55200000	55450000	75	4061	918	2105	spaced
SUPER_1	45156685	45159326	IR	364	.	45157820	0.364	0.893	54	2701	45156685	45157248	45158774	45159326	88077321	44950000	45200000	54	3466	552	1526	immediate
SUPER_1	17135558	17148464	IR	363	.	17142395	0.363	0.897	193	12868	17135558	17137633	17146478	17148464	88077321	16950000	17200000	0	3200	1986	8845	spaced
SUPER_1	51511132	51525261	IR	363	.	51518353	0.363	0.873	104	14297	51511132	51511943	51524450	51525320	88077321	51350000	51600000	104	2803	811	12507	spaced
SUPER_1	27940849	27945206	IR	363	.	27943307	0.363	0.850	78	4305	27940849	27941379	27944676	27945270	88077321	27700000	27950000	0	4050	530	3297	spaced
SUPER_1	73956343	73959921	IR	363	.	73957764	0.363	0.959	67	3476	73956343	73957166	73959098	73959922	88077321	73750000	74000000	0	3468	823	1932	immediate
SUPER_1	44568327	44625128	IR	362	.	44596391	0.362	0.978	764	56775	44568327	44573387	44620138	44625128	88077321	44450000	44700000	0	2445	4990	46751	spaced
SUPER_1	5164949	5169943	IR	362	.	5167390	0.362	1.000	139	5128	5164949	5165574	5169318	5169943	88077321	5100000	5350000	139	1123	625	3744	spaced
SUPER_1	71661778	71761860	IR	362	.	71711505	0.362	0.986	38	100064	71661778	71662069	71761569	71761860	88077321	71550000	71800000	0	2696	291	99500	spaced
SUPER_1	70350151	70368100	IR	362	.	70358778	0.362	0.960	33	17927	70350151	70350424	70367827	70368103	88077321	70350000	70600000	0	151	273	17403	spaced
SUPER_1	15003532	15004487	IR	361	.	15004015	0.361	0.971	53	29292	15003532	15003846	15004173	15004487	88077321	14800000	15050000	53	3400	314	327	immediate
SUPER_1	83314980	83317504	IR	360	.	83316242	0.360	0.902	65	2618	83314980	83315604	83316880	83317518	88077321	83200000	83450000	65	1937	624	1276	immediate
SUPER_1	2670360	2671131	IR	360	.	2670879	0.360	0.993	58	172822	2670360	2670658	2670833	2671133	88077321	2550000	2800000	58	2012	298	175	immediate
SUPER_1	56898704	56923490	IR	359	.	56910684	0.359	0.928	369	24781	56898704	56901571	56920623	56923523	88077321	56700000	56950000	0	3518	2867	19052	spaced
SUPER_1	7567536	7572310	IR	359	.	7569725	0.359	0.900	116	4888	7567536	7568300	7571546	7572315	88077321	7350000	7600000	125	3665	764	3246	spaced
SUPER_1	46206376	46221997	IR	359	.	46214379	0.359	0.940	54	15662	46206376	46206691	46221698	46221997	88077321	46050000	46300000	55	2736	299	15007	spaced
SUPER_1	24218111	24321826	IR	358	.	24269935	0.358	0.863	29	103768	24218111	24218328	24321609	24321826	88077321	24150000	24400000	29	1999	217	103281	wide
SUPER_1	79999231	80091916	IR	356	.	80046022	0.356	0.933	162	92661	79999231	80000297	80090909	80091916	88077321	79900000	80150000	0	2426	1007	90612	spaced
SUPER_1	5773918	5777682	IR	356	.	5776104	0.356	0.845	134	3821	5773918	5775033	5776567	5777758	88077321	5700000	5950000	0	1263	1115	1534	immediate
SUPER_1	50212465	50219097	IR	356	.	50215409	0.356	0.939	124	6636	50212465	50213531	50218031	50219124	88077321	50000000	50250000	0	3596	1066	4500	spaced
SUPER_1	42706774	42786305	IR	356	.	42746706	0.356	0.831	20	79530	42706774	42707082	42786016	42786305	88077321	42700000	42950000	21	775	289	78934	spaced
SUPER_1	19916261	20114539	IR	355	.	20015722	0.355	0.915	105	198254	19916261	19917557	20113258	20114539	88077321	19900000	20150000	0	1923	1281	195701	wide
SUPER_1	55992589	56000417	IR	355	.	55996219	0.355	0.914	92	7823	55992589	55993448	55999558	56000436	88077321	55900000	56150000	0	1608	859	6110	spaced
SUPER_1	52811928	52816637	IR	355	.	52814571	0.355	0.795	68	4715	52811928	52812785	52815780	52816665	88077321	52700000	52950000	0	1904	857	2995	spaced
SUPER_1	82500938	82503246	IR	355	.	82502142	0.355	0.952	40	2368	82500938	82501244	82502940	82503251	88077321	82300000	82550000	40	3368	306	1696	immediate
SUPER_1	20295068	20298847	IR	355	.	20296952	0.355	0.765	31	3839	20295068	20295785	20298220	20298847	88077321	20150000	20400000	31	2449	627	2435	spaced
SUPER_1	41229610	41231859	IR	354	.	41230420	0.354	0.941	119	2229	41229610	41230678	41230817	41231859	88077321	41000000	41250000	0	3845	1042	139	immediate
SUPER_1	44718196	44722225	IR	354	.	44720705	0.354	0.964	102	4024	44718196	44719005	44721416	44722238	88077321	44650000	44900000	0	1170	809	2411	spaced
SUPER_1	51125063	51205234	IR	354	.	51165323	0.354	0.952	90	81033	51125063	51125699	51204598	51205245	88077321	51000000	51250000	90	2752	636	78899	spaced
SUPER_1	61024522	61046929	IR	354	.	61035238	0.354	0.871	21	22202	61024522	61025531	61045943	61046929	88077321	60950000	61200000	0	1428	986	20412	spaced
SUPER_1	64716784	64724196	IR	353	.	64720369	0.353	0.974	109	7548	64716784	64717552	64723431	64724196	88077321	64500000	64750000	109	3674	765	5879	spaced
SUPER_1	32568135	32769767	IR	353	.	32669046	0.353	0.935	32	201729	32568135	32568467	32769435	32769774	88077321	32550000	32800000	32	1982	332	200968	wide
SUPER_1	74896988	74940879	IR	353	.	74918775	0.353	0.880	27	43952	74896988	74897368	74940499	74940889	88077321	74800000	75050000	27	1982	380	43131	spaced
SUPER_1	13462604	13465827	IR	353	.	13464319	0.353	0.548	20	3161	13462604	13463455	13465254	13465827	88077321	13350000	13600000	26	1903	573	1799	immediate
SUPER_1	10603690	10692508	IR	352	.	10648085	0.352	0.857	180	89509	10603690	10607663	10688535	10692539	88077321	10450000	10700000	182	3301	3973	80872	spaced
SUPER_1	13671436	13756953	IR	352	.	13714562	0.352	0.964	99	85490	13671436	13672478	13755913	13756953	88077321	13550000	13800000	0	2736	1040	83435	spaced
SUPER_1	11396336	11454017	IR	352	.	11425644	0.352	0.809	94	57721	11396336	11397744	11452609	11454076	88077321	11250000	11500000	0	2919	1408	54865	spaced
SUPER_1	42005815	42009560	IR	352	.	42007619	0.352	0.732	59	3960	42005815	42007526	42007849	42009613	88077321	41800000	42050000	60	3461	1711	323	immediate
SUPER_1	26164431	26344765	IR	351	.	26254769	0.351	0.873	166	180564	26164431	26167512	26341716	26344765	88077321	26100000	26350000	166	2576	3049	174204	wide
SUPER_1	60240593	60246415	IR	351	.	60243149	0.351	0.896	111	5799	60240593	60241632	60245461	60246415	88077321	60000000	60250000	0	4058	954	3829	spaced
SUPER_1	63821079	63821988	IR	350	.	63821539	0.350	1.000	85	6389	63821079	63821448	63821619	63821988	88077321	63650000	63900000	85	2858	369	171	immediate
SUPER_1	25486264	25613195	IR	349	.	25549438	0.349	0.885	316	126913	25486264	25490318	25609202	25613195	88077321	25450000	25700000	0	1662	3993	118884	wide
SUPER_1	2337495	2352143	IR	349	.	2344885	0.349	1.000	57	14784	2337495	2337731	2351907	2352143	88077321	2150000	2400000	57	3246	236	14176	spaced
SUPER_1	15902990	15905253	IR	349	.	15903926	0.349	0.924	56	2523	15902990	15903321	15904925	15905253	88077321	15700000	15950000	56	3401	328	1604	immediate
SUPER_1	15800213	15801128	IR	348	.	15800751	0.348	0.992	79	6408	15800213	15800585	15800756	15801130	88077321	15650000	15900000	79	2511	372	171	immediate
