#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	14644899	14651335	IR	917	.	14648117	0.917	1.000	599	7046	14644899	14647610	14648624	14651335	15297976	14450000	14700000	599	3301	2711	1014	immediate
SUPER_1	8477062	8479908	IR	895	.	8478480	0.895	0.975	226	35187	8477062	8478226	8478744	8479912	15297976	8400000	8650000	226	1307	1164	518	immediate
SUPER_1	5874152	5880668	IR	815	.	5877410	0.815	0.998	590	7168	5874152	5876896	5877924	5880668	15297976	5650000	5900000	590	3790	2744	1028	immediate
SUPER_1	6108019	6115240	IR	757	.	6111628	0.757	0.998	636	7886	6108019	6110916	6112344	6115240	15297976	5900000	6150000	636	3526	2896	1428	immediate
SUPER_1	13956530	13962907	IR	714	.	13959719	0.714	0.994	514	6867	13956530	13959178	13960260	13962907	15297976	13750000	14000000	514	3495	2647	1082	immediate
SUPER_1	6581596	6588363	IR	693	.	6584983	0.693	0.980	529	7267	6581596	6584471	6585495	6588363	15297976	6350000	6600000	529	3916	2868	1024	immediate
SUPER_1	13603826	13605934	IR	693	.	13604869	0.693	0.816	87	2207	13603826	13604708	13605079	13605934	15297976	13450000	13700000	96	2581	855	371	immediate
SUPER_1	634617	635797	IR	657	.	635207	0.657	0.945	80	78744	634617	635142	635290	635797	15297976	500000	750000	95	2253	507	148	immediate
SUPER_1	5378765	5381624	IR	639	.	5380195	0.639	0.996	183	3045	5378765	5379674	5380716	5381624	15297976	5250000	5500000	184	2169	908	1042	immediate
SUPER_1	8375393	8378471	IR	618	.	8376932	0.618	0.979	133	3187	8375393	8376255	8377609	8378471	15297976	8150000	8400000	133	3782	862	1354	immediate
SUPER_1	4189912	4193598	IR	606	.	4191299	0.606	0.836	127	3659	4189912	4191168	4192384	4193598	15297976	3950000	4200000	0	4029	1214	1216	immediate
SUPER_1	1272536	1275012	IR	572	.	1273774	0.572	0.986	94	29984	1272536	1273024	1274524	1275012	15297976	1100000	1350000	94	2896	488	1500	immediate
SUPER_1	14295281	14297170	IR	511	.	14296225	0.511	0.904	86	2059	14295281	14295861	14296590	14297204	15297976	14100000	14350000	94	3270	580	729	immediate
SUPER_1	1060878	1063371	IR	508	.	1062125	0.508	0.971	69	2540	1060878	1061424	1062825	1063372	15297976	850000	1100000	84	3535	546	1401	immediate
SUPER_1	3943520	3946639	IR	490	.	3944933	0.490	0.988	94	3193	3943520	3944088	3946071	3946640	15297976	3750000	4000000	94	3251	568	1983	immediate
SUPER_1	15192340	15197689	IR	426	.	15194916	0.426	1.000	533	5950	15192340	15194686	15195343	15197689	15297976	14950000	15200000	533	4083	2346	657	immediate
SUPER_1	9563444	9566062	IR	423	.	9564782	0.423	0.913	196	3228	9563444	9564557	9564949	9566136	15297976	9350000	9600000	196	3579	1113	392	immediate
SUPER_1	12556083	12559341	IR	386	.	12557859	0.386	0.981	112	3453	12556083	12556801	12558623	12559343	15297976	12350000	12600000	112	3461	718	1822	immediate
SUPER_1	10351670	10358261	IR	382	.	10354799	0.382	0.994	557	7269	10351670	10354468	10355463	10358263	15297976	10150000	10400000	557	3415	2798	995	immediate
SUPER_1	3593938	3701850	IR	372	.	3647963	0.372	0.898	102	108040	3593938	3594322	3701466	3701886	15297976	3550000	3800000	332	1631	384	107144	wide
SUPER_1	11922375	11924802	IR	370	.	11923531	0.370	0.968	115	2510	11922375	11923131	11924054	11924802	15297976	11700000	11950000	116	3726	748	923	immediate
SUPER_1	1862458	1988339	IR	369	.	1925273	0.369	0.952	104	126168	1862458	1862962	1987835	1988359	15297976	1750000	2000000	121	2923	504	124873	wide
SUPER_1	6433302	6483852	IR	367	.	6458076	0.367	0.902	21	50532	6433302	6433669	6483485	6483852	15297976	6250000	6500000	0	3476	367	49816	spaced
SUPER_1	9661150	9667974	IR	363	.	9664652	0.363	0.943	378	7701	9661150	9663719	9665461	9667974	15297976	9550000	9800000	478	1909	2513	1742	immediate
SUPER_1	5067606	5089338	IR	363	.	5078498	0.363	0.919	76	21735	5067606	5068177	5088799	5089338	15297976	5000000	5250000	97	1307	539	20622	spaced
SUPER_1	9324373	9327714	IR	362	.	9326043	0.362	1.000	313	3724	9324373	9325833	9326254	9327714	15297976	9100000	9350000	313	3767	1460	421	immediate
SUPER_1	2639673	2665285	IR	361	.	2652086	0.361	0.883	100	25591	2639673	2640476	2664536	2665285	15297976	2450000	2700000	0	3374	749	24060	spaced
SUPER_1	12046111	12217986	IR	361	.	12131970	0.361	0.866	32	171886	12046111	12046393	12217704	12217994	15297976	12000000	12250000	32	2200	282	171311	wide
SUPER_1	8420703	8422816	IR	360	.	8421762	0.360	0.999	202	2334	8420703	8421598	8421921	8422816	15297976	8200000	8450000	202	3695	895	323	immediate
SUPER_1	9787281	9789994	IR	359	.	9788637	0.359	0.997	65	2770	9787281	9787584	9789691	9789994	15297976	9750000	10000000	65	643	303	2107	spaced
SUPER_1	7533559	7540788	IR	351	.	7537541	0.351	0.802	177	7140	7533559	7535441	7539014	7540788	15297976	7400000	7650000	0	2286	1774	3573	spaced
SUPER_1	2990907	3176887	IR	350	.	3083821	0.350	0.954	70	186098	2990907	2991487	3176318	3176887	15297976	2950000	3200000	72	2231	569	184831	wide
SUPER_1	4436506	4608126	IR	350	.	4522195	0.350	0.855	66	171703	4436506	4436960	4607731	4608126	15297976	4400000	4650000	69	2038	395	170771	wide
SUPER_1	8997919	9004700	IR	349	.	9001630	0.349	0.988	134	6753	8997919	8998831	9003788	9004700	15297976	8800000	9050000	0	3355	912	4957	spaced
SUPER_1	8617801	8656141	IR	349	.	8637293	0.349	0.868	39	38318	8617801	8618347	8655632	8656141	15297976	8600000	8850000	0	616	509	37285	spaced
