#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	146534511	146537643	IR	606	.	146536077	0.606	0.880	27	3131	146534511	146535503	146536651	146537647	206960320	146474699	146724699	27	1022	992	1148	immediate
SUPER_1	72892582	72895134	IR	555	.	72893858	0.555	0.957	95	2713	72892582	72893178	72894538	72895139	206960320	72671891	72921891	95	3699	596	1360	immediate
SUPER_1	114110167	114113977	IR	488	.	114112262	0.488	0.960	63	3850	114110167	114110656	114113488	114113981	206960320	113875523	114119523	63	3942	489	2832	spaced
SUPER_1	104347782	104350497	IR	473	.	104349139	0.473	0.944	145	3450	104347782	104348631	104349684	104350497	206960320	104132132	104382132	147	3616	813	1053	immediate
SUPER_1	53743443	53755777	IR	444	.	53749650	0.444	0.968	825	13445	53743443	53748396	53750889	53755777	206960320	53558314	53808314	825	3188	4888	2493	spaced
SUPER_1	73624492	73671681	IR	424	.	73648350	0.424	0.527	121	47142	73624492	73647634	73648581	73671681	206960320	73621891	73871891	0	436	23100	947	immediate
SUPER_1	206337957	206340401	IR	423	.	206338947	0.423	0.867	72	2518	206337957	206338348	206340010	206340407	206960320	206187304	206437304	115	2531	391	1662	immediate
SUPER_1	120456661	120458603	IR	383	.	120457686	0.383	0.531	33	32840	120456661	120456814	120458522	120458603	206960320	120241492	120491492	336	3602	81	1708	immediate
SUPER_1	114210995	114327241	IR	376	.	114268662	0.376	0.953	421	116216	114210995	114215272	114322984	114327241	206960320	114119723	114369723	0	2489	4257	107712	wide
SUPER_1	137513743	137514822	IR	376	.	137514318	0.376	0.984	27	116284	137513743	137513806	137514760	137514822	206960320	137384623	137634623	184	2160	62	954	immediate
SUPER_1	43914938	43923540	IR	358	.	43919235	0.358	0.764	331	9248	43914938	43918723	43919816	43923540	206960320	43784924	44034924	331	2238	3724	1093	immediate
SUPER_1	159405125	159475290	IR	354	.	159440222	0.354	0.994	619	70974	159405125	159408323	159472092	159475290	206960320	159275111	159525111	619	2751	3198	63769	spaced
SUPER_1	147708869	147747574	IR	353	.	147728266	0.353	0.385	27	38685	147708869	147708981	147747522	147747574	206960320	147624699	147874699	251	1725	52	38541	spaced
SUPER_1	159660559	159672661	IR	353	.	159666141	0.353	0.865	20	12038	159660559	159660623	159672597	159672671	206960320	159625111	159875111	0	691	64	11974	spaced
SUPER_1	132977251	133130093	IR	350	.	133054034	0.350	0.614	86	152814	132977251	132977434	133129910	133130208	206960320	132934623	133184623	0	1984	183	152476	wide
SUPER_1	9217563	9416491	IR	350	.	9317359	0.350	0.920	84	198881	9217563	9218933	9415139	9416491	206960320	9197213	9447213	0	1996	1352	196206	wide
SUPER_1	50884481	51061841	IR	350	.	50973030	0.350	0.945	64	177589	50884481	50885438	51060884	51061841	206960320	50813903	51063903	64	2654	957	175446	wide
SUPER_1	73561759	73610370	IR	350	.	73585705	0.350	0.521	61	47264	73561759	73584784	73587345	73610454	206960320	73421891	73671891	0	2736	23025	2561	spaced
SUPER_1	77614898	77617160	IR	350	.	77616250	0.350	0.885	51	2191	77614898	77615015	77617043	77617174	206960320	77513259	77763259	323	1712	117	2028	spaced
SUPER_1	166947543	167002261	IR	349	.	166974405	0.349	0.999	365	54688	166947543	166949600	167000204	167002261	206960320	166784550	167034550	0	3172	2057	50604	spaced
SUPER_1	157303228	157320194	IR	349	.	157311709	0.349	0.969	130	61272	157303228	157304087	157319335	157320195	206960320	157175111	157425111	130	2276	859	15248	spaced
SUPER_1	17968190	17979122	IR	349	.	17974092	0.349	0.906	31	10817	17968190	17968317	17979007	17979122	206960320	17761262	18011262	0	3539	115	10690	spaced
SUPER_1	22303965	22420480	IR	348	.	22362201	0.348	0.974	313	116936	22303965	22306341	22418104	22420480	206960320	22212389	22462389	313	2497	2376	111763	wide
SUPER_1	73490716	73520333	IR	348	.	73505073	0.348	0.538	160	29590	73490716	73505423	73505626	73520333	206960320	73271891	73521891	0	3893	14707	203	immediate
SUPER_1	148103065	148242424	IR	348	.	148172460	0.348	0.604	63	139300	148103065	148103176	148242313	148242508	206960320	148024699	148274699	0	2467	111	139137	wide
SUPER_1	206758017	206875422	IR	347	.	206816257	0.347	0.979	184	117387	206758017	206759316	206874123	206875432	206960320	206637304	206887304	0	2990	1299	114807	wide
SUPER_1	18520756	18640527	IR	347	.	18580866	0.347	0.955	136	119986	18520756	18521747	18639536	18640543	206960320	18392519	18642519	136	3135	991	117789	wide
SUPER_1	26789191	26795621	IR	347	.	26792199	0.347	0.848	60	6388	26789191	26789303	26795509	26795641	206960320	26617173	26867173	1078	2920	112	6206	spaced
SUPER_1	155877892	155894849	IR	347	.	155886702	0.347	1.000	23	16901	155877892	155877950	155894791	155894849	206960320	155675111	155925111	0	3520	58	16841	spaced
SUPER_1	82112082	82257048	IR	346	.	82185020	0.346	0.893	35	144944	82112082	82112417	82256741	82257048	206960320	82023480	82265025	0	2684	307	144324	wide
SUPER_1	159929902	159933857	IR	346	.	159931414	0.346	0.000	35	3928	159929902	159929941	159933818	159933973	206960320	159725111	159975111	0	3446	39	3877	spaced
SUPER_1	18209229	18328022	IR	345	.	18268790	0.345	0.985	160	118943	18209229	18210169	18327082	18328022	206960320	18092519	18342519	160	2934	940	116913	wide
SUPER_1	74709010	74711859	IR	345	.	74710435	0.345	0.940	67	3003	74709010	74709710	74711160	74711859	206960320	74471891	74721891	67	3975	699	1450	immediate
SUPER_1	75133115	75304719	IR	345	.	75219253	0.345	0.921	48	171587	75133115	75134382	75303459	75304719	206960320	75071891	75313059	0	2450	1260	169077	wide
SUPER_1	172234629	172327658	IR	345	.	172281260	0.345	0.549	38	92989	172234629	172234690	172327597	172327709	206960320	172184459	172434459	494	1611	61	92907	spaced
SUPER_1	172037059	172189816	IR	344	.	172113482	0.344	0.934	83	152726	172037059	172037226	172189660	172189816	206960320	171984459	172234459	1583	2149	156	152434	wide
SUPER_1	166552151	166781117	IR	344	.	166666564	0.344	0.888	43	228945	166552151	166552238	166781030	166781128	206960320	166534550	166784550	592	2201	87	228792	wide
SUPER_1	168309901	168501406	IR	343	.	168405184	0.343	0.391	166	191469	168309901	168357702	168453615	168501406	206960320	168297815	168547815	0	1797	47791	95913	spaced
SUPER_1	117136246	117145760	IR	343	.	117141218	0.343	0.986	146	9654	117136246	117136888	117145119	117145760	206960320	116896838	117146838	146	4069	641	8231	spaced
SUPER_1	169773631	169808427	IR	343	.	169790525	0.343	0.581	32	34770	169773631	169773741	169808365	169808427	206960320	169597815	169847815	0	3220	62	34624	spaced
SUPER_1	158955923	159027739	IR	342	.	158992308	0.342	0.907	114	71664	158955923	158958346	159025316	159027746	206960320	158825111	159075111	0	2778	2423	66970	spaced
SUPER_1	148667336	148765452	IR	342	.	148716018	0.342	0.607	65	98116	148667336	148667500	148765288	148765555	206960320	148624699	148874699	0	1528	164	97788	spaced
SUPER_1	69679428	69814581	IR	342	.	69747221	0.342	0.762	38	135186	69679428	69679505	69814504	69814605	206960320	69605490	69855490	419	2358	77	134999	wide
SUPER_1	164327540	164397736	IR	342	.	164362607	0.342	0.976	37	70149	164327540	164327622	164397654	164397736	206960320	164285504	164535504	500	1285	82	70032	spaced
SUPER_1	98105651	98117283	IR	342	.	98111860	0.342	0.917	25	11612	98105651	98106166	98116772	98117283	206960320	97867473	98117473	0	4066	511	10606	spaced
SUPER_1	623092	641881	IR	342	.	631997	0.342	0.777	23	18752	623092	623408	641565	641902	206960320	400000	650000	0	3874	316	18157	spaced
SUPER_1	44020160	44025075	IR	341	.	44022583	0.341	0.939	282	5284	44020160	44021980	44023255	44025086	206960320	43784924	44034924	282	3961	1820	1275	immediate
SUPER_1	27771690	27787167	IR	341	.	27779610	0.341	0.743	54	15416	27771690	27771771	27787086	27787195	206960320	27567173	27817173	1039	3537	81	15315	spaced
SUPER_1	156575816	156743179	IR	341	.	156659473	0.341	0.910	52	167279	156575816	156575905	156743098	156743179	206960320	156525111	156775111	786	2239	81	167193	wide
