#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	61411275	61424603	IR	1000	.	61417939	1.000	0.995	1335	14741	61411275	61417223	61418655	61424629	89565880	61277038	61527038	1349	2348	5948	1432	immediate
SUPER_1	45551378	45565578	IR	996	.	45558478	0.996	1.000	1408	56561	45551378	45557617	45559339	45565578	89565880	45480889	45730889	1471	1293	6239	1722	immediate
SUPER_1	34171690	34186005	IR	996	.	34178848	0.996	1.000	1384	15768	34171690	34178061	34179635	34186005	89565880	34024145	34274145	1389	2578	6370	1574	immediate
SUPER_1	13528233	13542257	IR	996	.	13535245	0.996	0.998	1366	15674	13528233	13534445	13536045	13542267	89565880	13300000	13550000	1414	3920	6212	1600	immediate
SUPER_1	27592979	27607755	IR	996	.	27600255	0.996	1.000	1202	16032	27592979	27598319	27602415	27607755	89565880	27374145	27624145	1217	3770	5340	4096	spaced
SUPER_1	18768516	18773582	IR	996	.	18771049	0.996	1.000	494	5548	18768516	18770768	18771330	18773582	89565880	18550000	18800000	494	3684	2252	562	immediate
SUPER_1	49364465	49378661	IR	995	.	49371563	0.995	1.000	1407	15734	49364465	49370714	49372412	49378662	89565880	49211798	49461798	1453	2662	6249	1698	immediate
SUPER_1	46997204	47003503	IR	995	.	47000354	0.995	0.998	612	7035	46997204	46999983	47000725	47003503	89565880	46761798	47011798	612	3975	2778	742	immediate
SUPER_1	18304788	18309026	IR	995	.	18306907	0.995	1.000	432	4731	18304788	18306670	18307144	18309026	89565880	18100000	18350000	432	3448	1882	474	immediate
SUPER_1	64758013	64763431	IR	994	.	64760722	0.994	1.000	544	5959	64758013	64760437	64761007	64763431	89565880	64527038	64777038	544	3894	2424	570	immediate
SUPER_1	45079007	45081227	IR	991	.	45080117	0.991	0.998	213	2451	45079007	45079974	45080260	45081227	89565880	44880889	45130889	213	3320	967	286	immediate
SUPER_1	50718871	50722911	IR	990	.	50720891	0.990	1.000	422	4465	50718871	50720629	50721153	50722911	89565880	50511798	50761798	422	3484	1758	524	immediate
SUPER_1	40230234	40261409	IR	984	.	40245822	0.984	1.000	3131	34600	40230234	40243899	40247745	40261409	89565880	40036689	40286689	3131	3485	13664	3846	spaced
SUPER_1	14348864	14351710	IR	982	.	14350287	0.982	0.998	256	3119	14348864	14350103	14350471	14351711	89565880	14150000	14400000	256	3337	1239	368	immediate
SUPER_1	44972749	44974765	IR	979	.	44973757	0.979	0.989	157	110222	44972749	44973603	44973911	44974765	89565880	44830889	45080889	157	2380	854	308	immediate
SUPER_1	45047904	45051867	IR	976	.	45049888	0.976	0.984	302	158333	45047904	45049666	45050110	45051867	89565880	44880889	45130889	302	2816	1757	444	immediate
SUPER_1	72295498	72298142	IR	976	.	72296820	0.976	1.000	242	2875	72295498	72296631	72297009	72298142	89565880	72077038	72327038	242	3662	1133	378	immediate
SUPER_1	24703995	24709511	IR	973	.	24706753	0.973	0.999	524	6113	24703995	24706422	24707084	24709511	89565880	24474145	24724145	524	3876	2427	662	immediate
SUPER_1	76711153	76714217	IR	970	.	76712685	0.970	1.000	297	78327	76711153	76712473	76712897	76714217	89565880	76627038	76877038	297	1427	1320	424	immediate
SUPER_1	32263606	32265462	IR	964	.	32264534	0.964	0.999	161	2057	32263606	32264405	32264663	32265462	89565880	32024145	32274145	161	4006	799	258	immediate
SUPER_1	21174450	21186874	IR	960	.	21180663	0.960	0.999	1239	13945	21174450	21179843	21181483	21186874	89565880	20950000	21200000	1239	3844	5391	1640	immediate
SUPER_1	25167912	25173547	IR	959	.	25170728	0.959	0.991	496	6116	25167912	25170339	25171123	25173547	89565880	24924145	25174145	496	4109	2424	784	immediate
SUPER_1	54937577	54941167	IR	959	.	54939372	0.959	0.999	345	3862	54937577	54939135	54939609	54941167	89565880	54711798	54961798	345	3792	1558	474	immediate
SUPER_1	82130563	82144183	IR	956	.	82137373	0.956	0.999	1369	15217	82130563	82136877	82137869	82144185	89565880	81977038	82227038	1441	2672	6314	992	immediate
SUPER_1	39082800	39085872	IR	954	.	39084415	0.954	0.966	189	3495	39082800	39084081	39084591	39085872	89565880	38838435	39088435	189	4098	1281	510	immediate
SUPER_1	56040249	56054757	IR	953	.	56047503	0.953	1.000	1460	16056	56040249	56046594	56048412	56054757	89565880	55811798	56061798	1462	3928	6345	1818	immediate
SUPER_1	38665980	38676994	IR	952	.	38671408	0.952	1.000	1023	12046	38665980	38670549	38672425	38676995	89565880	38655235	38788235	1023	270	4569	1876	immediate
SUPER_1	32199110	32201205	IR	952	.	32200157	0.952	0.994	196	2265	32199110	32199973	32200345	32201205	89565880	31974145	32224145	196	3766	860	372	immediate
SUPER_1	35801621	35803733	IR	950	.	35802677	0.950	0.998	197	2283	35801621	35802489	35802865	35803733	89565880	35624145	35874145	197	2975	868	376	immediate
SUPER_1	44533486	44535626	IR	936	.	44534556	0.936	0.983	138	3247	44533486	44534380	44534732	44535626	89565880	44330889	44580889	138	3394	894	352	immediate
SUPER_1	18048271	18050139	IR	935	.	18049205	0.935	0.997	149	2036	18048271	18049010	18049400	18050139	89565880	17950000	18200000	154	1653	739	390	immediate
SUPER_1	51015567	51027310	IR	934	.	51021650	0.934	0.951	574	12587	51015567	51020676	51022201	51027311	89565880	50811798	51061798	574	3493	5109	1525	immediate
SUPER_1	51121310	51133529	IR	933	.	51127487	0.933	0.947	646	13151	51121310	51127028	51127813	51133529	89565880	51061798	51311798	646	1093	5716	785	immediate
SUPER_1	41736190	41740129	IR	933	.	41738300	0.933	0.950	206	4305	41736190	41737832	41738489	41740129	89565880	41530889	41780889	206	3454	1640	657	immediate
SUPER_1	44059975	44064620	IR	931	.	44062219	0.931	0.971	251	4906	44059975	44061686	44062910	44064620	89565880	43830889	44080889	251	3856	1710	1224	immediate
SUPER_1	28337815	28339713	IR	927	.	28338764	0.927	1.000	157	2039	28337815	28338561	28338967	28339713	89565880	28124145	28374145	157	3576	746	406	immediate
SUPER_1	86364474	86378848	IR	919	.	86371661	0.919	1.000	1447	15972	86364474	86370824	86372498	86378848	89565880	86227038	86477038	1462	2410	6350	1674	immediate
SUPER_1	51845767	51848667	IR	916	.	51847217	0.916	1.000	262	3146	51845767	51846967	51847467	51848667	89565880	51611798	51861798	262	3923	1200	500	immediate
SUPER_1	60867617	60870108	IR	911	.	60868865	0.911	0.952	120	2688	60867617	60868644	60869086	60870108	89565880	60627038	60877038	120	4030	1022	442	immediate
SUPER_1	36945805	36953335	IR	909	.	36949412	0.909	1.000	719	8255	36945805	36948894	36950246	36953335	89565880	36724145	36974145	719	3756	3089	1352	immediate
SUPER_1	77446208	77448634	IR	904	.	77447421	0.904	0.950	141	2614	77446208	77447219	77447623	77448634	89565880	77227038	77477038	141	3672	1011	404	immediate
SUPER_1	61991429	61994508	IR	900	.	61992890	0.900	0.960	164	3222	61991429	61992699	61993238	61994508	89565880	61777038	62027038	164	3598	1270	539	immediate
SUPER_1	51770176	51772452	IR	879	.	51771314	0.879	0.998	200	2489	51770176	51771090	51771538	51772452	89565880	51561798	51811798	200	3491	914	448	immediate
SUPER_1	76793186	76794906	IR	874	.	76794046	0.874	1.000	164	18713	76793186	76793895	76794197	76794906	89565880	76627038	76877038	164	2783	709	302	immediate
SUPER_1	32458284	32463346	IR	869	.	32460813	0.869	0.992	476	5665	32458284	32460379	32461251	32463353	89565880	32224145	32474145	476	3944	2095	872	immediate
SUPER_1	21407093	21410281	IR	869	.	21408687	0.869	0.998	270	3489	21407093	21408316	21409058	21410281	89565880	21200000	21450000	270	3477	1223	742	immediate
SUPER_1	69059527	69062135	IR	869	.	69060831	0.869	1.000	212	2846	69059527	69060511	69061151	69062135	89565880	68827038	69077038	212	3896	984	640	immediate
SUPER_1	35790367	35792405	IR	850	.	35791386	0.850	1.000	162	2330	35790367	35791079	35791693	35792405	89565880	35624145	35874145	162	2787	712	614	immediate
SUPER_1	52244294	52248800	IR	849	.	52246942	0.849	0.975	229	4491	52244294	52246232	52246862	52248802	89565880	52011798	52261798	0	3912	1938	630	immediate
SUPER_1	66520694	66522228	IR	847	.	66521461	0.847	1.000	147	93344	66520694	66521349	66521573	66522228	89565880	66377038	66627038	147	2406	655	224	immediate
SUPER_1	54041265	54043257	IR	842	.	54042261	0.842	0.999	157	2144	54041265	54041962	54042560	54043257	89565880	53811798	54061798	157	3840	697	598	immediate
SUPER_1	20811689	20814577	IR	839	.	20813133	0.839	0.998	272	3146	20811689	20812988	20813278	20814578	89565880	20600000	20850000	272	3552	1299	290	immediate
SUPER_1	39025795	39027897	IR	828	.	39026846	0.828	0.994	131	2246	39025795	39026471	39027221	39027897	89565880	38788435	39038435	131	3973	676	750	immediate
SUPER_1	46139968	46175920	IR	825	.	46157979	0.825	0.432	100	37017	46139968	46157810	46158148	46175920	89565880	46061798	46311798	100	1602	17772	338	immediate
SUPER_1	79488564	79490064	IR	824	.	79489314	0.824	0.985	90	68869	79488564	79489081	79489547	79490064	89565880	79327038	79577038	90	2704	517	466	immediate
SUPER_1	36375414	36377234	IR	816	.	36376323	0.816	0.976	95	22100	36375414	36375965	36376687	36377234	89565880	36224145	36474145	96	2536	547	722	immediate
SUPER_1	40870766	40912040	IR	812	.	40891239	0.812	0.994	751	107320	40870766	40874464	40908342	40912040	89565880	40780889	41030889	751	1841	3698	33878	spaced
SUPER_1	2675874	2679566	IR	812	.	2677720	0.812	0.753	119	4023	2675874	2677358	2678082	2679607	89565880	2450000	2700000	119	3795	1484	724	immediate
SUPER_1	81540978	81542908	IR	810	.	81541942	0.810	0.964	86	2114	81540978	81541557	81542334	81542908	89565880	81327038	81577038	86	3581	574	777	immediate
SUPER_1	22595330	22598636	IR	793	.	22597068	0.793	0.920	86	3352	22595330	22596799	22597169	22598636	89565880	22350000	22600000	86	4116	1467	370	immediate
SUPER_1	49635278	49637500	IR	790	.	49636389	0.790	0.999	154	2398	49635278	49635997	49636781	49637500	89565880	49411798	49661798	154	3743	719	784	immediate
SUPER_1	57213566	57227441	IR	788	.	57220504	0.788	0.999	1304	15378	57213566	57219454	57221554	57227441	89565880	57000405	57250405	1350	3668	5887	2100	spaced
SUPER_1	57880624	57882574	IR	784	.	57881599	0.784	0.979	116	2089	57880624	57881430	57881771	57882574	89565880	57827038	58077038	116	909	803	341	immediate
SUPER_1	54767963	54769939	IR	780	.	54768951	0.780	0.995	130	2088	54767963	54768580	54769322	54769939	89565880	54561798	54811798	130	3452	617	742	immediate
SUPER_1	19828377	19830659	IR	770	.	19829518	0.770	0.993	180	2492	19828377	19829188	19829848	19830665	89565880	19600000	19850000	180	3825	811	660	immediate
SUPER_1	53156503	53158397	IR	762	.	53157450	0.762	0.976	171	2132	53156503	53157315	53157585	53158414	89565880	52911798	53161798	171	4094	812	270	immediate
SUPER_1	28241841	28246278	IR	757	.	28243774	0.757	0.963	158	4416	28241841	28243495	28244625	28246278	89565880	28024145	28274145	0	3665	1653	1130	immediate
SUPER_1	11920181	11924716	IR	755	.	11922213	0.755	0.971	264	4828	11920181	11921727	11923170	11924725	89565880	11700000	11950000	264	3707	1546	1443	immediate
SUPER_1	30434305	30438055	IR	754	.	30435954	0.754	0.969	186	3945	30434305	30435490	30436871	30438055	89565880	30224145	30474145	186	3533	1184	1381	immediate
SUPER_1	36065962	36068355	IR	751	.	36067159	0.751	0.999	233	2871	36065962	36066988	36067329	36068356	89565880	35874145	36124145	233	3216	1026	341	immediate
SUPER_1	54071571	54073489	IR	750	.	54072530	0.750	0.992	134	2037	54071571	54072219	54072841	54073489	89565880	53861798	54111798	134	3512	648	622	immediate
SUPER_1	76569695	76574227	IR	747	.	76571961	0.747	0.944	180	73640	76569695	76571406	76572516	76574229	89565880	76427038	76677038	180	2415	1711	1110	immediate
SUPER_1	50313499	50316234	IR	746	.	50314866	0.746	0.995	196	2905	50313499	50314423	50315310	50316236	89565880	50111798	50361798	196	3384	924	887	immediate
SUPER_1	71023491	71025136	IR	745	.	71024344	0.745	0.901	110	91898	71023491	71024097	71024530	71025197	89565880	70877038	71127038	110	2454	606	433	immediate
SUPER_1	61861191	61864076	IR	742	.	61862705	0.742	0.978	148	3070	61861191	61862131	61863136	61864076	89565880	61627038	61877038	148	3926	940	1005	immediate
SUPER_1	85574998	85579213	IR	734	.	85576831	0.734	0.906	200	4268	85574998	85577099	85577112	85579292	89565880	85377038	85627038	0	3334	2101	13	immediate
SUPER_1	29902094	29908558	IR	732	.	29904833	0.732	0.928	204	6464	29902094	29904819	29905833	29908575	89565880	29724145	29974145	0	3019	2725	1014	immediate
SUPER_1	57312477	57314561	IR	732	.	57313519	0.732	0.995	118	2215	57312477	57313074	57313964	57314561	89565880	57100405	57350405	118	3551	597	890	immediate
SUPER_1	35649074	35652520	IR	727	.	35650797	0.727	0.994	273	4025	35649074	35650488	35651106	35652524	89565880	35424145	35674145	273	3777	1414	618	immediate
SUPER_1	36138511	36140523	IR	726	.	36139517	0.726	0.960	49	2159	36138511	36138988	36140046	36140523	89565880	36074145	36324145	49	1089	477	1058	immediate
SUPER_1	24760573	24762707	IR	724	.	24761640	0.724	0.989	73	2230	24760573	24761013	24762267	24762707	89565880	24724145	24974145	73	624	440	1254	immediate
SUPER_1	54727323	54729443	IR	722	.	54728383	0.722	0.970	75	2159	54727323	54727987	54728779	54729443	89565880	54511798	54761798	75	3609	664	792	immediate
SUPER_1	52849236	53059180	IR	709	.	52954208	0.709	0.393	88	210291	52849236	52953845	52954571	53059200	89565880	52811798	53061798	88	2373	104609	726	immediate
SUPER_1	39694773	39696965	IR	709	.	39695869	0.709	0.989	71	2236	39694773	39695215	39696523	39696965	89565880	39488435	39738435	71	3457	442	1308	immediate
