#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	11649701	11656543	IR	988	.	11653127	0.988	0.993	640	7644	11649701	11652773	11653481	11656543	61606716	11450000	11700000	640	3385	3062	708	immediate
SUPER_1	13626156	13628351	IR	943	.	13627255	0.943	0.994	194	2405	13626156	13627039	13627471	13628351	61606716	13400000	13650000	200	3787	880	432	immediate
SUPER_1	25142626	25158452	IR	913	.	25150539	0.913	0.968	1251	17613	25142626	25149789	25151289	25158503	61606716	24950000	25200000	1251	3342	7163	1500	immediate
SUPER_1	42509358	42513380	IR	855	.	42511369	0.855	0.999	355	4502	42509358	42510959	42511779	42513380	61606716	42300000	42550000	355	3522	1601	820	immediate
SUPER_1	25771362	25774876	IR	826	.	25773119	0.826	0.998	310	3922	25771362	25772695	25773543	25774876	61606716	25600000	25850000	310	2885	1333	848	immediate
SUPER_1	39138732	39144142	IR	707	.	39141437	0.707	0.959	215	5971	39138732	39140821	39142053	39144142	61606716	38900000	39150000	215	4023	2089	1232	immediate
SUPER_1	24690723	24692751	IR	651	.	24691737	0.651	0.974	128	2134	24690723	24691593	24691881	24692752	61606716	24450000	24700000	128	4028	870	288	immediate
SUPER_1	51176418	51180979	IR	575	.	51178699	0.575	0.992	332	4958	51176418	51178185	51179216	51180979	61606716	50950000	51200000	332	3811	1763	1031	immediate
SUPER_1	40480649	40482637	IR	558	.	40481643	0.558	0.905	44	2108	40480649	40481116	40482170	40482661	61606716	40400000	40650000	44	1360	467	1054	immediate
SUPER_1	24642173	24644772	IR	462	.	24643473	0.462	0.979	134	5645	24642173	24642929	24644016	24644772	61606716	24400000	24650000	134	4057	756	1087	immediate
SUPER_1	7381233	7384415	IR	437	.	7382824	0.437	0.847	57	3491	7381233	7381988	7383660	7384460	61606716	7150000	7400000	57	3880	755	1672	immediate
SUPER_1	16781390	16783926	IR	434	.	16782658	0.434	0.949	65	2599	16781390	16782213	16783105	16783926	61606716	16650000	16900000	65	2210	821	892	immediate
SUPER_1	16954602	16961377	IR	431	.	16957989	0.431	0.938	261	80103	16954602	16957573	16958406	16961395	61606716	16750000	17000000	261	3466	2971	833	immediate
SUPER_1	28590326	28592954	IR	423	.	28591651	0.423	0.827	22	2625	28590326	28591472	28591827	28592954	61606716	28350000	28600000	22	4027	1127	355	immediate
SUPER_1	52988373	53140682	IR	412	.	53064733	0.412	0.996	131	152781	52988373	52989052	53140003	53140682	61606716	52900000	53150000	129	2741	679	150951	wide
SUPER_1	25333335	25522544	IR	406	.	25428063	0.406	0.978	485	190271	25333335	25336346	25519533	25522550	61606716	25300000	25550000	485	2132	3011	183187	wide
SUPER_1	26008143	26014737	IR	406	.	26011430	0.406	0.660	66	8974	26008143	26010492	26012388	26015005	61606716	26000000	26250000	66	190	2349	1896	immediate
SUPER_1	14423851	14456497	IR	398	.	14440317	0.398	0.759	28	32596	14423851	14423895	14456453	14456511	61606716	14350000	14600000	281	1502	44	32558	spaced
SUPER_1	9603572	9606968	IR	397	.	9605177	0.397	0.990	136	3530	9603572	9604295	9606245	9606969	61606716	9400000	9650000	138	3421	723	1950	immediate
SUPER_1	11795687	11855346	IR	391	.	11825407	0.391	0.915	29	59678	11795687	11796000	11855036	11855346	61606716	11700000	11950000	29	2091	310	59036	spaced
