#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	2760839	2762953	IR	903	.	2761896	0.903	0.949	162	2372	2760839	2761690	2762102	2762992	42383617	2550000	2800000	163	3531	851	412	immediate
SUPER_1	22401993	22403689	IR	881	.	22402841	0.881	0.992	122	2124	22401993	22402624	22403058	22403689	42383617	22200000	22450000	122	3380	631	434	immediate
SUPER_1	3382441	3388001	IR	796	.	3385221	0.796	0.975	389	6388	3382441	3384859	3385583	3388005	42383617	3150000	3400000	389	3920	2418	724	immediate
SUPER_1	35484066	35486465	IR	518	.	35485272	0.518	0.980	179	2604	35484066	35484948	35485596	35486465	42383617	35300000	35550000	179	3087	869	648	immediate
SUPER_1	3794108	3799027	IR	500	.	3796926	0.500	0.992	194	4894	3794108	3795334	3797802	3799027	42383617	3550000	3800000	0	4109	1225	2468	spaced
SUPER_1	5423848	5425898	IR	497	.	5424873	0.497	0.997	62	2105	5423848	5424159	5425587	5425898	42383617	5200000	5450000	62	3747	311	1428	immediate
SUPER_1	21859430	21862112	IR	469	.	21860771	0.469	0.967	135	2900	21859430	21860559	21860984	21862112	42383617	21700000	21950000	139	2679	1128	425	immediate
SUPER_1	5680861	5682909	IR	450	.	5681905	0.450	0.904	79	2395	5680861	5681683	5682087	5682962	42383617	5500000	5750000	79	3031	822	404	immediate
SUPER_1	27941718	27944041	IR	447	.	27942879	0.447	0.978	121	2437	27941718	27942388	27943371	27944042	42383617	27700000	27950000	121	4047	670	983	immediate
SUPER_1	32190468	32192957	IR	444	.	32191715	0.444	0.991	155	2640	32190468	32191243	32192187	32192957	42383617	32050000	32300000	155	2361	770	944	immediate
SUPER_1	11645161	11761096	IR	411	.	11702787	0.411	0.250	24	115903	11645161	11645193	11761064	11761140	42383617	11550000	11800000	0	2552	32	115871	wide
SUPER_1	20020943	20073942	IR	395	.	20047577	0.395	0.655	21	52969	20020943	20021001	20073904	20073942	42383617	19900000	20150000	76	2457	38	52903	spaced
SUPER_1	21670206	21681578	IR	391	.	21675800	0.391	0.633	25	11385	21670206	21670244	21681540	21681600	42383617	21600000	21850000	80	1264	38	11296	spaced
SUPER_1	29657888	29659849	IR	391	.	29658845	0.391	0.626	23	2082	29657888	29658493	29659256	29659849	42383617	29650000	29900000	26	147	593	763	immediate
SUPER_1	11951352	12136861	IR	387	.	12044256	0.387	0.873	25	185504	11951352	11951952	12136277	12136861	42383617	11900000	12150000	25	2401	584	184325	wide
SUPER_1	25591402	25600191	IR	366	.	25595812	0.366	0.951	383	9469	25591402	25594773	25596850	25600191	42383617	25400000	25650000	385	3263	3341	2077	spaced
SUPER_1	10318066	10333715	IR	362	.	10325674	0.362	0.885	121	16860	10318066	10320743	10331083	10333715	42383617	10150000	10400000	121	2931	2632	10340	spaced
SUPER_1	36759399	36989088	IR	361	.	36874515	0.361	0.735	25	229639	36759399	36759467	36989038	36989088	42383617	36750000	37000000	0	2070	50	229571	wide
SUPER_1	39296531	39359647	IR	360	.	39327856	0.360	0.810	27	50321	39296531	39296548	39359630	39359651	42383617	39150000	39400000	3	2968	17	63082	spaced
SUPER_1	15203456	15269298	IR	356	.	15236287	0.356	0.643	21	65810	15203456	15203512	15269262	15269298	42383617	15050000	15300000	55	3106	36	65750	spaced
SUPER_1	8709309	8863257	IR	355	.	8786666	0.355	0.407	28	152931	8709309	8710355	8862251	8863257	42383617	8650000	8900000	0	2271	1006	151896	wide
SUPER_1	33951527	33957693	IR	353	.	33955094	0.353	0.828	21	6128	33951527	33951575	33957645	33957703	42383617	33750000	34000000	0	3410	48	6070	spaced
SUPER_1	9368663	9479146	IR	348	.	9424121	0.348	0.800	21	110441	9368663	9368703	9479106	9479156	42383617	9250000	9500000	182	2898	40	110403	wide
SUPER_1	17208249	17304754	IR	347	.	17256895	0.347	0.855	30	96486	17208249	17208318	17304695	17304754	42383617	17100000	17350000	0	2608	59	96377	spaced
SUPER_1	29810237	29973785	IR	345	.	29892425	0.345	0.389	25	163512	29810237	29810273	29973749	29973825	42383617	29800000	30050000	0	1533	36	163476	wide
SUPER_1	23723861	23727338	IR	344	.	23725547	0.344	0.898	81	3707	23723861	23724553	23726646	23727383	42383617	23550000	23800000	81	2926	692	2093	spaced
SUPER_1	1650258	1893261	IR	343	.	1772007	0.343	0.945	54	242969	1650258	1650909	1892610	1893261	42383617	1650000	1900000	0	2029	651	241701	wide
SUPER_1	34655800	34688631	IR	342	.	34672210	0.342	0.836	67	33403	34655800	34658213	34686218	34688708	42383617	34500000	34750000	67	2870	2413	28005	spaced
SUPER_1	33608025	33821238	IR	341	.	33714843	0.341	0.907	310	213835	33608025	33610768	33818495	33821300	42383617	33600000	33850000	303	1910	2743	207727	wide
SUPER_1	842022	1011242	IR	340	.	927022	0.340	0.973	745	169213	842022	847892	1005372	1011252	42383617	800000	1050000	0	2110	5870	157480	wide
