#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	80034240	80037242	IR	996	.	80035741	0.996	1.000	293	3310	80034240	80035557	80035925	80037242	98792858	79800000	80050000	293	3928	1317	368	immediate
SUPER_Z	37547497	37553349	IR	994	.	37550423	0.994	1.000	605	6592	37547497	37550054	37550792	37553349	98792858	37350000	37600000	607	3340	2557	738	immediate
SUPER_Z	66743121	66747244	IR	989	.	66745183	0.989	0.999	390	4661	66743121	66744922	66745444	66747244	98792858	66500000	66750000	390	4086	1800	522	immediate
SUPER_Z	49557261	49563610	IR	985	.	49560436	0.985	0.996	592	7009	49557261	49560028	49560844	49563610	98792858	49350000	49600000	592	3507	2766	816	immediate
SUPER_Z	949600	953990	IR	952	.	951792	0.952	0.973	386	4986	949600	951515	952082	953990	98792858	750000	1000000	386	3363	1908	567	immediate
SUPER_Z	40795809	40799223	IR	941	.	40797516	0.941	0.999	322	3727	40795809	40797263	40797769	40799223	98792858	40550000	40800000	322	4125	1454	506	immediate
SUPER_Z	41223839	41226421	IR	932	.	41225130	0.932	1.000	233	2800	41223839	41224899	41225361	41226421	98792858	41000000	41250000	233	3752	1060	462	immediate
SUPER_Z	58545233	58547769	IR	923	.	58546501	0.923	1.000	225	2848	58545233	58546250	58546752	58547769	98792858	58300000	58550000	225	4108	1017	502	immediate
SUPER_Z	23191140	23194120	IR	922	.	23192630	0.922	0.993	235	3243	23191140	23192350	23192910	23194121	98792858	22950000	23200000	235	4043	1210	560	immediate
SUPER_Z	64489082	64493252	IR	911	.	64491168	0.911	0.998	365	4608	64489082	64490793	64491543	64493252	98792858	64250000	64500000	365	4019	1709	750	immediate
SUPER_Z	82370051	82372661	IR	893	.	82371356	0.893	1.000	219	2851	82370051	82371017	82371695	82372661	98792858	82150000	82400000	219	3689	966	678	immediate
SUPER_Z	27368340	27376096	IR	858	.	27372224	0.858	0.996	809	8668	27368340	27371733	27372715	27376096	98792858	27150000	27400000	809	3703	3381	982	immediate
SUPER_Z	98285097	98286955	IR	836	.	98286026	0.836	0.960	88	43253	98285097	98285913	98286139	98286955	98792858	98150000	98400000	88	2266	816	226	immediate
SUPER_Z	29692958	29694950	IR	828	.	29693954	0.828	0.993	132	2118	29692958	29693658	29694250	29694952	98792858	29550000	29800000	132	2399	700	592	immediate
SUPER_Z	58451032	58455352	IR	821	.	58453192	0.821	0.999	373	4739	58451032	58452717	58453667	58455352	98792858	58250000	58500000	373	3386	1685	950	immediate
SUPER_Z	57592893	57598023	IR	809	.	57595458	0.809	1.000	454	5621	57592893	57594922	57595994	57598023	98792858	57350000	57600000	454	4090	2029	1072	immediate
SUPER_Z	25426221	25428231	IR	809	.	25427226	0.809	0.991	150	2119	25426221	25427079	25427373	25428232	98792858	25200000	25450000	150	3786	858	294	immediate
SUPER_Z	25509681	25512127	IR	808	.	25510904	0.808	0.976	146	2601	25509681	25510491	25511317	25512139	98792858	25300000	25550000	146	3514	810	826	immediate
SUPER_Z	23677327	23682917	IR	793	.	23680122	0.793	0.996	504	6132	23677327	23679580	23680664	23682926	98792858	23450000	23700000	504	3835	2253	1084	immediate
SUPER_Z	1851469	1853249	IR	756	.	1852359	0.756	0.986	135	16892	1851469	1852246	1852472	1853250	98792858	1750000	2000000	135	1705	777	226	immediate
SUPER_Z	36193707	36195932	IR	753	.	36194817	0.753	0.971	126	2344	36193707	36194394	36195250	36195932	98792858	35950000	36200000	126	4080	682	856	immediate
SUPER_Z	31763294	31765504	IR	750	.	31764399	0.750	0.971	121	2338	31763294	31763978	31764820	31765518	98792858	31550000	31800000	121	3573	684	842	immediate
SUPER_Z	95837289	95839083	IR	747	.	95838188	0.747	0.977	132	2136	95837289	95838028	95838344	95839087	98792858	95600000	95850000	132	3969	739	316	immediate
SUPER_Z	72377909	72380275	IR	744	.	72379092	0.744	0.999	158	2547	72377909	72378640	72379544	72380275	98792858	72150000	72400000	158	3818	731	904	immediate
SUPER_Z	60518216	60526409	IR	738	.	60522322	0.738	0.990	747	9174	60518216	60521751	60522893	60526409	98792858	60300000	60550000	747	3705	3516	1142	immediate
SUPER_Z	80147108	80149994	IR	737	.	80148551	0.737	0.997	195	3119	80147108	80148055	80149047	80149994	98792858	80000000	80250000	195	2475	947	992	immediate
SUPER_Z	20769470	20771484	IR	730	.	20770477	0.730	0.984	133	2100	20769470	20770040	20770914	20771493	98792858	20600000	20850000	147	2841	570	874	immediate
SUPER_Z	19765170	19768724	IR	722	.	19766880	0.722	0.980	128	3687	19765170	19766005	19767889	19768724	98792858	19550000	19800000	128	3615	835	1884	immediate
SUPER_Z	33427727	33430523	IR	690	.	33429125	0.690	1.000	199	2967	33427727	33428596	33429654	33430523	98792858	33200000	33450000	199	3818	869	1058	immediate
SUPER_Z	74236358	74238258	IR	690	.	74237308	0.690	0.979	94	2060	74236358	74237062	74237555	74238258	98792858	74050000	74300000	94	3121	703	493	immediate
SUPER_Z	62578226	62580014	IR	682	.	62579120	0.682	0.993	81	2000	62578226	62578687	62579553	62580014	98792858	62400000	62650000	81	2985	461	866	immediate
SUPER_Z	47342125	47343956	IR	665	.	47343041	0.665	0.992	84	2023	47342125	47342603	47343479	47343956	98792858	47100000	47350000	84	4050	477	876	immediate
SUPER_Z	59561223	59573198	IR	656	.	59566805	0.656	0.986	90	11955	59561223	59561875	59572546	59573202	98792858	59350000	59600000	0	3620	652	10671	spaced
SUPER_Z	66043449	66045273	IR	644	.	66044361	0.644	0.982	111	2134	66043449	66044113	66044610	66045273	98792858	65800000	66050000	111	4072	663	497	immediate
SUPER_Z	95881940	95886850	IR	639	.	95884395	0.639	0.990	382	5364	95881940	95884049	95884742	95886850	98792858	95650000	95900000	382	3906	2108	693	immediate
SUPER_Z	26287078	26289486	IR	639	.	26288282	0.639	0.969	103	200503	26287078	26287784	26288780	26289495	98792858	26150000	26400000	103	2304	706	996	immediate
SUPER_Z	57826245	57828481	IR	633	.	57827363	0.633	0.972	107	2322	57826245	57826943	57827783	57828484	98792858	57600000	57850000	107	3789	698	840	immediate
