#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	82384585	82391074	IR	964	.	82387835	0.964	0.976	520	7270	82384585	82387468	82388202	82391074	123392791	82152124	82402124	520	3928	2872	734	immediate
SUPER_1	73526924	73535184	IR	942	.	73531054	0.942	0.997	781	9207	73526924	73530584	73531524	73535189	123392791	73296424	73546424	781	3910	3660	940	immediate
SUPER_1	44459171	44471349	IR	879	.	44465172	0.879	0.750	191	12418	44459171	44464847	44465673	44471354	123392791	44458990	44708990	191	104	5676	826	immediate
SUPER_1	70024965	70029323	IR	751	.	70027144	0.751	1.000	363	4705	70024965	70026596	70027692	70029323	123392791	69798224	70048224	363	3815	1631	1096	immediate
SUPER_1	84493659	84507233	IR	733	.	84500446	0.733	0.966	872	14545	84493659	84499749	84501143	84507307	123392791	84302124	84552124	879	3305	6090	1394	immediate
SUPER_1	79043216	79045586	IR	725	.	79044401	0.725	0.957	130	2684	79043216	79043963	79044839	79045602	123392791	78802124	79052124	130	4037	747	876	immediate
SUPER_1	87044372	87047456	IR	679	.	87045914	0.679	0.997	210	3278	87044372	87045378	87046450	87047456	123392791	86838080	87088080	210	3463	1006	1072	immediate
SUPER_1	71130157	71253003	IR	677	.	71191984	0.677	0.911	159	122823	71130157	71132543	71250619	71253003	123392791	71048224	71298224	0	2389	2384	118076	wide
SUPER_1	70708949	70711652	IR	644	.	70710301	0.644	0.987	127	2816	70708949	70709716	70710886	70711652	123392791	70548224	70798224	127	2701	766	1170	immediate
SUPER_1	68710862	68713760	IR	632	.	68712311	0.632	0.983	164	3077	68710862	68711880	68712746	68713760	123392791	68698224	68948224	168	234	1014	866	immediate
SUPER_1	87176261	87179502	IR	626	.	87178272	0.626	0.994	79	3217	87176261	87176733	87179030	87179503	123392791	87088080	87338080	0	1496	472	2297	spaced
SUPER_1	71415006	71421502	IR	616	.	71418155	0.616	0.876	193	6645	71415006	71417353	71419203	71421502	123392791	71298224	71548224	193	2000	2299	1850	immediate
SUPER_1	80182934	80185206	IR	610	.	80184070	0.610	0.969	98	2408	80182934	80183675	80184465	80185212	123392791	80152124	80402124	98	532	741	790	immediate
SUPER_1	32552573	32555216	IR	573	.	32553893	0.573	0.971	166	2814	32552573	32553358	32554448	32555216	123392791	32337563	32587563	166	3605	768	1090	immediate
SUPER_1	75365407	75368485	IR	550	.	75366946	0.550	0.994	167	3354	75365407	75366199	75367693	75368485	123392791	75173074	75423074	167	3231	792	1494	immediate
SUPER_1	79682269	79685783	IR	509	.	79684065	0.509	0.940	97	3572	79682269	79683222	79684830	79685788	123392791	79652124	79902124	97	531	953	1608	immediate
SUPER_1	51783049	51790478	IR	502	.	51786761	0.502	0.996	606	8052	51783049	51785693	51787834	51790478	123392791	51578689	51828689	606	3467	2644	2141	spaced
SUPER_1	61593465	61601453	IR	493	.	61597091	0.493	0.948	120	7982	61593465	61595003	61599915	61601466	123392791	61592510	61842510	0	82	1538	4912	spaced
SUPER_1	87843998	87849568	IR	486	.	87846572	0.486	0.879	102	5821	87843998	87845147	87848446	87849568	123392791	87638080	87888080	102	3478	1122	3299	spaced
SUPER_1	83147426	83159936	IR	480	.	83153681	0.480	0.999	1229	13789	83147426	83152957	83154408	83159936	123392791	82952124	83202124	1231	3359	5528	1451	immediate
SUPER_1	70717495	70720838	IR	479	.	70719406	0.479	0.991	102	3323	70717495	70718143	70720190	70720838	123392791	70548224	70798224	0	2848	648	2047	spaced
SUPER_1	70517558	70521214	IR	476	.	70519388	0.476	0.966	168	5015	70517558	70518817	70519955	70521215	123392791	70348224	70598224	168	2852	1259	1138	immediate
SUPER_1	69236497	69238614	IR	475	.	69237557	0.475	0.962	72	2378	69236497	69237079	69238032	69238617	123392791	69098224	69348224	72	2322	582	953	immediate
