#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	1269547	1294691	IR	984	.	1282004	0.984	1.000	965	26197	1269547	1273765	1290473	1294691	5861466	1050000	1300000	965	3868	4218	16708	spaced
SUPER_1	1501730	1514281	IR	787	.	1508005	0.787	0.998	1216	13971	1501730	1507016	1508995	1514287	5861466	1300000	1550000	1216	3466	5286	1979	immediate
SUPER_1	2189914	2199350	IR	777	.	2194632	0.777	0.978	651	10352	2189914	2193908	2195356	2199350	5861466	1950000	2200000	651	4077	3994	1448	immediate
SUPER_1	5269557	5280333	IR	759	.	5274945	0.759	1.000	1026	11882	5269557	5274051	5275839	5280333	5861466	5050000	5300000	1028	3748	4494	1788	immediate
SUPER_1	4576413	4578201	IR	621	.	4577307	0.621	0.981	62	2030	4576413	4576824	4577790	4578201	5861466	4350000	4600000	62	3788	411	966	immediate
SUPER_1	4580440	4582638	IR	573	.	4581539	0.573	1.000	90	2317	4580440	4580842	4582236	4582638	5861466	4350000	4600000	90	3858	402	1394	immediate
SUPER_1	66408	78668	IR	517	.	72478	0.517	0.966	428	14050	66408	69975	75101	78669	5861466	0	250000	428	1208	3567	5126	spaced
SUPER_1	4653792	4656712	IR	442	.	4655252	0.442	0.961	134	3094	4653792	4654487	4656027	4656712	5861466	4500000	4750000	171	2587	685	1540	immediate
SUPER_1	5004176	5006678	IR	416	.	5005427	0.416	0.944	83	2580	5004176	5004697	5006177	5006678	5861466	4800000	5050000	90	3423	501	1480	immediate
SUPER_1	133309	164918	IR	322	.	149325	0.322	1.000	119	31697	133309	133852	164375	164918	5861466	100000	350000	119	818	543	30523	spaced
SUPER_1	3704203	3713732	IR	318	.	3708922	0.318	0.991	131	9664	3704203	3704978	3712957	3713732	5861466	3500000	3750000	131	3482	775	7979	spaced
SUPER_1	2806161	2818998	IR	317	.	2812582	0.317	1.000	1245	14220	2806161	2811493	2813666	2818998	5861466	2600000	2850000	1245	3542	5332	2173	spaced
