#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	7232302	7234491	IR	710	.	7233400	0.710	0.958	166	2384	7232302	7233139	7233654	7234509	19719606	6994702	7244702	166	3978	837	515	immediate
SUPER_1	17743520	17745520	IR	652	.	17744520	0.652	0.984	105	17677	17743520	17744161	17744880	17745520	19719606	17531292	17781292	105	3553	640	719	immediate
SUPER_1	1568072	1571146	IR	625	.	1569660	0.625	0.887	171	3589	1568072	1568998	1570322	1571146	19719606	1350000	1600000	171	3660	824	1324	immediate
SUPER_1	13939850	13942138	IR	527	.	13940994	0.527	0.952	75	2662	13939850	13940554	13941434	13942141	19719606	13931292	14181292	75	161	704	880	immediate
SUPER_1	12797545	12821936	IR	488	.	12809965	0.488	0.374	46	13744	12797545	12808197	12811284	12821976	19719606	12690002	12940002	208	1995	10652	3087	spaced
SUPER_1	2288618	2447578	IR	474	.	2367695	0.474	0.387	250	158989	2288618	2358668	2377528	2447631	19719606	2200000	2450000	0	2801	70050	18860	spaced
SUPER_1	9466492	9547292	IR	429	.	9506921	0.429	0.259	38	41123	9466492	9466555	9547265	9547292	19719606	9379368	9629368	173	2125	27	80710	spaced
SUPER_1	11569847	11573670	IR	423	.	11571770	0.423	0.936	148	4209	11569847	11571140	11572400	11573670	19719606	11340002	11590002	148	3862	1270	1260	immediate
SUPER_1	10034470	10052004	IR	376	.	10042961	0.376	0.964	223	17548	10034470	10035911	10050563	10052036	19719606	9829368	10079368	0	3564	1441	14652	spaced
SUPER_1	3303745	3304663	IR	362	.	3304210	0.362	0.733	30	43829	3303745	3303800	3304608	3304683	19719606	3200000	3450000	407	1736	55	808	immediate
SUPER_1	10490939	10497349	IR	355	.	10494172	0.355	0.997	332	28840	10490939	10492381	10495907	10497349	19719606	10440002	10690002	332	902	1442	3526	spaced
SUPER_1	4598633	4605794	IR	352	.	4602435	0.352	0.391	26	8366	4598633	4598784	4605643	4605928	19719606	4532638	4705698	6	1159	151	6859	spaced
SUPER_1	16530207	16637040	IR	344	.	16584107	0.344	0.375	27	84917	16530207	16552107	16615143	16637040	19719606	16481292	16731292	0	1705	21897	63036	spaced
SUPER_1	2098171	2114317	IR	334	.	2106148	0.334	0.994	418	16818	2098171	2100070	2112418	2114324	19719606	1900000	2150000	418	3437	1899	12348	spaced
SUPER_1	15402176	15619817	IR	334	.	15511083	0.334	0.952	213	218267	15402176	15404400	15617593	15619817	19719606	15381292	15631292	213	2161	2224	213193	wide
