#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	15067830	15070320	IR	691	.	15069075	0.691	0.997	155	2684	15067830	15068545	15069605	15070320	27562780	14835102	15085102	155	3899	715	1060	immediate
SUPER_1	8460283	8463081	IR	632	.	8461682	0.632	0.999	171	2971	8460283	8461055	8462309	8463081	27562780	8426979	8676979	171	578	772	1254	immediate
SUPER_1	5842082	5844353	IR	614	.	5843217	0.614	0.996	126	64870	5842082	5842629	5843806	5844353	27562780	5806715	6056715	126	608	547	1177	immediate
SUPER_1	7628716	7630670	IR	612	.	7629693	0.612	0.997	75	2015	7628716	7629103	7630283	7630670	27562780	7437981	7687981	75	3195	387	1180	immediate
SUPER_1	2729133	2733557	IR	541	.	2731347	0.541	0.994	357	5312	2729133	2730904	2731786	2733558	27562780	2728660	2849685	357	44	1771	882	immediate
SUPER_1	26447564	26497224	IR	540	.	26472473	0.540	0.863	25	49661	26447564	26447936	26496888	26497224	27562780	26339155	26589155	25	2220	336	48952	spaced
SUPER_1	13177052	13179091	IR	522	.	13178073	0.522	0.962	63	2172	13177052	13177553	13178593	13179091	27562780	13106360	13356360	63	1195	498	1040	immediate
SUPER_1	21733227	21738333	IR	514	.	21735801	0.514	0.962	294	5464	21733227	21734902	21736700	21738333	27562780	21595538	21845538	294	2337	1633	1798	immediate
SUPER_1	20287107	20289585	IR	504	.	20288346	0.504	1.000	118	2672	20287107	20287617	20289075	20289585	27562780	20126290	20376290	118	2700	510	1458	immediate
SUPER_1	24885901	24888071	IR	482	.	24886986	0.482	1.000	70	2204	24885901	24886206	24887766	24888071	27562780	24825179	25075179	70	1029	305	1560	immediate
SUPER_1	20357228	20371448	IR	466	.	20364823	0.466	0.999	1147	14191	20357228	20363545	20365131	20371449	27562780	20126290	20376290	0	3967	6317	1586	immediate
SUPER_1	4712825	4767823	IR	451	.	4740123	0.451	0.395	29	55191	4712825	4739427	4741221	4767906	27562780	4646220	4896220	34	1568	26602	1794	immediate
SUPER_1	4982042	4984971	IR	439	.	4983731	0.439	0.963	121	3245	4982042	4982767	4984247	4984971	27562780	4746220	4996220	121	3954	724	1480	immediate
SUPER_1	3550861	3564360	IR	423	.	3557138	0.423	0.941	40	13480	3550861	3551214	3564007	3564360	27562780	3539291	3789291	0	305	353	12793	spaced
SUPER_1	9917147	9919964	IR	420	.	9918569	0.420	0.957	138	2935	9917147	9917913	9919225	9919964	27562780	9685146	9935146	138	3890	739	1312	immediate
SUPER_1	17537280	17539605	IR	413	.	17538443	0.413	0.786	33	25537	17537280	17537737	17539148	17539704	27562780	17453770	17703770	33	1411	457	1411	immediate
SUPER_1	22760810	22763533	IR	401	.	22762360	0.401	0.982	112	3136	22760810	22761466	22762877	22763534	27562780	22558361	22808361	112	3396	656	1411	immediate
SUPER_1	23765573	23923334	IR	387	.	23844507	0.387	0.394	25	157819	23765573	23844466	23844552	23923334	27562780	23675179	23925179	26	2821	78782	86	immediate
SUPER_1	27516867	27520615	IR	385	.	27518668	0.385	0.907	42	3818	27516867	27517362	27520120	27520626	27562780	27437608	27562780	42	1352	495	2758	spaced
SUPER_1	2776581	2793571	IR	378	.	2785087	0.378	0.555	342	17559	2776581	2783997	2786177	2793571	27562780	2728660	2849685	342	940	7394	2180	spaced
SUPER_1	3643700	3644472	IR	377	.	3644086	0.377	0.996	53	34682	3643700	3643970	3644202	3644473	27562780	3489291	3739291	53	2579	270	232	immediate
SUPER_1	10676886	10811336	IR	369	.	10744166	0.369	0.954	57	134610	10676886	10677406	10810829	10811336	27562780	10585834	10835834	57	2637	507	133423	wide
SUPER_1	24774617	24779919	IR	362	.	24777268	0.362	0.942	202	6148	24774617	24776333	24778203	24779932	27562780	24625179	24875179	202	2534	1716	1870	immediate
SUPER_1	18330308	18424021	IR	361	.	18377208	0.361	0.401	80	94043	18330308	18377149	18377267	18424021	27562780	18211970	18461970	80	2753	46754	118	immediate
SUPER_1	12168509	12168717	IR	361	.	12168613	0.361	0.867	38	63423	12168509	12168581	12168645	12168728	27562780	11985834	12235834	374	3046	72	64	immediate
SUPER_1	24194421	24342430	IR	359	.	24268364	0.359	0.948	24	148005	24194421	24194668	24342183	24342433	27562780	24125179	24375179	24	2387	247	147515	wide
SUPER_1	10923862	10982380	IR	357	.	10952996	0.357	0.935	72	58577	10923862	10924521	10981721	10982380	27562780	10735834	10985834	72	3621	659	57200	spaced
SUPER_1	4375034	4407959	IR	357	.	4391556	0.357	0.939	27	32916	4375034	4375391	4407602	4407959	27562780	4189291	4422550	27	3369	357	32211	spaced
SUPER_1	14478005	14479879	IR	353	.	14478942	0.353	0.985	113	2015	14478005	14478592	14479292	14479880	27562780	14331240	14581240	113	2461	587	700	immediate
SUPER_1	64092	83816	IR	353	.	74194	0.353	0.965	52	19706	64092	64632	83276	83816	27562780	0	145778	0	1232	540	18644	spaced
SUPER_1	26115783	26175553	IR	353	.	26145405	0.353	0.472	35	59752	26115783	26120874	26170520	26175553	27562780	25928316	26178316	0	3622	5033	49646	spaced
SUPER_1	12980315	13091162	IR	351	.	13036085	0.351	0.841	78	110848	12980315	12981513	13089964	13091251	27562780	12906360	13156360	0	2156	1198	108451	wide
SUPER_1	19186318	19244671	IR	351	.	19215928	0.351	0.948	26	58305	19186318	19186570	19244419	19244671	27562780	19011970	19261970	0	3391	252	57849	spaced
SUPER_1	2646625	2648925	IR	350	.	2647775	0.350	1.000	47	2330	2646625	2646875	2648675	2648925	27562780	2581354	2728460	47	1106	250	1800	immediate
SUPER_1	6631366	6779233	IR	349	.	6705592	0.349	0.963	196	147856	6631366	6633521	6777078	6779241	27562780	6566915	6816915	0	2306	2155	143557	wide
SUPER_1	18180156	18242709	IR	349	.	18210998	0.349	0.757	51	62580	18180156	18181170	18241695	18242754	27562780	18011970	18261970	0	3324	1014	60525	spaced
SUPER_1	5420285	5451154	IR	349	.	5436041	0.349	0.938	26	30852	5420285	5420656	5450786	5451154	27562780	5382995	5632995	0	878	368	30130	spaced
SUPER_1	11197143	11299668	IR	348	.	11248041	0.348	0.968	241	102507	11197143	11199299	11297527	11299668	27562780	11085834	11335834	0	2709	2141	98228	spaced
