#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	22991885	22999582	IR	929	.	22995749	0.929	0.778	356	22074	22991885	22995313	22996185	22999582	41652793	22775793	23025793	380	3665	3397	872	immediate
SUPER_1	14615625	14770815	IR	758	.	14693220	0.758	0.484	726	159976	14615625	14692125	14694315	14770841	41652793	14528382	14775593	893	2747	76500	2190	spaced
SUPER_1	862729	1069636	IR	621	.	965798	0.621	0.376	40	206877	862729	966116	966297	1069636	41652793	850000	1100000	0	1936	103339	181	immediate
SUPER_1	14785594	14801700	IR	617	.	14793641	0.617	0.832	127	18874	14785594	14793107	14794187	14801705	41652793	14775793	15025793	329	297	7513	1080	immediate
SUPER_1	22412906	22414923	IR	610	.	22413914	0.610	0.974	66	2070	22412906	22413294	22414536	22414923	41652793	22175793	22425793	66	3968	387	1242	immediate
SUPER_1	33816009	33818271	IR	605	.	33817140	0.605	0.993	120	2368	33816009	33816611	33817669	33818271	41652793	33575793	33825793	120	4022	602	1058	immediate
SUPER_1	16992765	16994627	IR	597	.	16993696	0.597	0.994	107	137135	16992765	16993295	16994098	16994627	41652793	16875793	17125793	107	1964	529	803	immediate
SUPER_1	36301281	36302949	IR	594	.	36302115	0.594	0.988	59	99722	36301281	36301612	36302618	36302949	41652793	36125793	36375793	59	2938	331	1006	immediate
SUPER_1	5061612	5063644	IR	554	.	5062628	0.554	0.989	62	30331	5061612	5061960	5063296	5063644	41652793	4950000	5200000	62	1876	348	1336	immediate
SUPER_1	29666452	29668418	IR	544	.	29667435	0.544	0.987	57	2040	29666452	29666750	29668120	29668418	41652793	29425793	29675793	57	4027	298	1370	immediate
SUPER_1	29078276	29079178	IR	535	.	29078727	0.535	0.968	34	63203	29078276	29078555	29078899	29079178	41652793	28925793	29175793	34	2548	279	344	immediate
SUPER_1	38611735	38625203	IR	533	.	38618246	0.533	0.932	374	14546	38611735	38617187	38619753	38625203	41652793	38375793	38625793	427	4044	5450	2566	spaced
SUPER_1	30021631	30023619	IR	524	.	30022625	0.524	0.993	54	2020	30021631	30021915	30023335	30023619	41652793	29775793	30025793	54	4113	284	1420	immediate
SUPER_1	35440129	35442137	IR	518	.	35441133	0.518	0.991	68	182815	35440129	35440456	35441810	35442139	41652793	35325793	35575793	68	1922	327	1354	immediate
SUPER_1	29126468	29128478	IR	517	.	29127473	0.517	0.993	51	2042	29126468	29126743	29128203	29128478	41652793	28925793	29175793	51	3361	275	1460	immediate
SUPER_1	3695016	3697610	IR	513	.	3696313	0.513	0.998	112	2653	3695016	3695553	3697073	3697610	41652793	3450000	3700000	112	4105	537	1520	immediate
SUPER_1	35520876	35522885	IR	512	.	35521881	0.512	0.994	71	75127	35520876	35521205	35522556	35522886	41652793	35325793	35575793	71	3267	329	1351	immediate
SUPER_1	22777615	22779551	IR	497	.	22778583	0.497	0.991	61	2042	22777615	22777944	22779223	22779551	41652793	22575793	22825793	61	3379	328	1279	immediate
SUPER_1	35320219	35322052	IR	488	.	35321136	0.488	0.985	69	56922	35320219	35320630	35321641	35322053	41652793	35275793	35525793	69	755	411	1011	immediate
SUPER_1	500235	673808	IR	479	.	587047	0.479	0.381	30	173578	500235	586907	587151	673808	41652793	450000	700000	38	2283	86657	244	immediate
SUPER_1	21443350	21445415	IR	478	.	21444332	0.478	0.973	25	2117	21443350	21443574	21445192	21445415	41652793	21275793	21525793	25	2809	223	1618	immediate
SUPER_1	23597382	23598640	IR	477	.	23598011	0.477	0.975	44	70918	23597382	23597667	23598359	23598640	41652793	23475793	23725793	44	2036	281	692	immediate
SUPER_1	17530452	17532396	IR	474	.	17531424	0.474	0.989	77	2028	17530452	17530889	17531961	17532396	41652793	17325793	17575793	77	3427	435	1072	immediate
SUPER_1	31706828	31709180	IR	473	.	31708004	0.473	0.977	57	2413	31706828	31707223	31708785	31709180	41652793	31475793	31725793	57	3870	395	1562	immediate
SUPER_1	4248093	4250439	IR	470	.	4249266	0.470	0.970	57	2412	4248093	4248532	4250000	4250439	41652793	4100000	4350000	57	2487	439	1468	immediate
SUPER_1	16839990	16842376	IR	469	.	16841185	0.469	0.968	54	2417	16839990	16840457	16841913	16842376	41652793	16625793	16875793	54	3589	463	1456	immediate
SUPER_1	35057300	35059657	IR	468	.	35058475	0.468	0.921	46	2408	35057300	35057754	35059203	35059665	41652793	34825793	35075793	46	3877	454	1449	immediate
SUPER_1	8219020	8221158	IR	465	.	8220089	0.465	0.990	71	10436	8219020	8219412	8220767	8221158	41652793	8003200	8253200	71	3614	391	1355	immediate
SUPER_1	6979770	6982119	IR	455	.	6980943	0.455	0.947	56	2411	6979770	6980215	6981677	6982119	41652793	6850000	7100000	56	2182	442	1462	immediate
SUPER_1	32384109	32385736	IR	449	.	32384921	0.449	0.973	60	45483	32384109	32384474	32385371	32385737	41652793	32325793	32575793	60	985	365	897	immediate
SUPER_1	24067752	24069770	IR	447	.	24068761	0.447	0.964	61	46767	24067752	24068228	24069294	24069771	41652793	23925793	24175793	61	2382	476	1066	immediate
SUPER_1	22979266	22991300	IR	439	.	22985597	0.439	0.608	354	12015	22979266	22985080	22985499	22991300	41652793	22825793	23075793	0	2658	5801	419	immediate
SUPER_1	21947107	21949581	IR	432	.	21948344	0.432	0.993	84	59399	21947107	21947511	21949177	21949581	41652793	21875793	22125793	84	1209	404	1666	immediate
SUPER_1	4680160	4682644	IR	431	.	4681402	0.431	0.995	85	2534	4680160	4680569	4682235	4682644	41652793	4450000	4700000	85	3856	409	1666	immediate
SUPER_1	38639189	38705779	IR	428	.	38672177	0.428	0.587	141	61816	38639189	38655691	38689382	38705779	41652793	38625793	38875793	0	778	16397	33691	spaced
SUPER_1	39136771	39138857	IR	425	.	39137814	0.425	0.992	74	2153	39136771	39137156	39138473	39138857	41652793	38925793	39175793	74	3533	384	1317	immediate
SUPER_1	12195184	12197517	IR	424	.	12196351	0.424	0.973	57	2401	12195184	12195621	12197080	12197519	41652793	12028382	12278382	57	2799	437	1459	immediate
SUPER_1	28424638	28426501	IR	419	.	28425570	0.419	0.957	44	2010	28424638	28425083	28426056	28426502	41652793	28225793	28475793	44	3329	445	973	immediate
SUPER_1	2572579	2796907	IR	412	.	2684743	0.412	0.382	40	224369	2572579	2684433	2685053	2796938	41652793	2550000	2800000	40	2245	111854	620	immediate
SUPER_1	9307955	9310033	IR	408	.	9308994	0.408	0.978	39	2409	9307955	9308273	9309716	9310033	41652793	9103200	9353200	39	3429	317	1443	immediate
SUPER_1	6929319	6949451	IR	405	.	6939385	0.405	0.410	33	20153	6929319	6939238	6939532	6949469	41652793	6850000	7100000	33	1489	9919	294	immediate
