#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	1940707	2071215	IR	986	.	2005961	0.986	0.389	341	168119	1940707	2005762	2006160	2071300	48999040	1850000	2100000	341	2599	65055	398	immediate
SUPER_Z	29743269	29745227	IR	879	.	29744248	0.879	0.987	140	2219	29743269	29744023	29744473	29745227	48999040	29500000	29750000	140	4070	754	450	immediate
SUPER_Z	27912306	27918506	IR	802	.	27915406	0.802	1.000	580	6831	27912306	27914770	27916042	27918506	48999040	27700000	27950000	580	3589	2464	1272	immediate
SUPER_Z	47408010	47413080	IR	706	.	47410545	0.706	0.999	421	5548	47408010	47409918	47411172	47413080	48999040	47200000	47450000	421	3508	1908	1254	immediate
SUPER_Z	9565785	9761334	IR	674	.	9663543	0.674	0.378	54	195625	9565785	9663331	9663788	9761335	48999040	9550000	9800000	54	1892	97546	457	immediate
SUPER_Z	11642400	11644630	IR	669	.	11643581	0.669	0.854	88	2422	11642400	11643075	11643980	11644630	48999040	11400000	11650000	96	4058	650	905	immediate
SUPER_Z	14149216	14159173	IR	581	.	14154138	0.581	0.972	666	10752	14149216	14152801	14155591	14159173	48999040	14000000	14250000	666	2569	3582	2790	spaced
SUPER_Z	47413889	47419711	IR	565	.	47416800	0.565	0.995	424	6355	47413889	47415958	47417642	47419716	48999040	47200000	47450000	424	3613	2069	1684	immediate
SUPER_Z	22559659	22574059	IR	546	.	22566859	0.546	0.442	128	14606	22559659	22566328	22567390	22574115	48999040	22450000	22700000	128	1947	6669	1062	immediate
SUPER_Z	6685758	6688444	IR	539	.	6687102	0.539	0.935	75	2731	6685758	6686889	6687313	6688450	48999040	6450000	6700000	75	3951	1131	424	immediate
SUPER_Z	47592898	47604944	IR	529	.	47598604	0.529	0.622	75	12029	47592898	47597690	47600210	47604944	48999040	47550000	47800000	0	815	4734	2520	spaced
SUPER_Z	23409062	23522967	IR	526	.	23466020	0.526	0.391	106	114273	23409062	23465854	23466188	23522967	48999040	23300000	23550000	106	2766	56779	334	immediate
SUPER_Z	46310602	46313460	IR	519	.	46312031	0.519	0.886	63	2973	46310602	46311185	46312877	46313500	48999040	46150000	46400000	63	2700	583	1692	immediate
SUPER_Z	29715202	29717947	IR	500	.	29716577	0.500	0.956	75	2892	29715202	29715937	29717217	29717947	48999040	29500000	29750000	75	3609	730	1280	immediate
SUPER_Z	45497100	45499869	IR	488	.	45498957	0.488	0.913	26	2752	45497100	45497745	45499226	45499869	48999040	45250000	45500000	0	4141	643	1481	immediate
SUPER_Z	37758989	37762386	IR	465	.	37760693	0.465	0.934	140	3505	37758989	37760069	37761306	37762388	48999040	37550000	37800000	140	3511	1080	1237	immediate
SUPER_Z	20055937	20058274	IR	461	.	20057105	0.461	0.924	39	23637	20055937	20056611	20057600	20058280	48999040	20000000	20250000	39	951	674	989	immediate
SUPER_Z	7025913	7026751	IR	458	.	7026332	0.458	0.965	54	83858	7025913	7026228	7026445	7026751	48999040	6900000	7150000	54	2105	306	217	immediate
SUPER_Z	3206742	3228222	IR	455	.	3216998	0.455	0.572	127	21477	3206742	3217024	3217940	3228241	48999040	3200000	3450000	0	291	10282	916	immediate
SUPER_Z	47739978	47918762	IR	432	.	47829855	0.432	0.923	149	178417	47739978	47743303	47915553	47918762	48999040	47700000	47950000	0	2156	3209	172250	wide
SUPER_Z	1406218	1445907	IR	431	.	1425964	0.431	0.766	361	51970	1406218	1419539	1432586	1445920	48999040	1400000	1650000	361	434	13321	13047	spaced
SUPER_Z	47336404	47377532	IR	431	.	47356942	0.431	0.970	115	41208	47336404	47337104	47376842	47377532	48999040	47150000	47400000	115	3449	690	39738	spaced
SUPER_Z	48135313	48229471	IR	429	.	48182554	0.429	0.988	221	94734	48135313	48136450	48228340	48229471	48999040	48050000	48300000	221	2206	1131	91890	spaced
SUPER_Z	45160975	45161443	IR	422	.	45161209	0.422	1.000	34	65855	45160975	45161140	45161278	45161443	48999040	45000000	45250000	34	2686	165	138	immediate
SUPER_Z	604978	838640	IR	420	.	722268	0.420	0.932	290	233642	604978	617730	825979	838640	48999040	600000	850000	0	2030	12661	208249	wide
SUPER_Z	23354151	23356932	IR	418	.	23355543	0.418	0.934	53	2835	23354151	23354860	23356223	23356948	48999040	23200000	23450000	53	2592	709	1363	immediate
SUPER_Z	2299852	2300023	IR	413	.	2300109	0.413	0.000	23	2312	2299852	2299894	2299981	2300101	48999040	2100000	2350000	93	3332	42	87	immediate
SUPER_Z	5374911	5526350	IR	412	.	5450209	0.412	0.378	30	151418	5374911	5448263	5453064	5526350	48999040	5350000	5600000	0	1677	73286	4801	spaced
SUPER_Z	20395118	20410335	IR	405	.	20402744	0.405	0.417	32	15272	20395118	20402515	20402973	20410335	48999040	20200000	20450000	32	3378	7362	458	immediate
SUPER_Z	34768761	34984674	IR	404	.	34876312	0.404	0.377	29	215882	34768761	34845575	34907860	34984689	48999040	34750000	35000000	0	2111	76814	62285	spaced
SUPER_Z	39387351	39392491	IR	391	.	39389415	0.391	0.880	23	5122	39387351	39388012	39391830	39392495	48999040	39200000	39450000	0	3165	661	3818	spaced
SUPER_Z	17923661	17925551	IR	389	.	17924606	0.389	0.952	41	2014	17923661	17924028	17925184	17925558	48999040	17800000	18050000	41	2076	367	1156	immediate
SUPER_Z	16150712	16164441	IR	383	.	16157146	0.383	0.956	96	13708	16150712	16151735	16163438	16164441	48999040	16050000	16300000	0	1792	1003	11703	spaced
SUPER_Z	39170697	39320046	IR	379	.	39245812	0.379	0.948	26	149324	39170697	39170964	39319779	39320048	48999040	39150000	39400000	0	1589	267	148815	wide
SUPER_Z	8109933	8154219	IR	375	.	8131897	0.375	0.966	44	44382	8109933	8110318	8153834	8154219	48999040	8100000	8350000	44	534	385	43516	spaced
SUPER_Z	10644106	10646672	IR	372	.	10645389	0.372	1.000	50	2603	10644106	10644369	10646409	10646672	48999040	10450000	10700000	50	3256	263	2040	spaced
SUPER_Z	11982651	11985193	IR	372	.	11983922	0.372	0.996	49	2590	11982651	11982919	11984925	11985193	48999040	11800000	12050000	49	3065	268	2006	spaced
SUPER_Z	18498042	18586449	IR	369	.	18542699	0.369	0.908	25	88298	18498042	18498441	18586050	18586461	48999040	18400000	18650000	0	2370	399	87609	spaced
SUPER_Z	4726273	4729283	IR	363	.	4727658	0.363	0.978	52	181329	4726273	4726630	4728926	4729285	48999040	4600000	4850000	52	2129	357	2296	spaced
SUPER_Z	25636343	25638803	IR	362	.	25637573	0.362	0.902	70	2519	25636343	25637298	25637848	25638822	48999040	25400000	25650000	70	3959	955	550	immediate
SUPER_Z	41472681	41475083	IR	360	.	41473882	0.360	0.744	34	2409	41472681	41472990	41474845	41475083	48999040	41400000	41650000	52	1231	238	1855	immediate
