#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	63082713	63087561	IR	808	.	63085137	0.808	0.995	414	5304	63082713	63084749	63085525	63087564	90518639	62900000	63150000	414	3085	2036	776	immediate
SUPER_1	24880443	24882471	IR	754	.	24881457	0.754	0.998	121	2192	24880443	24880990	24881924	24882471	90518639	24700000	24950000	128	3024	547	934	immediate
SUPER_1	10007263	10018469	IR	705	.	10012905	0.705	0.949	736	12414	10007263	10012314	10013497	10018469	90518639	9850000	10100000	736	2714	4972	1183	immediate
SUPER_1	12485913	12499998	IR	675	.	12493246	0.675	0.892	155	12797	12485913	12492582	12493407	12499998	90518639	12250000	12500000	0	4049	6591	825	immediate
SUPER_1	11337557	11349157	IR	668	.	11343412	0.668	0.990	757	12509	11337557	11341634	11345080	11349157	90518639	11200000	11450000	757	2389	4077	3446	spaced
SUPER_1	53516238	53519930	IR	659	.	53518103	0.659	0.884	165	3875	53516238	53517963	53518243	53519930	90518639	53350000	53600000	168	2801	1687	280	immediate
SUPER_1	3805589	3809081	IR	645	.	3807335	0.645	0.925	211	3878	3805589	3807154	3807516	3809122	90518639	3600000	3850000	214	3455	1565	362	immediate
SUPER_1	36794940	36843345	IR	644	.	36819183	0.644	0.905	252	53571	36794940	36818155	36820152	36843345	90518639	36600000	36850000	335	3652	23193	1997	immediate
SUPER_1	2634640	2635970	IR	644	.	2635306	0.644	0.970	92	3371	2634640	2635181	2635431	2635970	90518639	2400000	2650000	92	3921	539	250	immediate
SUPER_1	51503910	51505627	IR	618	.	51504770	0.618	0.985	93	2245	51503910	51504380	51505160	51505627	90518639	51300000	51550000	93	3412	467	780	immediate
SUPER_1	57367231	57370688	IR	582	.	57368957	0.582	0.890	156	3956	57367231	57368800	57369119	57370733	90518639	57300000	57550000	156	1149	1569	319	immediate
SUPER_1	51652475	51654587	IR	581	.	51653531	0.581	0.969	90	2355	51652475	51653015	51654060	51654587	90518639	51450000	51700000	90	3392	527	1045	immediate
SUPER_1	57089471	57091989	IR	575	.	57090745	0.575	0.931	129	2963	57089471	57090558	57090932	57091989	90518639	56850000	57100000	139	4012	1057	374	immediate
SUPER_1	10756927	10767982	IR	570	.	10762489	0.570	0.989	751	12199	10756927	10761053	10763856	10767982	90518639	10650000	10900000	753	1874	4126	2803	spaced
SUPER_1	24514233	24642829	IR	556	.	24578658	0.556	0.528	56	135908	24514233	24568602	24588499	24642829	90518639	24400000	24650000	57	2975	54330	19897	spaced
SUPER_1	57170143	57177894	IR	548	.	57174114	0.548	0.958	395	8618	57170143	57172383	57175654	57177899	90518639	56950000	57200000	395	3733	2240	3271	spaced
SUPER_1	42958211	42999622	IR	546	.	42978492	0.546	0.925	130	32467	42958211	42969800	42988087	42999622	90518639	42750000	43000000	0	3815	11535	18287	spaced
SUPER_1	55497196	55499646	IR	527	.	55498421	0.527	0.930	78	2593	55497196	55497721	55499121	55499679	90518639	55250000	55500000	78	4140	525	1400	immediate
SUPER_1	46230994	46419827	IR	520	.	46325554	0.520	0.927	76	188934	46230994	46231787	46419047	46419827	90518639	46200000	46450000	76	2090	780	187260	wide
SUPER_1	56853759	56856279	IR	515	.	56855019	0.515	0.966	144	2658	56853759	56854595	56855443	56856285	90518639	56650000	56900000	144	3416	836	848	immediate
SUPER_1	36871558	36917618	IR	513	.	36894809	0.513	0.953	154	46546	36871558	36872647	36916529	36917618	90518639	36850000	37100000	51	742	1089	43882	spaced
SUPER_1	68031361	68237222	IR	506	.	68133977	0.506	0.804	26	205842	68031361	68031916	68236684	68237222	90518639	68000000	68250000	0	2238	538	204768	wide
SUPER_1	46705834	46708504	IR	502	.	46707169	0.502	0.991	111	2770	46705834	46706401	46707937	46708505	90518639	46500000	46750000	111	3452	567	1536	immediate
SUPER_1	19483021	19594376	IR	499	.	19539055	0.499	0.602	54	111297	19483021	19524124	19553273	19594412	90518639	19450000	19700000	0	1478	41103	29149	spaced
SUPER_1	56844698	56847505	IR	495	.	56846102	0.495	0.979	178	2930	56844698	56845638	56846566	56847505	90518639	56600000	56850000	178	4101	939	928	immediate
SUPER_1	80622065	80801364	IR	472	.	80711303	0.472	0.510	31	179245	80622065	80653285	80770144	80801385	90518639	80600000	80850000	0	1861	31220	116859	wide
SUPER_1	1678699	1681190	IR	470	.	1680235	0.470	0.826	29	2468	1678699	1679101	1680788	1681253	90518639	1450000	1700000	0	3832	402	1687	immediate
SUPER_1	58213343	58216073	IR	424	.	58214708	0.424	0.939	169	2865	58213343	58214255	58215161	58216084	90518639	58000000	58250000	169	3578	912	906	immediate
SUPER_1	42944118	42946591	IR	423	.	42945356	0.423	0.943	64	2510	42944118	42944659	42946053	42946591	90518639	42700000	42950000	64	4089	538	1394	immediate
SUPER_1	55162844	55241265	IR	412	.	55201579	0.412	0.952	50	78402	55162844	55163387	55240737	55241265	90518639	55000000	55250000	0	3367	528	77350	spaced
SUPER_1	50094800	50224866	IR	412	.	50159352	0.412	0.781	37	130049	50094800	50095790	50223876	50224872	90518639	50000000	50250000	0	2663	990	128086	wide
SUPER_1	39241625	39243808	IR	409	.	39242720	0.409	0.954	25	2171	39241625	39241929	39243511	39243808	90518639	39000000	39250000	25	4045	297	1582	immediate
SUPER_1	9575880	9675803	IR	402	.	9625451	0.402	0.777	28	99905	9575880	9576654	9675029	9675804	90518639	9450000	9700000	0	2930	774	98375	spaced
SUPER_1	12794669	12883637	IR	389	.	12839499	0.389	0.840	31	88998	12794669	12795621	12882685	12883686	90518639	12650000	12900000	0	3152	952	87064	spaced
SUPER_1	58430296	58549360	IR	386	.	58490044	0.386	0.995	85	119129	58430296	58430716	58548941	58549360	90518639	58300000	58550000	85	3163	419	118225	wide
SUPER_1	19390943	19404101	IR	386	.	19397743	0.386	0.883	36	13235	19390943	19391387	19403659	19404101	90518639	19200000	19450000	36	3291	442	12272	spaced
SUPER_1	86837474	86839791	IR	384	.	86838634	0.384	0.987	91	2399	86837474	86838031	86839237	86839791	90518639	86600000	86850000	91	3977	554	1206	immediate
SUPER_1	31709042	31712598	IR	380	.	31710710	0.380	0.783	65	3333	31709042	31709581	31712114	31712598	90518639	31500000	31750000	317	3513	484	2533	spaced
SUPER_1	58790097	58838101	IR	369	.	58813908	0.369	0.593	374	48611	58790097	58799134	58829073	58838101	90518639	58600000	58850000	374	3568	9028	29939	spaced
SUPER_1	23184889	23187271	IR	363	.	23186080	0.363	0.977	43	2401	23184889	23185154	23187006	23187271	90518639	22950000	23200000	43	3934	265	1852	immediate
SUPER_1	54238155	54298692	IR	362	.	54268215	0.362	0.880	51	60830	54238155	54238658	54298189	54298739	90518639	54050000	54300000	51	3640	503	59531	spaced
SUPER_1	22875416	23011270	IR	362	.	22943303	0.362	0.953	20	135857	22875416	22875563	23011123	23011273	90518639	22800000	23050000	20	2388	147	135560	wide
SUPER_1	9996573	9999745	IR	358	.	9998153	0.358	0.837	86	3470	9996573	9997672	9998646	9999779	90518639	9800000	10050000	86	3302	1099	974	immediate
SUPER_1	57938817	57967711	IR	354	.	57953755	0.354	0.996	705	28870	57938817	57943172	57963357	57967711	90518639	57750000	58000000	0	3387	4354	20185	spaced
SUPER_1	31408912	31440928	IR	353	.	31424640	0.353	0.827	27	31981	31408912	31410454	31439438	31440928	90518639	31200000	31450000	0	3748	1490	28984	spaced
SUPER_1	65031735	65127349	IR	352	.	65079383	0.352	0.872	44	95627	65031735	65032290	65126808	65127349	90518639	64900000	65150000	44	2992	541	94518	spaced
SUPER_1	87705119	87834895	IR	349	.	87769671	0.349	0.906	26	129677	87705119	87705693	87834342	87834895	90518639	87600000	87850000	0	2833	553	128649	wide
SUPER_1	12164097	12391707	IR	344	.	12277907	0.344	0.981	21	227662	12164097	12164253	12391551	12391707	90518639	12150000	12400000	21	2131	156	227298	wide
SUPER_1	7575765	7659893	IR	343	.	7617613	0.343	0.861	20	84105	7575765	7575983	7659681	7659893	90518639	7450000	7700000	4	2797	212	83698	spaced
