#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	6240131	6243381	IR	978	.	6241756	0.978	1.000	319	3591	6240131	6241543	6241969	6243381	13285173	6000000	6250000	319	4029	1412	426	immediate
SUPER_Z	928220	930760	IR	974	.	929490	0.974	0.994	215	2791	928220	929317	929663	930760	13285173	700000	950000	215	3824	1097	346	immediate
SUPER_Z	7842949	8014985	IR	831	.	7928906	0.831	0.994	504	172677	7842949	7845263	8012678	8014985	13285173	7800000	8050000	507	2149	2307	167415	wide
SUPER_Z	1694506	1697059	IR	724	.	1695778	0.724	0.976	186	153771	1694506	1695322	1696243	1697061	13285173	1550000	1800000	186	2429	816	921	immediate
SUPER_Z	3912965	3914914	IR	723	.	3913946	0.723	0.973	163	2112	3912965	3913816	3914063	3914927	13285173	3900000	4150000	163	232	851	247	immediate
SUPER_Z	10549208	10550538	IR	710	.	10549873	0.710	0.996	107	2609	10549208	10549723	10550023	10550538	13285173	10450000	10700000	108	1664	515	300	immediate
SUPER_Z	2836533	2837903	IR	710	.	2837218	0.710	0.985	106	2608	2836533	2837068	2837368	2837909	13285173	2650000	2900000	111	3120	535	300	immediate
SUPER_Z	1294336	1297048	IR	692	.	1295690	0.692	0.984	184	57547	1294336	1295204	1296180	1297049	13285173	1200000	1450000	186	1594	868	976	immediate
SUPER_Z	6313559	6316369	IR	662	.	6314964	0.662	0.997	161	2989	6313559	6314326	6315602	6316369	13285173	6100000	6350000	161	3582	767	1276	immediate
SUPER_Z	3355860	3358070	IR	659	.	3356965	0.659	0.975	175	180479	3355860	3356784	3357146	3358082	13285173	3250000	3500000	175	1782	924	362	immediate
SUPER_Z	7457551	7460284	IR	651	.	7458918	0.651	0.986	138	2891	7457551	7458352	7459484	7460284	13285173	7250000	7500000	138	3481	800	1132	immediate
SUPER_Z	1370651	1372779	IR	620	.	1371715	0.620	0.997	132	2268	1370651	1371314	1372116	1372780	13285173	1150000	1400000	132	3695	663	802	immediate
SUPER_Z	7257102	7259183	IR	614	.	7258151	0.614	0.962	126	21211	7257102	7257765	7258520	7259201	13285173	7100000	7350000	128	2635	663	755	immediate
SUPER_Z	11521098	11523283	IR	604	.	11522199	0.604	0.972	165	2526	11521098	11522007	11522391	11523283	13285173	11300000	11550000	170	3703	892	384	immediate
SUPER_Z	12684046	12687747	IR	595	.	12686297	0.595	0.929	94	3570	12684046	12685297	12686500	12687747	13285173	12500000	12750000	0	3098	1247	1203	immediate
SUPER_Z	4112894	4114966	IR	582	.	4113930	0.582	0.976	102	2210	4112894	4113595	4114266	4114966	13285173	3900000	4150000	102	3565	700	671	immediate
SUPER_Z	12224117	12232925	IR	567	.	12228805	0.567	0.865	424	8788	12224117	12227896	12229197	12232925	13285173	12000000	12250000	0	3808	3728	1301	immediate
SUPER_Z	9768150	9941996	IR	557	.	9855101	0.557	0.381	72	174328	9768150	9854691	9855505	9941996	13285173	9700000	9950000	102	2584	86491	814	immediate
SUPER_Z	13109491	13112002	IR	548	.	13110846	0.548	0.902	51	2631	13109491	13110267	13111226	13112004	13285173	13000000	13250000	51	1845	776	959	immediate
SUPER_Z	12011720	12013436	IR	547	.	12012579	0.547	0.990	134	3941	12011720	12012417	12012739	12013439	13285173	11850000	12100000	134	2709	697	322	immediate
SUPER_Z	7346766	7348992	IR	535	.	7348172	0.535	0.855	25	2195	7346766	7347426	7348332	7349004	13285173	7100000	7350000	0	4131	660	906	immediate
SUPER_Z	3832747	3835307	IR	500	.	3834027	0.500	0.990	147	2741	3832747	3833547	3834507	3835308	13285173	3600000	3850000	149	3900	800	960	immediate
SUPER_Z	10380340	10382708	IR	500	.	10381776	0.500	0.897	32	2166	10380340	10381160	10381891	10382708	13285173	10250000	10500000	0	2191	817	731	immediate
SUPER_Z	942524	945313	IR	497	.	944080	0.497	0.993	140	2939	942524	943247	944590	945313	13285173	750000	1000000	142	3231	723	1343	immediate
SUPER_Z	8216463	8217319	IR	472	.	8216891	0.472	0.985	39	49927	8216463	8216737	8217045	8217319	13285173	8000000	8250000	39	3614	274	308	immediate
SUPER_Z	1600126	1602753	IR	464	.	1601451	0.464	0.866	156	104576	1600126	1601284	1601595	1602777	13285173	1500000	1750000	168	1690	1158	311	immediate
SUPER_Z	11367264	11405177	IR	452	.	11386206	0.452	0.389	46	38166	11367264	11385547	11386894	11405213	13285173	11200000	11450000	46	3103	18283	1347	immediate
SUPER_Z	5963606	5964484	IR	449	.	5964045	0.449	0.942	43	30134	5963606	5964015	5964075	5964485	13285173	5750000	6000000	43	3567	409	60	immediate
SUPER_Z	6879612	6882220	IR	442	.	6880916	0.442	0.942	138	2943	6879612	6880331	6881539	6882220	13285173	6650000	6900000	138	3848	681	1208	immediate
SUPER_Z	8698269	8700435	IR	434	.	8699701	0.434	0.911	26	2123	8698269	8698875	8699836	8700435	13285173	8550000	8800000	0	2489	599	961	immediate
SUPER_Z	11516002	11518941	IR	433	.	11517472	0.433	0.964	158	144813	11516002	11516988	11517968	11518941	13285173	11400000	11650000	163	1957	973	980	immediate
SUPER_Z	1113813	1116343	IR	423	.	1115078	0.423	0.962	112	84207	1113813	1114484	1115672	1116361	13285173	950000	1200000	115	2751	671	1188	immediate
SUPER_Z	9610603	9610951	IR	403	.	9610777	0.403	1.000	33	35632	9610603	9610761	9610793	9610951	13285173	9450000	9700000	33	2679	158	32	immediate
SUPER_Z	12250001	12258985	IR	393	.	12254215	0.393	0.740	399	8961	12250001	12254111	12254875	12258986	13285173	12050000	12300000	0	3408	4110	764	immediate
SUPER_Z	4708399	4709401	IR	393	.	4708900	0.393	0.954	43	6101	4708399	4708745	4709062	4709401	13285173	4600000	4850000	43	1814	339	317	immediate
SUPER_Z	3535590	3537932	IR	387	.	3536761	0.387	0.988	123	2582	3535590	3536229	3537293	3537933	13285173	3450000	3700000	123	1445	639	1064	immediate
SUPER_Z	165797	167672	IR	381	.	166761	0.381	0.918	132	2168	165797	166485	166984	167726	13285173	50000	300000	134	1945	688	499	immediate
SUPER_Z	11555294	11558214	IR	360	.	11556754	0.360	0.975	141	3048	11555294	11556084	11557424	11558214	13285173	11450000	11700000	145	1779	790	1340	immediate
SUPER_Z	206224	208131	IR	358	.	207178	0.358	0.978	67	118682	206224	206591	207764	208132	13285173	100000	350000	67	1786	367	1173	immediate
SUPER_Z	80600	96662	IR	352	.	88973	0.352	0.980	65	16041	80600	81161	96101	96663	13285173	0	250000	0	1477	561	14940	spaced
