#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	54882573	54888809	IR	873	.	54885707	0.873	0.936	528	6956	54882573	54885215	54886199	54888809	221713472	54650000	54900000	528	3928	2610	984	immediate
SUPER_1	168772408	168774852	IR	807	.	168773630	0.807	0.925	58	2494	168772408	168773314	168773946	168774855	221713472	168700000	168950000	58	1227	906	632	immediate
SUPER_1	54722782	54727719	IR	686	.	54725250	0.686	0.991	376	5427	54722782	54724594	54725907	54727729	221713472	54500000	54750000	376	3754	1812	1313	immediate
SUPER_1	193466644	193469695	IR	634	.	193468173	0.634	0.927	69	3457	193466644	193467543	193468803	193469695	221713472	193250000	193500000	69	3636	892	1260	immediate
SUPER_1	204685039	204689809	IR	611	.	204687424	0.611	0.993	334	5210	204685039	204686675	204688173	204689809	221713472	204500000	204750000	334	3123	1636	1498	immediate
SUPER_1	214556229	214559114	IR	610	.	214557685	0.610	0.928	90	2986	214556229	214557002	214558368	214559114	221713472	214350000	214600000	90	3461	746	1366	immediate
SUPER_1	200465447	200468767	IR	608	.	200467107	0.608	0.973	190	3549	200465447	200466529	200467685	200468775	221713472	200250000	200500000	190	3618	1082	1156	immediate
SUPER_1	54761693	54764525	IR	606	.	54763109	0.606	1.000	170	3006	54761693	54762497	54763721	54764525	221713472	54550000	54800000	170	3551	804	1224	immediate
SUPER_1	32268643	32271680	IR	594	.	32270172	0.594	0.944	159	3173	32268643	32269638	32270706	32271680	221713472	32050000	32300000	159	3669	974	1068	immediate
SUPER_1	141491377	141497775	IR	522	.	141494576	0.522	0.958	321	7038	141491377	141493698	141495454	141497787	221713472	141250000	141500000	321	4076	2321	1756	immediate
SUPER_1	204489821	204517242	IR	489	.	204503540	0.489	0.465	117	27583	204489821	204502746	204504334	204517242	221713472	204300000	204550000	117	3392	12908	1588	immediate
SUPER_1	168811763	168822163	IR	485	.	168817254	0.485	0.782	149	10473	168811763	168815386	168818540	168822253	221713472	168700000	168950000	0	1949	3623	3154	spaced
SUPER_1	33591397	33594170	IR	485	.	33592784	0.485	0.945	57	3280	33591397	33591984	33593583	33594170	221713472	33350000	33600000	57	4046	587	1599	immediate
SUPER_1	203082441	203084697	IR	461	.	203083569	0.461	0.970	41	2285	203082441	203082779	203084359	203084697	221713472	202900000	203150000	41	3059	338	1580	immediate
SUPER_1	207771147	207773367	IR	422	.	207772255	0.422	0.953	76	2400	207771147	207771722	207772792	207773368	221713472	207600000	207850000	76	2870	575	1070	immediate
SUPER_1	1365127	1517242	IR	401	.	1441096	0.401	0.750	20	152073	1365127	1365187	1517197	1517242	221713472	1350000	1600000	168	1519	45	152010	wide
SUPER_1	116129154	116132462	IR	390	.	116130808	0.390	0.932	81	3515	116129154	116129918	116131698	116132488	221713472	115900000	116150000	81	3846	764	1780	immediate
SUPER_1	220465857	220487300	IR	376	.	220476404	0.376	0.984	24	21430	220465857	220465986	220487171	220487300	221713472	220350000	220600000	24	2109	129	21185	spaced
SUPER_1	125251960	125357416	IR	373	.	125305048	0.373	0.975	227	105430	125251960	125254068	125355308	125357416	221713472	125200000	125450000	0	1744	2108	101240	wide
SUPER_1	212933135	213025224	IR	368	.	212979260	0.368	0.922	22	92143	212933135	212933380	213024981	213025224	221713472	212800000	213050000	22	2986	243	91601	spaced
SUPER_1	54812479	54819111	IR	366	.	54815798	0.366	0.996	498	7152	54812479	54814747	54816849	54819111	221713472	54600000	54850000	498	3596	2262	2102	spaced
SUPER_1	221339274	221512961	IR	364	.	221426249	0.364	0.902	27	173729	221339274	221339628	221512612	221512961	221713472	221300000	221550000	27	2101	349	172984	wide
SUPER_1	203661983	203671939	IR	362	.	203666995	0.362	0.906	304	10499	203661983	203666245	203667742	203671939	221713472	203550000	203800000	304	1949	4197	1497	immediate
SUPER_1	181747887	181758598	IR	359	.	181753688	0.359	0.928	136	10707	181747887	181750137	181756348	181758612	221713472	181550000	181800000	0	3387	2250	6211	spaced
SUPER_1	174022405	174096693	IR	357	.	174060010	0.357	0.960	39	74269	174022405	174022927	174096171	174096693	221713472	173900000	174150000	0	2659	522	73244	spaced
SUPER_1	110876611	110882213	IR	355	.	110879232	0.355	0.905	35	5649	110876611	110877357	110881467	110882213	221713472	110650000	110900000	35	3823	746	4110	spaced
SUPER_1	209095416	209229193	IR	353	.	209161963	0.353	0.820	25	133757	209095416	209095828	209228800	209229193	221713472	209050000	209300000	0	1871	393	132972	wide
SUPER_1	187020263	187172456	IR	352	.	187096805	0.352	0.952	63	152164	187020263	187021226	187171493	187172457	221713472	186950000	187200000	0	2439	963	150267	wide
SUPER_1	165801071	165865521	IR	352	.	165833215	0.352	0.931	60	64754	165801071	165802108	165864484	165865521	221713472	165650000	165900000	60	3054	1037	62376	spaced
SUPER_1	1284289	1340812	IR	350	.	1312155	0.350	0.756	22	56565	1284289	1284558	1340543	1340877	221713472	1100000	1350000	0	3542	269	55985	spaced
