#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	56234955	56239083	IR	1000	.	56237019	1.000	0.999	418	4564	56234955	56236751	56237287	56239084	177181041	56000000	56250000	418	3950	1796	536	immediate
SUPER_1	113657222	113661475	IR	998	.	113659376	0.998	0.961	355	4720	113657222	113659171	113659581	113661475	177181041	113450000	113700000	404	3489	1894	410	immediate
SUPER_1	65399508	65401446	IR	997	.	65400477	0.997	0.999	181	2137	65399508	65400363	65400591	65401446	177181041	65300000	65550000	181	1674	855	228	immediate
SUPER_1	130400101	130402550	IR	995	.	130401168	0.995	1.000	229	51053	130400101	130401057	130401594	130402550	177181041	130200000	130450000	229	3355	956	537	immediate
SUPER_1	62594813	62600589	IR	994	.	62597701	0.994	1.000	573	6394	62594813	62597353	62598049	62600590	177181041	62400000	62650000	573	3294	2540	696	immediate
SUPER_1	140636843	140653293	IR	992	.	140645060	0.992	0.517	287	17206	140636843	140644868	140645268	140653336	177181041	140550000	140800000	389	1584	8025	400	immediate
SUPER_1	102891242	102921528	IR	990	.	102905997	0.990	0.556	735	19754	102891242	102905999	102906835	102921528	177181041	102750000	103000000	0	2606	14693	836	immediate
SUPER_1	136793509	136800144	IR	990	.	136796374	0.990	0.993	516	6610	136793509	136796487	136797166	136800144	177181041	136600000	136850000	0	3280	2978	679	immediate
SUPER_1	76225881	76228274	IR	990	.	76227078	0.990	0.998	222	2665	76225881	76226921	76227235	76228274	177181041	76000000	76250000	222	3784	1039	314	immediate
SUPER_1	34811119	34815099	IR	988	.	34813109	0.988	0.998	371	4394	34811119	34812827	34813391	34815100	177181041	34600000	34850000	371	3551	1708	564	immediate
SUPER_1	72430447	72434553	IR	986	.	72432500	0.986	0.987	342	4549	72430447	72432217	72432783	72434565	177181041	72200000	72450000	342	3874	1770	566	immediate
SUPER_1	115497596	115499528	IR	985	.	115498562	0.985	1.000	184	2112	115497596	115498426	115498698	115499528	177181041	115300000	115550000	184	3309	830	272	immediate
SUPER_1	150419990	150424216	IR	982	.	150422103	0.982	0.980	397	5168	150419990	150421834	150422372	150424243	177181041	150200000	150450000	397	3701	1844	538	immediate
SUPER_1	126957693	126960912	IR	981	.	126959570	0.981	0.999	234	3193	126957693	126959003	126959602	126960912	177181041	126750000	127000000	0	3488	1310	599	immediate
SUPER_1	141384131	141386895	IR	974	.	141385595	0.974	0.975	199	19012	141384131	141385270	141385756	141386895	177181041	141200000	141450000	199	3091	1139	486	immediate
SUPER_1	153820054	153823448	IR	970	.	153821344	0.970	0.969	128	3369	153820054	153821306	153822207	153823448	177181041	153750000	154000000	0	1195	1241	901	immediate
SUPER_1	51504921	51507155	IR	969	.	51506203	0.969	0.995	155	2381	51504921	51505683	51506393	51507155	177181041	51300000	51550000	155	3433	762	710	immediate
SUPER_1	153240629	153243284	IR	969	.	153241797	0.969	0.969	139	2867	153240629	153241594	153242330	153243284	177181041	153000000	153250000	139	4032	954	736	immediate
SUPER_1	173675714	173683266	IR	967	.	173679490	0.967	1.000	763	8325	173675714	173679046	173679934	173683266	177181041	173450000	173700000	763	3824	3332	888	immediate
SUPER_1	51203273	51206577	IR	965	.	51204925	0.965	1.000	308	3664	51203273	51204672	51205178	51206577	177181041	51000000	51250000	308	3415	1399	506	immediate
SUPER_1	95001203	95005944	IR	954	.	95003570	0.954	0.988	446	5254	95001203	95003224	95003923	95005951	177181041	94800000	95050000	446	3392	2021	699	immediate
SUPER_1	129203017	129205973	IR	949	.	129204659	0.949	0.950	113	3067	129203017	129204170	129204820	129205974	177181041	129000000	129250000	113	3408	1153	650	immediate
SUPER_1	28973761	28975859	IR	945	.	28974810	0.945	1.000	189	2265	28973761	28974641	28974979	28975859	177181041	28750000	29000000	189	3746	880	338	immediate
SUPER_1	90253612	90255900	IR	943	.	90254756	0.943	0.999	215	2457	90253612	90254580	90254932	90255900	177181041	90050000	90300000	215	3412	968	352	immediate
SUPER_1	24368416	24370070	IR	938	.	24369243	0.938	0.999	159	119214	24368416	24369094	24369392	24370070	177181041	24250000	24500000	159	1987	678	298	immediate
SUPER_1	64042700	64047014	IR	937	.	64045337	0.937	0.999	299	4292	64042700	64044282	64045432	64047014	177181041	64000000	64250000	0	747	1582	1150	immediate
SUPER_1	30488624	30496040	IR	936	.	30492183	0.936	0.997	706	8152	30488624	30491741	30492923	30496041	177181041	30250000	30500000	706	4038	3117	1182	immediate
SUPER_1	32116135	32119142	IR	936	.	32117369	0.936	0.906	115	2940	32116135	32117362	32117915	32119208	177181041	31900000	32150000	0	3627	1227	553	immediate
SUPER_1	71883627	71886062	IR	935	.	71885095	0.935	0.994	162	2418	71883627	71884646	71885043	71886063	177181041	71750000	72000000	0	2247	1019	397	immediate
SUPER_1	19219044	19223727	IR	933	.	19221837	0.933	0.837	158	4146	19219044	19220962	19221840	19223727	177181041	19000000	19250000	0	3689	1887	878	immediate
SUPER_1	123515668	123518678	IR	930	.	123517173	0.930	0.925	153	3351	123515668	123516977	123517369	123518751	177181041	123350000	123600000	153	2786	1309	392	immediate
SUPER_1	50483559	50485416	IR	930	.	50484486	0.930	0.970	136	2057	50483559	50484162	50484825	50485416	177181041	50250000	50500000	136	3907	591	663	immediate
SUPER_1	129666422	129668458	IR	927	.	129667440	0.927	0.995	171	2242	129666422	129667256	129667624	129668458	177181041	129450000	129700000	171	3623	834	368	immediate
SUPER_1	133419486	133424616	IR	924	.	133422051	0.924	1.000	495	7089	133419486	133421649	133422453	133424616	177181041	133250000	133500000	495	2867	2163	804	immediate
SUPER_1	128973371	128977627	IR	921	.	128975218	0.921	0.996	141	4236	128973371	128974269	128976729	128977628	177181041	128750000	129000000	0	3758	898	2460	spaced
SUPER_1	36431237	36433505	IR	918	.	36432371	0.918	0.997	188	2417	36431237	36432133	36432609	36433505	177181041	36200000	36450000	188	3872	896	476	immediate
SUPER_1	61232649	61241082	IR	917	.	61236873	0.917	0.994	782	9356	61232649	61236301	61237445	61241082	177181041	61000000	61250000	782	3947	3637	1144	immediate
SUPER_1	61357785	61360823	IR	917	.	61359304	0.917	0.998	264	3466	61357785	61359060	61359548	61360823	177181041	61150000	61400000	264	3488	1275	488	immediate
SUPER_1	156818680	156821090	IR	917	.	156819885	0.917	0.952	117	16455	156818680	156819721	156820049	156821090	177181041	156700000	156950000	121	1997	1041	328	immediate
SUPER_1	1271897	1274425	IR	914	.	1273161	0.914	0.998	207	2849	1271897	1272909	1273413	1274425	177181041	1200000	1450000	207	1219	1012	504	immediate
SUPER_1	168343550	168345389	IR	912	.	168344462	0.912	0.912	114	4559	168343550	168344218	168344730	168345389	177181041	168100000	168350000	232	4074	659	512	immediate
SUPER_1	66331773	66334335	IR	911	.	66333054	0.911	1.000	219	2847	66331773	66332814	66333294	66334335	177181041	66100000	66350000	219	3884	1041	480	immediate
SUPER_1	60301506	60304394	IR	911	.	60303280	0.911	0.973	123	2874	60301506	60302580	60303320	60304405	177181041	60100000	60350000	0	3382	1074	740	immediate
SUPER_1	158717062	158720450	IR	910	.	158718756	0.910	0.999	299	3710	158717062	158718482	158719030	158720452	177181041	158500000	158750000	299	3645	1420	548	immediate
SUPER_1	163618372	163621382	IR	910	.	163619877	0.910	0.998	252	3202	163618372	163619551	163620203	163621382	177181041	163400000	163650000	252	3664	1179	652	immediate
SUPER_1	106316118	106318746	IR	907	.	106317432	0.907	0.994	208	2847	106316118	106317202	106317662	106318748	177181041	106100000	106350000	208	3623	1084	460	immediate
SUPER_1	28772957	28775589	IR	907	.	28774273	0.907	0.994	201	2847	28772957	28774043	28774503	28775589	177181041	28550000	28800000	201	3737	1086	460	immediate
SUPER_1	51860573	51863143	IR	907	.	51861858	0.907	0.993	193	2845	51860573	51861603	51862113	51863143	177181041	51800000	52050000	193	1030	1030	510	immediate
SUPER_1	152534787	152540731	IR	907	.	152537863	0.907	0.910	107	6280	152534787	152537196	152538324	152540731	177181041	152300000	152550000	263	3962	2407	1128	immediate
SUPER_1	73628263	73630892	IR	905	.	73629578	0.905	0.998	205	2847	73628263	73629279	73629877	73630892	177181041	73400000	73650000	205	3826	1015	598	immediate
SUPER_1	138734102	138736022	IR	905	.	138735062	0.905	1.000	153	2075	138734102	138734827	138735297	138736022	177181041	138500000	138750000	153	3917	725	470	immediate
SUPER_1	158515986	158518550	IR	904	.	158517268	0.904	0.997	199	2851	158515986	158516953	158517583	158518552	177181041	158350000	158600000	199	2787	967	630	immediate
SUPER_1	15023910	15026088	IR	904	.	15024999	0.904	1.000	190	2400	15023910	15024755	15025243	15026088	177181041	14800000	15050000	190	3749	845	488	immediate
SUPER_1	26888593	26890479	IR	904	.	26889536	0.904	1.000	151	2075	26888593	26889301	26889771	26890479	177181041	26650000	26900000	151	3992	708	470	immediate
SUPER_1	55168820	55170528	IR	903	.	55169674	0.903	1.000	150	175946	55168820	55169477	55169871	55170528	177181041	55050000	55300000	150	1994	657	394	immediate
SUPER_1	63159253	63161139	IR	903	.	63160196	0.903	1.000	150	2075	63159253	63159952	63160440	63161139	177181041	63050000	63300000	150	1836	699	488	immediate
SUPER_1	151448179	151450373	IR	903	.	151449276	0.903	0.969	113	2337	151448179	151449024	151449528	151450373	177181041	151250000	151500000	113	3321	845	504	immediate
SUPER_1	92698529	92701195	IR	902	.	92699863	0.902	0.991	180	2849	92698529	92699564	92700162	92701195	177181041	92550000	92800000	180	2497	1033	598	immediate
SUPER_1	60591134	60593792	IR	901	.	60592463	0.901	0.996	237	2888	60591134	60592254	60592672	60593794	177181041	60350000	60600000	237	4040	1120	418	immediate
SUPER_1	174270361	174272427	IR	901	.	174271394	0.901	0.996	173	2260	174270361	174271185	174271603	174272428	177181041	174050000	174300000	173	3689	824	418	immediate
SUPER_1	161831095	161840842	IR	898	.	161835743	0.898	0.901	179	9964	161831095	161835379	161836558	161840842	177181041	161800000	162050000	230	599	4284	1179	immediate
SUPER_1	47478058	47480670	IR	896	.	47479364	0.896	0.981	190	2838	47478058	47479070	47479658	47480685	177181041	47250000	47500000	190	3822	1012	588	immediate
SUPER_1	142979307	142984308	IR	896	.	142981857	0.896	0.886	154	5764	142979307	142981568	142982047	142984319	177181041	142750000	143000000	406	3863	2261	479	immediate
SUPER_1	131581869	131585119	IR	894	.	131583494	0.894	0.998	293	3548	131581869	131583151	131583837	131585119	177181041	131350000	131600000	293	3891	1282	686	immediate
SUPER_1	141145742	141151819	IR	894	.	141148804	0.894	0.917	269	6516	141145742	141148518	141149043	141151845	177181041	141000000	141250000	397	2479	2776	525	immediate
SUPER_1	29164693	29166709	IR	892	.	29165697	0.892	0.890	146	2133	29164693	29165586	29165816	29166711	177181041	29150000	29400000	146	261	893	230	immediate
SUPER_1	65585450	65591250	IR	891	.	65588350	0.891	1.000	558	6403	65585450	65587887	65588813	65591250	177181041	65350000	65600000	558	3972	2437	926	immediate
SUPER_1	126518331	126523036	IR	891	.	126520194	0.891	0.878	92	3667	126518331	126520188	126521234	126523036	177181041	126400000	126650000	0	2011	1802	1046	immediate
SUPER_1	34284958	34287302	IR	890	.	34286130	0.890	1.000	212	2536	34284958	34285863	34286397	34287302	177181041	34050000	34300000	212	3935	905	534	immediate
SUPER_1	16705790	16707722	IR	889	.	16706757	0.889	0.986	130	2072	16705790	16706585	16706929	16707722	177181041	16500000	16750000	130	3445	793	344	immediate
SUPER_1	42522852	42524704	IR	888	.	42523778	0.888	1.000	145	2053	42522852	42523539	42524017	42524704	177181041	42350000	42600000	145	2896	687	478	immediate
SUPER_1	34250143	34252696	IR	888	.	34251026	0.888	0.860	42	2587	34250143	34250681	34252158	34252771	177181041	34150000	34400000	0	1690	538	1477	immediate
SUPER_1	54235044	54236980	IR	887	.	54236012	0.887	0.999	162	2792	54235044	54235761	54236263	54236980	177181041	54000000	54250000	162	3933	717	502	immediate
