#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	20336516	20339384	IR	930	.	20338069	0.930	0.979	164	3150	20336516	20337597	20338303	20339384	42655249	20100000	20350000	164	3965	1081	706	immediate
SUPER_Z	17337792	17351174	IR	906	.	17344483	0.906	1.000	1359	51977	17337792	17343603	17345363	17351174	42655249	17150000	17400000	1479	3241	5811	1760	immediate
SUPER_Z	25527698	25530852	IR	875	.	25529275	0.875	0.996	248	3428	25527698	25528933	25529617	25530852	42655249	25300000	25550000	248	3821	1235	684	immediate
SUPER_Z	12117183	12120405	IR	846	.	12118557	0.846	0.894	41	4992	12117183	12118386	12119204	12120405	42655249	12050000	12300000	41	1146	1201	818	immediate
SUPER_Z	27292220	27295909	IR	836	.	27294243	0.836	0.949	129	4100	27292220	27293747	27294383	27295909	42655249	27050000	27300000	129	4067	1526	636	immediate
SUPER_Z	10656389	10660738	IR	821	.	10658208	0.821	0.948	129	4329	10656389	10657970	10659160	10660738	42655249	10450000	10700000	0	3475	1578	1190	immediate
SUPER_Z	41918658	41920848	IR	812	.	41919690	0.812	0.919	76	95599	41918658	41919277	41920229	41920867	42655249	41800000	42050000	76	1995	619	952	immediate
SUPER_Z	35603897	35606835	IR	812	.	35605723	0.812	0.953	57	2914	35603897	35604701	35606031	35606835	42655249	35400000	35650000	0	3422	804	1330	immediate
SUPER_Z	19925815	20033413	IR	808	.	19979733	0.808	0.393	134	107716	19925815	19978780	19980448	20033451	42655249	19800000	20050000	134	2993	52965	1668	immediate
SUPER_Z	30876128	30878980	IR	772	.	30877734	0.772	0.938	69	2894	30876128	30877155	30877956	30878980	42655249	30650000	30900000	69	3792	1024	801	immediate
SUPER_Z	19053331	19055251	IR	770	.	19054291	0.770	0.967	71	2077	19053331	19053910	19054672	19055251	42655249	18850000	19100000	71	3404	579	762	immediate
SUPER_Z	9849626	9852478	IR	765	.	9850874	0.765	0.946	67	2894	9849626	9850399	9851706	9852478	42655249	9800000	10050000	67	850	772	1307	immediate
