#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	10456104	10458068	IR	979	.	10457086	0.979	0.989	154	2164	10456104	10456977	10457195	10458068	37340338	10350000	10600000	154	1784	873	218	immediate
SUPER_Z	3485528	3487974	IR	970	.	3486751	0.970	0.999	242	2680	3485528	3486570	3486932	3487974	37340338	3250000	3500000	242	3945	1042	362	immediate
SUPER_Z	28547256	28549224	IR	944	.	28548240	0.944	0.989	154	2191	28547256	28548054	28548426	28549224	37340338	28300000	28550000	154	4137	798	372	immediate
SUPER_Z	17044754	17046884	IR	899	.	17045819	0.899	0.998	184	2304	17044754	17045576	17046062	17046884	37340338	16800000	17050000	184	4096	822	486	immediate
SUPER_Z	17493970	17524748	IR	894	.	17508913	0.894	0.977	55	30756	17493970	17494409	17524309	17524748	37340338	17300000	17550000	0	3489	439	29900	spaced
SUPER_Z	23555418	23557386	IR	857	.	23556402	0.857	0.999	143	115488	23555418	23556106	23556698	23557386	37340338	23400000	23650000	143	2606	688	592	immediate
SUPER_Z	16280371	16283031	IR	839	.	16281701	0.839	0.999	223	3062	16280371	16281358	16282044	16283031	37340338	16050000	16300000	223	3861	987	686	immediate
SUPER_Z	30106556	30108572	IR	822	.	30107563	0.822	0.972	126	2125	30106556	30107201	30107936	30108572	37340338	29900000	30150000	126	3459	636	735	immediate
SUPER_Z	21921056	21922650	IR	786	.	21921853	0.786	0.998	138	53407	21921056	21921677	21922029	21922650	37340338	21750000	22000000	138	2864	621	352	immediate
SUPER_Z	1715640	1717358	IR	748	.	1716499	0.748	0.967	81	13456	1715640	1716211	1716787	1717358	37340338	1500000	1750000	81	3608	571	576	immediate
SUPER_Z	35890773	35892605	IR	733	.	35891689	0.733	0.992	97	2011	35890773	35891256	35892122	35892605	37340338	35750000	36000000	97	2361	483	866	immediate
SUPER_Z	20655937	20658429	IR	728	.	20657183	0.728	0.999	193	2956	20655937	20656801	20657565	20658429	37340338	20450000	20700000	193	3452	864	764	immediate
SUPER_Z	12511592	12513884	IR	720	.	12512738	0.720	0.994	133	2409	12511592	12512219	12513257	12513884	37340338	12300000	12550000	133	3545	627	1038	immediate
SUPER_Z	23250739	23252997	IR	718	.	23251868	0.718	0.995	127	2413	23250739	23251338	23252398	23252997	37340338	23050000	23300000	127	3364	599	1060	immediate
SUPER_Z	14788396	14790224	IR	711	.	14789310	0.711	0.985	71	2069	14788396	14788805	14789815	14790224	37340338	14550000	14800000	71	3988	409	1010	immediate
SUPER_Z	26273909	26276155	IR	699	.	26275032	0.699	0.997	133	2400	26273909	26274532	26275532	26276155	37340338	26050000	26300000	133	3750	623	1000	immediate
SUPER_Z	31587137	31588684	IR	698	.	31587911	0.698	0.993	101	61225	31587137	31587675	31588147	31588684	37340338	31400000	31650000	101	3131	537	472	immediate
