#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	95860251	95862743	IR	877	.	95861497	0.877	0.998	198	2772	95860251	95861162	95861832	95862743	175332018	95652982	95902982	198	3475	911	670	immediate
SUPER_1	104346554	104348233	IR	863	.	104347394	0.863	0.992	147	2076	104346554	104347263	104347525	104348233	175332018	104110023	104360023	147	3956	708	262	immediate
SUPER_1	93303543	93412634	IR	800	.	93357580	0.800	0.991	69	109060	93303543	93303970	93412208	93412634	175332018	93195745	93445745	0	2705	426	108238	wide
SUPER_1	90394254	90396187	IR	721	.	90395221	0.721	0.982	107	2053	90394254	90394924	90395517	90396188	175332018	90306365	90444446	107	1480	670	593	immediate
SUPER_1	91125128	91127028	IR	715	.	91126078	0.715	0.986	137	104015	91125128	91125817	91126339	91127030	175332018	90994545	91244545	137	2192	689	522	immediate
SUPER_1	69786470	69790282	IR	709	.	69788376	0.709	0.947	175	4101	69786470	69788064	69788688	69790288	175332018	69620929	69870929	175	2790	1594	624	immediate
SUPER_1	125594216	125595848	IR	706	.	125595032	0.706	1.000	111	40825	125594216	125594681	125595383	125595848	175332018	125548182	125798182	111	780	465	702	immediate
SUPER_1	119939425	119941057	IR	699	.	119940241	0.699	0.998	107	69226	119939425	119939890	119940592	119941057	175332018	119779225	120029225	107	2683	465	702	immediate
SUPER_1	108157900	108159574	IR	698	.	108158737	0.698	1.000	115	151978	108157900	108158369	108159105	108159574	175332018	108044448	108288894	115	1904	469	736	immediate
SUPER_1	162092520	162095886	IR	687	.	162094686	0.687	0.989	61	3309	162092520	162093342	162095064	162095886	175332018	162028004	162278004	0	1103	822	1722	immediate
SUPER_1	20671385	20779383	IR	679	.	20724915	0.679	0.751	39	108041	20671385	20672099	20778669	20779450	175332018	20630740	20880740	0	1577	714	106570	wide
SUPER_1	63221069	63267173	IR	656	.	63244323	0.656	0.945	100	46186	63221069	63221837	63266423	63267173	175332018	63045451	63295451	100	3311	750	44586	spaced
SUPER_1	112456225	112457265	IR	647	.	112456745	0.647	0.974	55	13374	112456225	112456641	112456849	112457265	175332018	112239208	112489208	55	3625	416	208	immediate
SUPER_1	166537827	166551182	IR	637	.	166544418	0.637	0.429	39	13393	166537827	166544437	166544605	166551182	175332018	166315294	166565294	39	3820	6577	168	immediate
SUPER_1	68879615	68882264	IR	635	.	68881340	0.635	0.977	85	2628	68879615	68880215	68881664	68882264	175332018	68676213	68926213	0	3411	600	1449	immediate
SUPER_1	127527243	127529353	IR	629	.	127528298	0.629	0.973	137	2220	127527243	127528140	127528456	127529360	175332018	127282515	127532515	137	4096	897	316	immediate
SUPER_1	12106333	12108077	IR	628	.	12107205	0.628	0.971	85	2022	12106333	12106982	12107430	12108077	175332018	11882597	12132597	85	3743	647	448	immediate
SUPER_1	91681075	91683219	IR	617	.	91682147	0.617	0.915	95	2301	91681075	91681519	91682775	91683259	175332018	91544545	91794545	122	2293	444	1256	immediate
SUPER_1	90096320	90098077	IR	596	.	90097199	0.596	0.994	102	53199	90096320	90096805	90097593	90098077	175332018	89922254	90166967	102	2915	484	788	immediate
SUPER_1	141968702	141974426	IR	590	.	141971564	0.590	0.956	279	55173	141968702	141970949	141972179	141974432	175332018	141866838	142116838	279	1745	2247	1230	immediate
SUPER_1	152278520	152457645	IR	587	.	152368213	0.587	0.613	41	179144	152278520	152279541	152456627	152457645	175332018	152256889	152506889	41	1853	1018	177086	wide
SUPER_1	94894764	94955829	IR	579	.	94925334	0.579	0.387	100	61411	94894764	94925021	94925646	94955829	175332018	94760707	95010707	100	2743	30183	625	immediate
SUPER_1	102467879	102468878	IR	567	.	102468378	0.567	0.966	66	194679	102467879	102468291	102468466	102468882	175332018	102370945	102620945	66	1623	412	175	immediate
SUPER_1	164775389	164777320	IR	562	.	164776356	0.562	0.978	121	2072	164775389	164776203	164776509	164777320	175332018	164565294	164815294	121	3517	811	306	immediate
SUPER_1	49750766	49878719	IR	560	.	49814430	0.560	0.958	66	127933	49750766	49751601	49877884	49878720	175332018	49673005	49923005	0	2362	835	126283	wide
SUPER_1	117594537	117596713	IR	556	.	117595625	0.556	0.942	77	2234	117594537	117595198	117596052	117596722	175332018	117394897	117644897	77	3345	661	854	immediate
SUPER_1	24895890	24898402	IR	545	.	24897155	0.545	0.941	129	2765	24895890	24897011	24897301	24898402	175332018	24815288	25065288	129	1364	1101	290	immediate
SUPER_1	53156749	53158333	IR	545	.	53157541	0.545	0.993	62	79842	53156749	53157034	53158048	53158333	175332018	53002697	53252697	62	2580	285	1014	immediate
SUPER_1	123493937	123497411	IR	535	.	123496048	0.535	0.963	49	3386	123493937	123494402	123496955	123497411	175332018	123311730	123541445	0	3065	456	2553	spaced
SUPER_1	126401531	126404621	IR	534	.	126403076	0.534	0.984	132	3257	126401531	126402368	126403784	126404621	175332018	126181196	126431196	132	3697	837	1416	immediate
SUPER_1	48142644	48144699	IR	534	.	48143671	0.534	0.933	59	2288	48142644	48143513	48143830	48144702	175332018	47923005	48173005	59	3677	869	317	immediate
SUPER_1	79818914	79819863	IR	534	.	79819400	0.534	0.921	49	40630	79818914	79819272	79819505	79819886	175332018	79628940	79878940	49	3174	358	233	immediate
