#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	1407956	1418816	IR	990	.	1413386	0.990	1.000	1062	120555	1407956	1412712	1414060	1418816	55154011	1350000	1600000	1068	1056	4756	1348	immediate
SUPER_Z	26925274	26929664	IR	989	.	26927469	0.989	0.999	432	4867	26925274	26927227	26927711	26929664	55154011	26700000	26950000	432	3791	1953	484	immediate
SUPER_Z	25328986	25337404	IR	968	.	25333195	0.968	0.999	807	9307	25328986	25332676	25333714	25337405	55154011	25100000	25350000	808	3886	3690	1038	immediate
SUPER_Z	11308493	11310985	IR	965	.	11309739	0.965	1.000	237	2759	11308493	11309561	11309917	11310985	55154011	11100000	11350000	237	3495	1068	356	immediate
SUPER_Z	20566821	20569149	IR	932	.	20567985	0.932	0.999	207	2589	20566821	20567757	20568213	20569149	55154011	20350000	20600000	207	3632	936	456	immediate
SUPER_Z	15658149	15660842	IR	929	.	15659495	0.929	0.995	246	2917	15658149	15659253	15659738	15660846	55154011	15450000	15700000	246	3491	1104	485	immediate
SUPER_Z	1458834	1462930	IR	898	.	1460882	0.898	0.931	119	143627	1458834	1460541	1461223	1462930	55154011	1300000	1550000	119	2681	1707	682	immediate
SUPER_Z	38973176	38977466	IR	884	.	38975789	0.884	0.919	85	4269	38973176	38974847	38975795	38977466	55154011	38750000	39000000	0	3755	1671	948	immediate
SUPER_Z	8021798	8027616	IR	883	.	8024707	0.883	1.000	567	6415	8021798	8024181	8025233	8027616	55154011	7800000	8050000	567	3744	2383	1052	immediate
SUPER_Z	26310060	26313659	IR	883	.	26311806	0.883	0.928	81	4152	26310060	26311030	26312699	26313659	55154011	26150000	26400000	81	2697	960	1669	immediate
SUPER_Z	23781805	23944914	IR	876	.	23863858	0.876	0.389	105	163048	23781805	23862807	23863973	23944914	55154011	23750000	24000000	0	1889	80941	1166	immediate
SUPER_Z	54046301	54048853	IR	865	.	54047577	0.865	0.942	89	2726	54046301	54047326	54047828	54048853	55154011	53800000	54050000	89	4126	1025	502	immediate
SUPER_Z	37272934	37275518	IR	864	.	37273875	0.864	0.917	52	2551	37272934	37273843	37274609	37275518	55154011	37250000	37500000	0	403	909	766	immediate
SUPER_Z	44822935	44827427	IR	861	.	44825415	0.861	0.915	85	4472	44822935	44824941	44825421	44827427	55154011	44600000	44850000	0	3752	2006	480	immediate
SUPER_Z	30759652	30770160	IR	854	.	30764906	0.854	1.000	1017	11684	30759652	30764145	30765667	30770160	55154011	30600000	30850000	1020	2748	4493	1522	immediate
SUPER_Z	19454227	19458485	IR	854	.	19455888	0.854	0.924	86	4115	19454227	19455783	19456929	19458486	55154011	19450000	19700000	0	105	1556	1146	immediate
SUPER_Z	49109907	49112115	IR	854	.	49110894	0.854	0.953	60	2422	49109907	49110482	49111540	49112115	55154011	48950000	49200000	60	2683	575	1058	immediate
SUPER_Z	21964141	21969080	IR	847	.	21966669	0.847	0.957	203	5118	21964141	21965878	21967343	21969080	55154011	21750000	22000000	203	3610	1737	1465	immediate
SUPER_Z	10189688	10191822	IR	845	.	10190755	0.845	0.981	152	77221	10189688	10190604	10190906	10191824	55154011	10100000	10350000	152	1512	916	302	immediate
SUPER_Z	42993979	42996921	IR	845	.	42995334	0.845	0.923	61	3223	42993979	42994946	42995956	42996921	55154011	42750000	43000000	61	4090	965	1010	immediate
SUPER_Z	17494668	17665676	IR	841	.	17580356	0.841	0.381	41	171023	17494668	17579580	17580772	17665676	55154011	17450000	17700000	41	2169	84904	1192	immediate
SUPER_Z	52399170	52403051	IR	824	.	52400988	0.824	0.811	78	4142	52399170	52400418	52401909	52403051	55154011	52300000	52550000	79	1685	1142	1491	immediate
SUPER_Z	31865550	31868826	IR	819	.	31867656	0.819	0.923	54	3252	31865550	31866579	31867797	31868826	55154011	31700000	31950000	0	2786	1029	1218	immediate
SUPER_Z	25107490	25110654	IR	802	.	25108894	0.802	0.852	71	3800	25107490	25108575	25109569	25110730	55154011	24950000	25200000	91	2651	1085	994	immediate
SUPER_Z	12075290	12082634	IR	777	.	12078962	0.777	0.945	473	7946	12075290	12078377	12079547	12082686	55154011	11950000	12200000	473	2149	3087	1170	immediate
SUPER_Z	28295669	28297953	IR	776	.	28296991	0.776	0.901	33	4860	28295669	28296406	28297216	28297954	55154011	28200000	28450000	33	1613	737	810	immediate
SUPER_Z	37542104	37544196	IR	770	.	37543150	0.770	1.000	144	55901	37542104	37542778	37543522	37544196	55154011	37450000	37700000	144	1552	674	744	immediate
SUPER_Z	42250812	42252768	IR	753	.	42251790	0.753	1.000	135	2059	42250812	42251400	42252180	42252768	55154011	42100000	42350000	139	2529	588	780	immediate
SUPER_Z	27899975	27995047	IR	739	.	27947346	0.739	0.392	64	95278	27899975	27947034	27948009	27995047	55154011	27800000	28050000	64	2458	47038	975	immediate
SUPER_Z	43926635	43928615	IR	727	.	43927626	0.727	0.887	60	2106	43926635	43927512	43927740	43928615	55154011	43700000	43950000	60	3793	875	228	immediate
SUPER_Z	40175527	40177775	IR	708	.	40176651	0.708	0.994	129	3055	40175527	40176182	40177120	40177775	55154011	39950000	40200000	129	3777	655	938	immediate
SUPER_Z	23459983	23465261	IR	704	.	23462622	0.704	1.000	468	5712	23459983	23461979	23463265	23465261	55154011	23250000	23500000	468	3543	1996	1286	immediate
SUPER_Z	53588195	53592641	IR	687	.	53590418	0.687	0.914	73	4857	53588195	53589489	53591347	53592641	55154011	53500000	53750000	73	1506	1294	1858	immediate
SUPER_Z	44868914	44872449	IR	680	.	44870391	0.680	0.580	48	3510	44868914	44870651	44870715	44872449	55154011	44850000	45100000	0	344	1734	64	immediate
SUPER_Z	3764956	3767102	IR	676	.	3766029	0.676	1.000	127	2268	3764956	3765509	3766549	3767102	55154011	3550000	3800000	131	3600	553	1040	immediate
SUPER_Z	30258645	30327377	IR	647	.	30292784	0.647	0.391	69	69241	30258645	30292060	30294000	30327377	55154011	30150000	30400000	58	2383	33377	1940	immediate
SUPER_Z	37521037	37525178	IR	641	.	37523479	0.641	0.774	53	4136	37521037	37523051	37523164	37525219	55154011	37450000	37700000	0	1218	2014	113	immediate
