#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	19167220	19169230	IR	994	.	19168225	0.994	1.000	207	2212	19167220	19168088	19168362	19169230	44580442	18950000	19200000	207	3636	868	274	immediate
SUPER_Z	36125844	36133616	IR	992	.	36129730	0.992	1.000	774	8621	36125844	36129226	36130234	36133616	44580442	35900000	36150000	774	3828	3382	1008	immediate
SUPER_Z	40686439	40688997	IR	987	.	40687718	0.987	1.000	250	2800	40686439	40687562	40687874	40688997	44580442	40450000	40700000	250	3961	1123	312	immediate
SUPER_Z	2837300	2845388	IR	954	.	2841344	0.954	0.999	805	9030	2837300	2840887	2841801	2845388	44580442	2600000	2850000	805	4022	3587	914	immediate
SUPER_Z	39712469	39717013	IR	865	.	39714741	0.865	0.998	419	4993	39712469	39714322	39715160	39717013	44580442	39500000	39750000	419	3578	1853	838	immediate
SUPER_Z	41113140	41115948	IR	831	.	41114544	0.831	0.993	194	3102	41113140	41114217	41114871	41115948	44580442	40900000	41150000	194	3575	1077	654	immediate
SUPER_Z	35759356	35769290	IR	812	.	35764327	0.812	0.994	873	10946	35759356	35763537	35765117	35769290	44580442	35550000	35800000	873	3571	4173	1580	immediate
SUPER_Z	34585836	34588422	IR	772	.	34587127	0.772	0.982	166	2718	34585836	34586706	34587552	34588425	44580442	34350000	34600000	166	3951	870	846	immediate
SUPER_Z	31962850	32023964	IR	762	.	31993407	0.762	0.420	377	61739	31962850	31992875	31993939	32023999	44580442	31800000	32050000	377	3223	30025	1064	immediate
SUPER_Z	15572083	15574295	IR	754	.	15573189	0.754	0.993	128	2342	15572083	15572761	15573617	15574295	44580442	15350000	15600000	128	3719	678	856	immediate
SUPER_Z	23331992	23334134	IR	569	.	23333063	0.569	0.986	104	2278	23331992	23332560	23333566	23334134	44580442	23100000	23350000	104	3884	568	1006	immediate
SUPER_Z	20762946	20766874	IR	546	.	20764909	0.546	0.978	216	4394	20762946	20764083	20765737	20766883	44580442	20550000	20800000	216	3581	1137	1654	immediate
SUPER_Z	44229429	44232155	IR	535	.	44230801	0.535	0.945	176	2906	44229429	44230351	44231266	44232155	44580442	44000000	44250000	176	3846	889	915	immediate
SUPER_Z	31877227	31880501	IR	531	.	31878864	0.531	0.990	192	3584	31877227	31878237	31879491	31880502	44580442	31650000	31900000	192	3814	1010	1254	immediate
SUPER_Z	25703262	25705808	IR	529	.	25704535	0.529	0.995	119	2666	25703262	25703838	25705232	25705808	44580442	25500000	25750000	119	3408	576	1394	immediate
SUPER_Z	35521607	35523476	IR	524	.	35522542	0.524	0.988	101	2078	35521607	35522195	35522888	35523477	44580442	35300000	35550000	101	3708	588	693	immediate
SUPER_Z	37422003	37423972	IR	522	.	37423000	0.522	0.950	112	2137	37422003	37422623	37423352	37423997	44580442	37200000	37450000	112	3716	620	729	immediate
SUPER_Z	43399754	43402394	IR	514	.	43401068	0.514	0.867	33	2825	43399754	43400640	43401508	43402401	44580442	43200000	43450000	33	3351	886	868	immediate
SUPER_Z	3439722	3442016	IR	506	.	3440869	0.506	0.964	42	2772	3439722	3440108	3441630	3442016	44580442	3300000	3550000	42	2347	386	1522	immediate
SUPER_Z	41294925	41474401	IR	501	.	41384695	0.501	0.380	50	179509	41294925	41384010	41385380	41474401	44580442	41250000	41500000	50	2244	89021	1370	immediate
SUPER_Z	21775800	21778373	IR	500	.	21777090	0.500	0.915	65	2661	21775800	21776838	21777342	21778373	44580442	21550000	21800000	65	3784	1031	504	immediate
SUPER_Z	18231153	18233573	IR	480	.	18232363	0.480	0.993	91	2492	18231153	18231576	18233150	18233573	44580442	18000000	18250000	91	3872	423	1574	immediate
SUPER_Z	29191336	29193452	IR	470	.	29192394	0.470	0.971	50	2360	29191336	29191612	29193176	29193455	44580442	28950000	29200000	50	4039	276	1564	immediate
SUPER_Z	31316208	31318420	IR	470	.	31317314	0.470	0.984	48	2373	31316208	31316529	31318099	31318420	44580442	31100000	31350000	48	3621	321	1570	immediate
SUPER_Z	13984901	13988551	IR	461	.	13986752	0.461	0.951	218	3921	13984901	13985999	13987505	13988551	44580442	13750000	14000000	218	3945	1046	1506	immediate
SUPER_Z	30533490	30535812	IR	451	.	30534651	0.451	0.991	59	2359	30533490	30533826	30535476	30535812	44580442	30300000	30550000	59	3910	336	1650	immediate
SUPER_Z	11543543	11545657	IR	442	.	11544600	0.442	0.997	51	2159	11543543	11543833	11545367	11545657	44580442	11300000	11550000	51	4076	290	1534	immediate
SUPER_Z	1594927	1629231	IR	430	.	1612085	0.430	0.432	83	34555	1594927	1611774	1612396	1629231	44580442	1450000	1700000	92	2701	16835	622	immediate
SUPER_Z	44133557	44135925	IR	429	.	44134745	0.429	0.942	33	2411	44133557	44133973	44135517	44135925	44580442	43950000	44200000	33	3078	408	1544	immediate
SUPER_Z	29209667	29211868	IR	424	.	29210766	0.424	0.887	30	2299	29209667	29210017	29211524	29211868	44580442	29150000	29400000	30	1012	344	1507	immediate
SUPER_Z	39884052	39886250	IR	423	.	39885151	0.423	0.997	63	2233	39884052	39884355	39885947	39886250	44580442	39650000	39900000	63	3919	303	1592	immediate
SUPER_Z	21919214	21921871	IR	412	.	21920544	0.412	0.951	57	2751	21919214	21919762	21921326	21921871	44580442	21700000	21950000	57	3675	545	1564	immediate
SUPER_Z	32474052	32476048	IR	411	.	32475050	0.411	0.908	20	2002	32474052	32474217	32475883	32476057	44580442	32450000	32700000	20	417	165	1666	immediate
SUPER_Z	21909395	21909775	IR	406	.	21909585	0.406	0.994	29	124291	21909395	21909555	21909615	21909775	44580442	21800000	22050000	29	1826	160	60	immediate
SUPER_Z	15496470	15498692	IR	401	.	15497582	0.401	0.987	63	2281	15496470	15496853	15498311	15498692	44580442	15300000	15550000	63	3292	381	1458	immediate
SUPER_Z	42508298	42510673	IR	398	.	42509494	0.398	0.952	98	2723	42508298	42509075	42509896	42510690	44580442	42300000	42550000	98	3491	777	821	immediate
SUPER_Z	35925034	35928508	IR	384	.	35926768	0.384	0.904	76	3529	35925034	35925854	35927724	35928508	44580442	35700000	35950000	76	3779	784	1870	immediate
SUPER_Z	8924672	8952021	IR	383	.	8938828	0.383	0.982	46	27330	8924672	8925122	8951571	8952022	44580442	8750000	9000000	0	3138	450	26449	spaced
SUPER_Z	9579596	9778909	IR	381	.	9678925	0.381	0.851	32	199274	9579596	9579653	9778852	9778919	44580442	9550000	9800000	0	2154	57	199199	wide
SUPER_Z	7531110	7729800	IR	373	.	7630480	0.373	0.383	56	198912	7531110	7630404	7630557	7729800	44580442	7500000	7750000	56	2174	99243	153	immediate
SUPER_Z	32150700	32152820	IR	366	.	32151760	0.366	0.938	28	2180	32150700	32150888	32152632	32152827	44580442	32000000	32250000	28	2529	188	1744	immediate
SUPER_Z	42528860	42531178	IR	361	.	42530023	0.361	0.949	39	2395	42528860	42529190	42530856	42531178	44580442	42500000	42750000	39	500	322	1666	immediate
SUPER_Z	24290701	24439587	IR	360	.	24365510	0.360	0.985	59	148860	24290701	24291173	24439116	24439587	44580442	24200000	24450000	0	2752	471	147943	wide
SUPER_Z	3650877	3845835	IR	358	.	3748658	0.358	0.964	46	194938	3650877	3651350	3845366	3845835	44580442	3600000	3850000	0	2472	469	194016	wide
SUPER_Z	8018362	8018422	IR	357	.	8018198	0.357	0.887	28	74740	8018362	8018409	8018375	8018428	44580442	7850000	8100000	622	2806	47	-34	overlap
SUPER_Z	1638993	1639065	IR	355	.	1638994	0.355	0.980	26	21178	1638993	1639044	1639015	1639065	44580442	1400000	1650000	546	3983	50	-29	overlap
SUPER_Z	30439309	30441763	IR	353	.	30440536	0.353	0.963	67	2490	30439309	30439765	30441316	30441763	44580442	30200000	30450000	67	4008	447	1551	immediate
SUPER_Z	2224413	2356590	IR	352	.	2290621	0.352	0.938	69	132251	2224413	2225157	2355846	2356597	44580442	2150000	2400000	69	2341	744	130689	wide
SUPER_Z	28770255	28773540	IR	352	.	28771897	0.352	0.830	42	3524	28770255	28771415	28772380	28773587	44580442	28700000	28950000	42	1198	1160	965	immediate
SUPER_Z	15607049	15832562	IR	352	.	15719880	0.352	0.953	27	225513	15607049	15607261	15832350	15832563	44580442	15600000	15850000	27	1996	212	225089	wide
SUPER_Z	13008809	13036316	IR	351	.	13022987	0.351	0.977	53	27488	13008809	13009290	13035838	13036316	44580442	12800000	13050000	0	3709	478	26548	spaced
SUPER_Z	24186238	24226827	IR	351	.	24206261	0.351	0.886	31	40569	24186238	24186807	24226261	24226827	44580442	24100000	24350000	0	1775	566	39454	spaced
SUPER_Z	31347334	31493686	IR	350	.	31420655	0.350	0.705	34	146301	31347334	31347377	31493643	31493704	44580442	31250000	31500000	381	2841	43	146266	wide
SUPER_Z	19905827	19930194	IR	349	.	19917573	0.349	0.892	35	24342	19905827	19906178	19929864	19930194	44580442	19700000	19950000	0	3633	330	23686	spaced
SUPER_Z	34454719	34573134	IR	347	.	34513931	0.347	0.965	198	119001	34454719	34456312	34571541	34573150	44580442	34450000	34700000	198	1065	1593	115229	wide
SUPER_Z	40747104	40801024	IR	347	.	40774067	0.347	0.961	43	53927	40747104	40747542	40800586	40801025	44580442	40600000	40850000	43	2900	438	53044	spaced
SUPER_Z	11721211	11883412	IR	346	.	11801889	0.346	0.906	40	162182	11721211	11722008	11882622	11883412	44580442	11650000	11900000	0	2538	790	160614	wide
SUPER_Z	3897244	4009672	IR	346	.	3953969	0.346	0.403	28	112492	3897244	3907181	3999735	4009757	44580442	3850000	4100000	0	1724	9937	92554	spaced
SUPER_Z	461743	559468	IR	346	.	510826	0.346	0.809	23	97734	461743	462199	559012	559484	44580442	400000	650000	23	1843	456	96813	spaced
SUPER_Z	8056322	8058648	IR	345	.	8057485	0.345	0.959	30	2410	8056322	8056611	8058359	8058649	44580442	7900000	8150000	30	2624	289	1748	immediate
SUPER_Z	36303048	36357564	IR	345	.	36330180	0.345	0.817	20	54503	36303048	36303528	36357085	36357564	44580442	36250000	36500000	20	1338	479	53557	spaced
SUPER_Z	18851862	18895670	IR	344	.	18873336	0.344	0.872	36	43783	18851862	18852902	18894639	18895670	44580442	18650000	18900000	0	3729	1031	41737	spaced
SUPER_Z	23743345	23745708	IR	343	.	23744528	0.343	0.998	103	2444	23743345	23743824	23745229	23745708	44580442	23500000	23750000	103	4075	479	1405	immediate
SUPER_Z	35195925	35397684	IR	343	.	35297258	0.343	0.988	24	201740	35195925	35196096	35397513	35397684	44580442	35150000	35400000	0	2446	171	201417	wide
SUPER_Z	36738612	36740864	IR	343	.	36739738	0.343	0.957	24	2376	36738612	36738795	36740681	36740868	44580442	36500000	36750000	24	3995	183	1886	immediate
SUPER_Z	935377	1021091	IR	343	.	978329	0.343	0.395	20	85813	935377	943091	1013377	1021193	44580442	850000	1100000	20	2137	7714	70286	spaced
SUPER_Z	9002005	9118756	IR	342	.	9060233	0.342	1.000	33	116742	9002005	9002050	9118711	9118756	44580442	8900000	9150000	362	2672	45	116661	wide
SUPER_Z	20171656	20233376	IR	342	.	20202869	0.342	0.778	32	61674	20171656	20171712	20233320	20233392	44580442	20000000	20250000	0	3375	56	61608	spaced
SUPER_Z	2387820	2557305	IR	342	.	2472768	0.342	0.661	29	169440	2387820	2387859	2557266	2557325	44580442	2350000	2600000	203	2042	39	169407	wide
SUPER_Z	28662103	28748636	IR	341	.	28704983	0.341	1.000	292	86512	28662103	28663672	28747067	28748636	44580442	28500000	28750000	0	3422	1569	83395	spaced
SUPER_Z	12173369	12243731	IR	341	.	12208608	0.341	0.942	123	70791	12173369	12174618	12242485	12243731	44580442	12000000	12250000	123	3475	1246	67867	spaced
SUPER_Z	20012313	20135575	IR	341	.	20073944	0.341	0.390	73	123361	20012313	20073837	20074051	20135644	44580442	20000000	20250000	73	1232	61524	214	immediate
SUPER_Z	5395262	5453643	IR	341	.	5424240	0.341	0.871	24	58659	5395262	5395656	5453260	5453643	44580442	5300000	5550000	24	2074	383	57604	spaced
SUPER_Z	27980711	28142120	IR	341	.	28060975	0.341	0.917	22	161396	27980711	27980921	28141910	28142128	44580442	27900000	28150000	0	2690	210	160989	wide
SUPER_Z	9846927	9968150	IR	341	.	9907048	0.341	0.979	20	121199	9846927	9847119	9967958	9968150	44580442	9800000	10050000	0	1792	192	120839	wide
SUPER_Z	23949810	23961159	IR	341	.	23955712	0.341	0.976	20	11343	23949810	23950015	23960954	23961159	44580442	23900000	24150000	20	924	205	10939	spaced
SUPER_Z	33947367	34133497	IR	341	.	34040363	0.341	0.903	20	186149	33947367	33947561	34133303	34133510	44580442	33900000	34150000	20	2340	194	185742	wide
SUPER_Z	40458067	40548249	IR	340	.	40502817	0.340	0.972	114	90159	40458067	40459069	40547248	40548249	44580442	40300000	40550000	0	3385	1001	88179	spaced
SUPER_Z	31055001	31247096	IR	340	.	31151050	0.340	0.860	34	192159	31055001	31055651	31246446	31247150	44580442	31000000	31250000	34	2517	650	190795	wide
SUPER_Z	14362524	14401621	IR	340	.	14382514	0.340	0.895	22	38946	14362524	14362885	14401278	14401621	44580442	14200000	14450000	0	3034	343	38393	spaced
SUPER_Z	27477881	27551711	IR	339	.	27514701	0.339	0.911	44	74002	27477881	27478685	27550907	27551715	44580442	27350000	27600000	44	2746	804	72222	spaced
SUPER_Z	36223338	36233231	IR	339	.	36228499	0.339	0.932	36	9926	36223338	36223566	36233003	36233234	44580442	36000000	36250000	36	3804	228	9437	spaced
SUPER_Z	33096120	33105045	IR	339	.	33101009	0.339	0.922	34	8901	33096120	33096615	33104554	33105045	44580442	33050000	33300000	0	842	491	7939	spaced
SUPER_Z	38889690	39016738	IR	339	.	38952870	0.339	0.649	29	127000	38889690	38889764	39016690	39016738	44580442	38800000	39050000	0	2553	48	126926	wide
SUPER_Z	41935524	41935596	IR	339	.	41935552	0.339	0.902	27	103646	41935524	41935575	41935550	41935596	44580442	41800000	42050000	515	2259	46	-25	overlap
SUPER_Z	42552797	42657555	IR	338	.	42605526	0.338	0.969	121	104756	42552797	42553544	42656808	42657574	44580442	42450000	42700000	0	2586	747	103264	wide
SUPER_Z	42794817	42861204	IR	338	.	42827959	0.338	1.000	41	66409	42794817	42794997	42861024	42861204	44580442	42750000	43000000	41	1300	180	66027	spaced
SUPER_Z	20535542	20673696	IR	338	.	20604714	0.338	0.590	38	138125	20535542	20535609	20673657	20673696	44580442	20500000	20750000	504	1743	39	138048	wide
SUPER_Z	30897220	30919644	IR	337	.	30908174	0.337	0.892	67	22405	30897220	30898476	30918437	30919644	44580442	30750000	31000000	0	2640	1207	19961	spaced
SUPER_Z	16514878	16697590	IR	337	.	16605829	0.337	0.973	56	182692	16514878	16515364	16697104	16697590	44580442	16450000	16700000	0	2603	486	181740	wide
SUPER_Z	37799857	37972638	IR	337	.	37886378	0.337	0.962	49	172921	37799857	37800202	37972294	37972638	44580442	37750000	38000000	49	2270	344	172092	wide
SUPER_Z	12351287	12588261	IR	337	.	12469435	0.337	0.980	33	236949	12351287	12351589	12587961	12588261	44580442	12350000	12600000	0	1996	300	236372	wide
SUPER_Z	14107380	14114945	IR	337	.	14111027	0.337	0.904	27	7924	14107380	14107771	14114554	14114949	44580442	14000000	14250000	27	1852	391	6783	spaced
SUPER_Z	23865433	23920086	IR	337	.	23892270	0.337	0.859	23	54627	23865433	23865984	23919553	23920086	44580442	23700000	23950000	0	3212	533	53569	spaced
SUPER_Z	40810105	40887966	IR	337	.	40849465	0.337	0.943	21	77788	40810105	40810366	40887705	40887966	44580442	40700000	40950000	0	2483	261	77339	spaced
SUPER_Z	3004080	3112092	IR	337	.	3058108	0.337	0.930	20	108158	3004080	3004366	3111806	3112092	44580442	2900000	3150000	20	2634	286	107440	wide
SUPER_Z	13774052	13918343	IR	336	.	13846214	0.336	0.901	65	144374	13774052	13774989	13917409	13918343	44580442	13700000	13950000	65	2436	934	142420	wide
SUPER_Z	35132640	35143088	IR	336	.	35137736	0.336	0.811	59	10475	35132640	35132700	35143028	35143102	44580442	35000000	35250000	1472	2297	60	10328	spaced
SUPER_Z	9315651	9457001	IR	336	.	9386100	0.336	0.797	40	141299	9315651	9315698	9456954	9457013	44580442	9300000	9550000	669	1438	47	141256	wide
SUPER_Z	1990165	2064637	IR	336	.	2027809	0.336	0.967	38	74455	1990165	1990588	2064214	2064639	44580442	1850000	2100000	0	2956	423	73626	spaced
SUPER_Z	43202352	43232274	IR	336	.	43217467	0.336	0.948	29	30027	43202352	43202581	43232047	43232274	44580442	43000000	43250000	29	3621	227	29466	spaced
SUPER_Z	13365590	13439475	IR	336	.	13402489	0.336	0.981	25	73872	13365590	13365752	13439313	13439475	44580442	13200000	13450000	25	3375	162	73561	spaced
SUPER_Z	32880702	33034122	IR	335	.	32956986	0.335	0.981	59	153403	32880702	32881176	33033648	33034122	44580442	32800000	33050000	0	2623	474	152472	wide
SUPER_Z	16373092	16417711	IR	335	.	16395789	0.335	0.565	31	44573	16373092	16373174	16417665	16417711	44580442	16200000	16450000	0	3256	46	44491	spaced
SUPER_Z	32719605	32765146	IR	335	.	32742022	0.335	0.943	28	45530	32719605	32719930	32764821	32765153	44580442	32600000	32850000	0	2372	325	44891	spaced
SUPER_Z	21193194	21290377	IR	335	.	21242225	0.335	0.888	25	97179	21193194	21194176	21289395	21290399	44580442	21050000	21300000	0	3196	982	95219	spaced
SUPER_Z	2640526	2649847	IR	335	.	2645595	0.335	0.976	22	9303	2640526	2640652	2649722	2649847	44580442	2550000	2800000	0	1586	125	9070	spaced
SUPER_Z	42253887	42465062	IR	334	.	42359692	0.334	0.956	78	211318	42253887	42254562	42464390	42465062	44580442	42250000	42500000	78	1824	672	209828	wide
SUPER_Z	23050122	23148863	IR	334	.	23099338	0.334	0.961	45	98807	23050122	23050529	23148456	23148868	44580442	22900000	23150000	45	3324	407	97927	spaced
SUPER_Z	17627280	17794668	IR	334	.	17711380	0.334	0.792	35	167423	17627280	17627553	17794395	17794725	44580442	17600000	17850000	0	1849	273	166842	wide
SUPER_Z	7329160	7397920	IR	334	.	7363132	0.334	0.781	23	68710	7329160	7329224	7397870	7397920	44580442	7150000	7400000	0	3558	50	68646	spaced
SUPER_Z	14158380	14162221	IR	333	.	14160285	0.333	0.999	217	4080	14158380	14159351	14161250	14162221	44580442	13950000	14200000	217	3504	971	1899	immediate
SUPER_Z	29979573	29983494	IR	333	.	29981547	0.333	0.905	92	4191	29979573	29980836	29982276	29983494	44580442	29800000	30050000	92	3025	1218	1440	immediate
SUPER_Z	7177096	7226461	IR	333	.	7202237	0.333	0.882	25	49381	7177096	7177501	7226056	7226495	44580442	7050000	7300000	0	2529	405	48555	spaced
SUPER_Z	37452586	37458898	IR	332	.	37455436	0.332	0.989	320	6282	37452586	37454483	37457013	37458898	44580442	37250000	37500000	0	3428	1885	2530	spaced
