#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	63975599	63977539	IR	923	.	63976569	0.923	0.997	150	2064	63975599	63976372	63976766	63977539	202313579	63750000	64000000	150	3776	773	394	immediate
SUPER_1	41253302	41286454	IR	588	.	41270360	0.588	0.771	85	32859	41253302	41269123	41270633	41286513	202313579	41250000	41500000	0	331	15821	1510	immediate
SUPER_1	111047976	111052270	IR	569	.	111050123	0.569	0.919	82	4625	111047976	111049527	111050719	111052274	202313579	110950000	111200000	82	1668	1551	1192	immediate
SUPER_1	102291869	102294963	IR	512	.	102293416	0.512	0.887	67	3430	102291869	102292771	102294062	102294963	202313579	102050000	102300000	67	4056	901	1291	immediate
SUPER_1	199263568	199266008	IR	429	.	199264788	0.429	0.974	50	2478	199263568	199263988	199265588	199266008	202313579	199050000	199300000	50	3579	420	1600	immediate
SUPER_1	125087016	125091030	IR	411	.	125089008	0.411	0.934	29	4028	125087016	125087260	125090788	125091030	202313579	124950000	125200000	29	2316	242	3528	spaced
SUPER_1	136867035	136986376	IR	389	.	136927227	0.389	0.783	35	119318	136867035	136867993	136985418	136986378	202313579	136850000	137100000	0	1278	958	117425	wide
SUPER_1	154506252	154543688	IR	381	.	154525083	0.381	0.934	106	37629	154506252	154507156	154542797	154543688	202313579	154300000	154550000	106	3749	891	35641	spaced
SUPER_1	103705925	103708667	IR	381	.	103707292	0.381	0.904	89	2956	103705925	103706392	103708200	103708710	202313579	103550000	103800000	89	2621	467	1808	immediate
SUPER_1	54461	76724	IR	379	.	65384	0.379	0.993	30	22299	54461	54613	76572	76724	202313579	0	250000	30	1093	152	21959	spaced
SUPER_1	109237219	109245799	IR	368	.	109241503	0.368	0.781	23	12771	109237219	109239518	109243500	109245830	202313579	109100000	109350000	23	2358	2299	3982	spaced
SUPER_1	56576902	56588338	IR	359	.	56582483	0.359	0.803	56	11756	56576902	56577533	56587799	56588338	202313579	56400000	56650000	56	3043	539	10266	spaced
SUPER_1	92561301	92722791	IR	357	.	92642006	0.357	0.409	32	161948	92561301	92628773	92655319	92722867	202313579	92500000	92750000	32	2367	67472	26546	spaced
SUPER_1	94190029	94358160	IR	354	.	94273640	0.354	0.351	36	170817	94190029	94192899	94355290	94358857	202313579	94150000	94400000	36	2064	2870	162391	wide
SUPER_1	109612501	109687990	IR	353	.	109650432	0.353	0.919	83	75486	109612501	109612724	109687781	109687990	202313579	109450000	109700000	960	3337	209	75057	spaced
SUPER_1	17470490	17592088	IR	352	.	17531784	0.352	0.853	61	121580	17470490	17474944	17587676	17592088	202313579	17400000	17650000	0	2188	4412	112732	wide
SUPER_1	104076049	104148152	IR	352	.	104111858	0.352	0.891	58	74121	104076049	104076662	104147539	104148164	202313579	103950000	104200000	27	2701	613	70877	spaced
SUPER_1	123952191	124005229	IR	352	.	123978657	0.352	0.719	30	53555	123952191	123954058	124003362	124005275	202313579	123950000	124200000	30	478	1867	49304	spaced
SUPER_1	138241655	138448452	IR	350	.	138345163	0.350	0.812	26	206745	138241655	138241719	138448400	138448452	202313579	138200000	138450000	264	2417	52	206681	wide
SUPER_1	25644340	25689542	IR	350	.	25667332	0.350	0.822	23	45143	25644340	25644400	25689482	25689555	202313579	25450000	25700000	0	3615	60	45082	spaced
SUPER_1	99209037	99357061	IR	349	.	99282778	0.349	0.712	46	148104	99209037	99209313	99356785	99357164	202313579	99200000	99450000	0	1384	276	147472	wide
SUPER_1	95913700	96025606	IR	348	.	95969788	0.348	0.870	58	112560	95913700	95915814	96023514	96025606	202313579	95800000	96050000	58	2827	2092	107700	wide
SUPER_1	58555965	58736496	IR	348	.	58646385	0.348	0.958	22	180521	58555965	58556013	58736450	58736496	202313579	58550000	58800000	179	1603	46	180437	wide
SUPER_1	92906007	93005883	IR	347	.	92955953	0.347	0.818	29	100006	92906007	92909175	93002774	93005883	202313579	92900000	93150000	29	932	3109	93599	spaced
SUPER_1	94872529	95058093	IR	345	.	94965047	0.345	0.889	41	185554	94872529	94873441	95057181	95058100	202313579	94850000	95100000	0	1921	912	183740	wide
SUPER_1	54799721	54860191	IR	345	.	54829550	0.345	0.756	29	60440	54799721	54799783	54860129	54860211	202313579	54650000	54900000	0	2999	62	60346	spaced
SUPER_1	176157458	176348493	IR	345	.	176253341	0.345	0.390	26	190976	176157458	176235208	176270778	176348493	202313579	176150000	176400000	0	1716	77715	35570	spaced
SUPER_1	97304708	97321860	IR	345	.	97313052	0.345	0.927	21	17153	97304708	97304886	97321682	97321860	202313579	97150000	97400000	21	2721	178	16796	spaced
SUPER_1	18300820	18316086	IR	343	.	18308826	0.343	0.852	98	15255	18300820	18301742	18315164	18316183	202313579	18100000	18350000	0	3474	922	13422	spaced
SUPER_1	97850066	97880781	IR	343	.	97865380	0.343	0.896	93	30790	97850066	97850699	97880162	97880781	202313579	97650000	97900000	569	3590	619	29463	spaced
SUPER_1	106042047	106175411	IR	343	.	106109067	0.343	0.852	61	133361	106042047	106044216	106173242	106175431	202313579	105950000	106200000	0	2645	2169	129026	wide
SUPER_1	96697112	96744667	IR	343	.	96720665	0.343	0.853	52	47571	96697112	96700349	96741430	96744670	202313579	96500000	96750000	33	3681	3237	41081	spaced
SUPER_1	98868614	98943457	IR	343	.	98905579	0.343	0.828	36	74813	98868614	98872285	98939837	98943457	202313579	98750000	99000000	0	2600	3620	67552	spaced
SUPER_1	92370591	92442938	IR	343	.	92407020	0.343	0.803	24	72354	92370591	92373369	92440160	92442971	202313579	92250000	92500000	0	2612	2778	66791	spaced
SUPER_1	165165521	165250198	IR	342	.	165207987	0.342	0.899	85	85982	165165521	165167212	165248507	165250201	202313579	165100000	165350000	85	1797	1691	81295	spaced
SUPER_1	118988659	119153973	IR	342	.	119071560	0.342	0.394	36	165296	118988659	119059618	119083032	119153973	202313579	118950000	119200000	0	2021	70941	23414	spaced
SUPER_1	38800294	39014748	IR	342	.	38907056	0.342	0.906	34	214225	38800294	38801508	39013534	39014757	202313579	38800000	39050000	0	1791	1214	212026	wide
SUPER_1	174260114	174317697	IR	342	.	174288444	0.342	0.000	23	57565	174260114	174260216	174317679	174317697	202313579	174100000	174350000	0	3148	18	57463	spaced
SUPER_1	34989913	35064912	IR	341	.	35027451	0.341	0.836	45	75092	34989913	34990083	35064767	35064912	202313579	34900000	35150000	310	2123	145	74684	spaced
SUPER_1	54473848	54503373	IR	341	.	54488098	0.341	0.610	37	29477	54473848	54473953	54503268	54503431	202313579	54300000	54550000	0	3143	105	29315	spaced
SUPER_1	92144401	92222481	IR	341	.	92183683	0.341	0.915	34	78055	92144401	92145322	92221564	92222481	202313579	92100000	92350000	0	1390	917	76242	spaced
SUPER_1	119759753	119834771	IR	340	.	119796961	0.340	0.859	22	74890	119759753	119760881	119833654	119834771	202313579	119650000	119900000	0	2454	1117	72773	spaced
SUPER_1	15606682	15717317	IR	340	.	15661988	0.340	0.012	21	110737	15606682	15606723	15717276	15717394	202313579	15600000	15850000	122	1033	41	110553	wide
SUPER_1	178257949	178261933	IR	339	.	178259941	0.339	0.884	72	4232	178257949	178258953	178260929	178261941	202313579	178050000	178300000	72	3498	1004	1976	immediate
SUPER_1	134802661	134875121	IR	339	.	134838618	0.339	0.877	43	72428	134802661	134802791	134875007	134875121	202313579	134650000	134900000	0	3148	114	72216	spaced
SUPER_1	63537487	63655388	IR	339	.	63596541	0.339	0.745	32	118168	63537487	63538021	63654854	63655450	202313579	63500000	63750000	32	1607	534	116833	wide
SUPER_1	15038098	15163996	IR	339	.	15101176	0.339	0.695	23	125851	15038098	15038139	15163955	15164014	202313579	14950000	15200000	152	2517	41	125816	wide
SUPER_1	136433844	136523590	IR	339	.	136478473	0.339	0.934	20	89731	136433844	136434052	136523382	136523593	202313579	136300000	136550000	20	2978	208	89330	spaced
SUPER_1	35385009	35429389	IR	338	.	35407187	0.338	0.828	281	44945	35385009	35390542	35423856	35429395	202313579	35300000	35550000	281	1786	5533	33314	spaced
SUPER_1	129551528	129788582	IR	338	.	129670286	0.338	0.966	69	239881	129551528	129551731	129788379	129788582	202313579	129550000	129800000	19	2000	203	236648	wide
SUPER_1	95653384	95818098	IR	338	.	95735255	0.338	0.834	40	164727	95653384	95656187	95815295	95818140	202313579	95600000	95850000	0	2262	2803	159108	wide
SUPER_1	115274149	115314015	IR	338	.	115293732	0.338	0.881	39	39782	115274149	115275388	115312796	115314015	202313579	115250000	115500000	0	734	1219	37408	spaced
SUPER_1	130662843	130877914	IR	338	.	130770315	0.338	0.829	29	215040	130662843	130662911	130877846	130877928	202313579	130650000	130900000	273	2006	68	214935	wide
