#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	16665004	16668938	IR	749	.	16666971	0.749	0.973	230	169801	16665004	16666386	16667556	16668938	77832907	16520785	16770785	230	2436	1382	1170	immediate
SUPER_1	7341400	7373330	IR	664	.	7357140	0.664	0.435	22	31946	7341400	7355035	7359695	7373359	77832907	7196218	7446218	24	2685	13635	4660	spaced
SUPER_1	45752136	45766365	IR	562	.	45759697	0.562	0.986	792	14210	45752136	45757523	45760980	45766365	77832907	45566318	45784940	0	3215	5385	3457	spaced
SUPER_1	67455236	67458501	IR	546	.	67456871	0.546	0.990	192	3433	67455236	67456230	67457512	67458501	77832907	67255673	67505673	192	3353	989	1282	immediate
SUPER_1	10722303	10724425	IR	533	.	10723364	0.533	1.000	84	2162	10722303	10722675	10724053	10724425	77832907	10492145	10742145	84	3853	372	1378	immediate
SUPER_1	73333993	73336377	IR	527	.	73335185	0.527	0.974	85	77549	73333993	73334597	73335773	73336377	77832907	73204892	73454892	85	2171	604	1176	immediate
SUPER_1	44882575	44884817	IR	513	.	44883696	0.513	0.986	63	2302	44882575	44882939	44884453	44884817	77832907	44716318	44966318	63	2789	364	1514	immediate
SUPER_1	36746187	36750303	IR	501	.	36748245	0.501	1.000	295	27379	36746187	36747411	36749079	36750303	77832907	36648422	36898422	295	1663	1224	1668	immediate
SUPER_1	32281373	32283748	IR	484	.	32282561	0.484	0.994	107	2460	32281373	32281900	32283222	32283748	77832907	32048422	32298422	107	3902	526	1322	immediate
SUPER_1	3418952	3420750	IR	479	.	3419851	0.479	0.977	75	2637	3418952	3419554	3420148	3420751	77832907	3338640	3588640	75	1353	602	594	immediate
SUPER_1	64259975	64261705	IR	478	.	64260841	0.478	0.913	50	2384	64259975	64260544	64261136	64261709	77832907	64155673	64405673	50	1752	569	592	immediate
SUPER_1	75457853	75460229	IR	469	.	75459042	0.469	0.975	74	2444	75457853	75458367	75459715	75460229	77832907	75243935	75493935	74	3584	514	1348	immediate
SUPER_1	56911357	56917316	IR	455	.	56914489	0.455	0.941	149	6633	56911357	56913277	56915404	56917316	77832907	56672131	56922131	149	4036	1912	2127	spaced
SUPER_1	53170514	53172869	IR	446	.	53171692	0.446	0.974	63	2375	53170514	53171011	53172372	53172873	77832907	52935803	53185803	63	3931	497	1361	immediate
SUPER_1	5344533	5346607	IR	433	.	5345570	0.433	0.996	42	2175	5344533	5344765	5346375	5346607	77832907	5238640	5488640	42	1782	232	1610	immediate
SUPER_1	34417256	34418375	IR	430	.	34417813	0.430	0.941	46	72908	34417256	34417706	34417930	34418375	77832907	34298422	34548422	46	1989	445	224	immediate
