#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	49127314	49171470	IR	910	.	49149428	0.910	0.439	450	45351	49127314	49149046	49149810	49171470	74671469	48955459	49205459	450	3232	21660	764	immediate
SUPER_1	44417775	44420581	IR	875	.	44419178	0.875	0.997	229	3104	44417775	44418880	44419476	44420581	74671469	44272651	44522651	229	2441	1105	596	immediate
SUPER_1	29251671	29254327	IR	866	.	29252999	0.866	0.986	164	3066	29251671	29252652	29253346	29254327	74671469	29150000	29400000	164	1716	981	694	immediate
SUPER_1	56837006	56839848	IR	865	.	56838427	0.865	0.989	178	3112	56837006	56838071	56838783	56839848	74671469	56633284	56883284	178	3418	1065	712	immediate
SUPER_1	50856172	50858966	IR	865	.	50857569	0.865	0.980	165	3100	50856172	50857253	50857885	50858970	74671469	50633284	50883284	165	3737	1081	632	immediate
SUPER_1	46908393	46911181	IR	863	.	46909787	0.863	0.987	169	96943	46908393	46909431	46910143	46911181	74671469	46805459	47055459	169	1738	1038	712	immediate
SUPER_1	46967152	46969918	IR	863	.	46968535	0.863	0.986	168	3104	46967152	46968179	46968891	46969918	74671469	46955459	47205459	168	217	1027	712	immediate
SUPER_1	46972253	46975019	IR	862	.	46973636	0.862	0.986	168	3104	46972253	46973280	46973992	46975019	74671469	46955459	47205459	168	302	1027	712	immediate
SUPER_1	45856162	45858890	IR	862	.	45857526	0.862	0.984	164	3114	45856162	45857175	45857877	45858890	74671469	45805459	46055459	164	867	1013	702	immediate
SUPER_1	49728051	49730975	IR	856	.	49729513	0.856	0.980	168	3105	49728051	49729157	49729869	49730976	74671469	49605459	49855459	168	2067	1106	712	immediate
SUPER_1	27750644	27753578	IR	851	.	27752111	0.851	0.976	154	3104	27750644	27751764	27752458	27753578	74671469	27550000	27800000	154	3368	1120	694	immediate
SUPER_1	42843562	42846492	IR	819	.	42845027	0.819	0.985	162	3104	42843562	42844595	42845459	42846492	74671469	42622651	42872651	162	3706	1033	864	immediate
