#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	23187365	23198191	IR	993	.	23192778	0.993	1.000	1081	144844	23187365	23192161	23193395	23198191	27876768	23039897	23289897	1081	2547	4796	1234	immediate
SUPER_1	397678	405311	IR	786	.	401539	0.786	0.951	522	8343	397678	400931	402147	405311	27876768	200000	450000	522	3358	3164	1216	immediate
SUPER_1	12925915	12929919	IR	733	.	12927917	0.733	0.995	349	8481	12925915	12927551	12928283	12929919	27876768	12768264	13018264	349	2660	1636	732	immediate
SUPER_1	3807928	3809144	IR	675	.	3808536	0.675	0.984	84	2905	3807928	3808419	3808653	3809144	27876768	3592592	3842592	84	3598	491	234	immediate
SUPER_1	24514651	24517283	IR	661	.	24516273	0.661	0.943	86	2622	24514651	24515437	24516497	24517305	27876768	24289897	24539897	0	3767	786	1060	immediate
SUPER_1	23727389	23730426	IR	648	.	23728908	0.648	0.885	59	3098	23727389	23728636	23729179	23730465	27876768	23489897	23739897	59	3983	1247	543	immediate
SUPER_1	15749490	15751281	IR	647	.	15750396	0.647	0.947	105	82554	15749490	15750243	15750549	15751281	27876768	15589897	15839897	105	2674	732	306	immediate
SUPER_1	20081739	20083481	IR	640	.	20082610	0.640	0.990	133	2766	20081739	20082525	20082695	20083481	27876768	19839897	20089897	133	4045	786	170	immediate
SUPER_1	14482492	14484477	IR	585	.	14483485	0.585	0.974	83	2169	14482492	14483078	14483893	14484477	27876768	14279828	14529828	83	3394	584	815	immediate
SUPER_1	15318482	15320910	IR	524	.	15319698	0.524	0.910	88	120082	15318482	15319271	15320121	15320956	27876768	15129828	15379828	88	3164	789	850	immediate
SUPER_1	1195408	1209534	IR	521	.	1202592	0.521	0.929	508	14646	1195408	1199195	1205747	1209535	27876768	1000000	1242492	508	3374	3787	6552	spaced
SUPER_1	25444613	25447230	IR	519	.	25445922	0.519	0.961	138	184808	25444613	25445703	25446140	25447236	27876768	25339897	25589897	138	1766	1090	437	immediate
SUPER_1	27781303	27784423	IR	480	.	27782566	0.480	0.955	135	3095	27781303	27782714	27783012	27784439	27876768	27539897	27789897	0	4049	1411	298	immediate
SUPER_1	8800077	8896978	IR	456	.	8848773	0.456	0.924	53	96879	8800077	8800887	8896176	8896978	27876768	8692592	8942592	0	2598	802	95289	spaced
SUPER_1	1784673	1968555	IR	432	.	1876524	0.432	0.992	90	184000	1784673	1785151	1968077	1968555	27876768	1742592	1992592	90	2233	478	182926	wide
SUPER_1	6064352	6066492	IR	427	.	6065422	0.427	0.967	60	15989	6064352	6064741	6066103	6066495	27876768	5892592	6142592	60	2880	389	1362	immediate
SUPER_1	5376130	5553052	IR	411	.	5464172	0.411	0.993	327	176897	5376130	5378305	5550877	5553052	27876768	5342592	5592592	0	2033	2175	172572	wide
SUPER_1	415704	539066	IR	403	.	477861	0.403	0.955	130	123345	415704	417102	537668	539069	27876768	400000	650000	0	1289	1398	120566	wide
SUPER_1	17915241	18008134	IR	402	.	17961465	0.402	0.987	274	94079	17915241	17916593	18006783	18008134	27876768	17789897	18039897	230	2863	1351	90190	spaced
SUPER_1	16896802	17023823	IR	401	.	16960439	0.401	0.949	43	127154	16896802	16897230	17023395	17023825	27876768	16789897	17039897	43	2840	428	126165	wide
SUPER_1	20982512	20985572	IR	384	.	20984262	0.384	0.913	29	3268	20982512	20982868	20985220	20985572	27876768	20739897	20989897	25	4068	352	2352	spaced
SUPER_1	25788601	25843319	IR	383	.	25816408	0.383	0.889	107	54674	25788601	25790655	25841284	25843319	27876768	25639897	25889897	0	2934	2035	50629	spaced
SUPER_1	8461020	8525807	IR	374	.	8493211	0.374	0.970	62	107037	8461020	8461550	8525278	8525807	27876768	8392592	8642592	62	1680	529	63728	spaced
SUPER_1	19140064	19333947	IR	369	.	19237261	0.369	0.964	61	193860	19140064	19140754	19333257	19333948	27876768	19089897	19339897	0	2451	690	192503	wide
SUPER_1	715073	828081	IR	362	.	771098	0.362	0.393	39	112942	715073	752000	791154	828119	27876768	600000	850000	0	2859	36927	39154	spaced
SUPER_1	21125362	21129501	IR	361	.	21127431	0.361	0.998	352	4424	21125362	21127069	21127794	21129502	27876768	20889897	21139897	360	3958	1707	725	immediate
SUPER_1	5675417	5688277	IR	360	.	5681848	0.360	1.000	1225	14167	5675417	5681005	5682690	5688277	27876768	5442592	5692592	1225	3987	5587	1685	immediate
SUPER_1	27492031	27525823	IR	359	.	27509424	0.359	0.944	101	33784	27492031	27493134	27524720	27525836	27876768	27289897	27539897	0	3650	1103	31586	spaced
SUPER_1	23810611	23814133	IR	356	.	23812348	0.356	0.944	121	3673	23810611	23811457	23813287	23814156	27876768	23639897	23889897	152	2874	846	1830	immediate
SUPER_1	20564184	20694036	IR	354	.	20628624	0.354	0.927	71	129830	20564184	20565151	20693099	20694036	27876768	20489897	20739897	0	2320	937	127948	wide
SUPER_1	27375481	27390195	IR	351	.	27383126	0.351	0.920	39	14695	27375481	27376116	27389562	27390195	27876768	27189897	27439897	0	3215	633	13446	spaced
SUPER_1	22000379	22004246	IR	349	.	22002637	0.349	0.999	135	3834	22000379	22001150	22003475	22004246	27876768	21789897	22039897	0	3540	771	2325	spaced
SUPER_1	21373599	21452189	IR	349	.	21413019	0.349	0.979	90	78721	21373599	21374207	21451581	21452189	27876768	21339897	21589897	90	1216	608	77374	spaced
SUPER_1	7305976	7525242	IR	348	.	7415180	0.348	0.381	123	111503	7305976	7414445	7416773	7525275	27876768	7292592	7542592	0	2050	108469	2328	spaced
SUPER_1	12817121	12856237	IR	348	.	12836400	0.348	0.969	63	39095	12817121	12817694	12855664	12856237	27876768	12718264	12968264	0	1973	573	37970	spaced
SUPER_1	10551241	10702472	IR	347	.	10627008	0.347	0.869	46	151251	10551241	10551642	10702092	10702472	27876768	10492592	10742592	46	2237	380	150450	wide
SUPER_1	3885506	4060236	IR	345	.	3972848	0.345	0.915	37	174736	3885506	3885963	4059785	4060236	27876768	3842592	4092592	39	2171	451	173822	wide
SUPER_1	5733970	5866053	IR	344	.	5800018	0.344	0.385	60	132293	5733970	5799613	5800410	5866085	27876768	5642592	5892592	60	2623	65643	797	immediate
SUPER_1	6589184	6755246	IR	344	.	6671736	0.344	0.383	29	166045	6589184	6637920	6706510	6755286	27876768	6542592	6792592	0	2160	48736	68590	spaced
SUPER_1	26771040	26929567	IR	343	.	26850438	0.343	0.971	107	158761	26771040	26771761	26928846	26929570	27876768	26739897	26989897	107	1839	721	157085	wide
SUPER_1	13818294	13818366	IR	343	.	13818345	0.343	0.904	28	178149	13818294	13818346	13818319	13818366	27876768	13679828	13929828	599	2308	47	-27	overlap
SUPER_1	22897929	23081320	IR	341	.	22990075	0.341	0.399	46	183427	22897929	22919482	23059767	23081375	27876768	22839897	23089897	0	2495	21553	140285	wide
SUPER_1	23247544	23399452	IR	339	.	23323819	0.339	0.392	182	151932	23247544	23298196	23348800	23399493	27876768	23189897	23439897	0	2226	50652	50604	spaced
SUPER_1	11281373	11285215	IR	338	.	11282979	0.338	0.988	126	3786	11281373	11282175	11284413	11285219	27876768	11042592	11292592	0	4011	802	2238	spaced
SUPER_1	23777709	23783235	IR	337	.	23780901	0.337	0.997	124	5508	23777709	23778441	23782503	23783235	27876768	23539897	23789897	0	4009	732	4062	spaced
SUPER_1	12228823	12299736	IR	337	.	12264020	0.337	0.944	69	70897	12228823	12229725	12298834	12299740	27876768	12218264	12468264	0	766	902	69109	spaced
SUPER_1	15465491	15468575	IR	337	.	15467061	0.337	0.951	61	3109	15465491	15465981	15468085	15468578	27876768	15229828	15479828	61	3953	490	2104	spaced
SUPER_1	23413772	23441443	IR	337	.	23427121	0.337	0.706	27	27623	23413772	23413820	23441395	23441463	27876768	23239897	23489897	0	3128	48	27575	spaced
SUPER_1	975644	1038726	IR	337	.	1007298	0.337	0.948	25	63080	975644	975873	1038497	1038728	27876768	850000	1100000	25	2619	229	62624	spaced
SUPER_1	21731795	21735681	IR	336	.	21733304	0.336	0.994	127	3854	21731795	21732565	21734911	21735682	27876768	21489897	21739897	0	4063	770	2346	spaced
SUPER_1	6154821	6171578	IR	336	.	6162972	0.336	0.979	52	16881	6154821	6155198	6171201	6171578	27876768	5942592	6192592	52	3676	377	16003	spaced
SUPER_1	24856907	24882469	IR	336	.	24869463	0.336	0.875	45	25776	24856907	24857727	24881651	24882469	27876768	24639897	24889897	45	3829	818	23924	spaced
SUPER_1	10839991	10906113	IR	335	.	10873356	0.335	0.922	31	66100	10839991	10840476	10905643	10906113	27876768	10742592	10992592	0	2174	470	65167	spaced
SUPER_1	15146322	15222441	IR	335	.	15184042	0.335	0.496	31	76200	15146322	15149176	15219587	15222546	27876768	14979828	15229828	0	3409	2854	70411	spaced
SUPER_1	5274184	5353230	IR	334	.	5313710	0.334	0.978	71	122096	5274184	5274689	5352725	5353230	27876768	5192592	5442592	71	2018	505	78036	spaced
SUPER_1	25968415	26086452	IR	334	.	26027730	0.334	0.400	65	118020	25968415	25985535	26069365	26086452	27876768	25839897	26089897	0	3125	17087	83830	spaced
SUPER_1	6351767	6585001	IR	334	.	6468827	0.334	0.981	52	233211	6351767	6352240	6584528	6585001	27876768	6342592	6592592	0	2096	473	232288	wide
SUPER_1	10989358	11021024	IR	334	.	11005071	0.334	0.834	40	31725	10989358	10990281	11020101	11021070	27876768	10792592	11042592	40	3543	923	29820	spaced
SUPER_1	13826962	13830834	IR	333	.	13829329	0.333	0.994	124	3839	13826962	13827733	13830064	13830834	27876768	13629828	13879828	0	3317	770	2331	spaced
SUPER_1	6868081	6970263	IR	333	.	6919593	0.333	0.969	30	102136	6868081	6868470	6969874	6970263	27876768	6742592	6992592	0	2942	389	101404	wide
SUPER_1	4772754	4863322	IR	332	.	4817615	0.332	0.879	68	90550	4772754	4774226	4861850	4863322	27876768	4692592	4942592	0	2090	1472	87624	spaced
SUPER_1	5188087	5205135	IR	332	.	5196480	0.332	0.437	51	17406	5188087	5193871	5199436	5205135	27876768	4992592	5242592	51	3400	5699	5565	spaced
SUPER_1	4448913	4624746	IR	331	.	4536729	0.331	0.999	382	176218	4448913	4450607	4623052	4624746	27876768	4392592	4642592	382	2403	1694	172445	wide
SUPER_1	27588485	27701126	IR	331	.	27644606	0.331	0.865	135	112992	27588485	27590672	27698997	27701126	27876768	27539897	27789897	140	1748	2129	108325	wide
