#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	25211404	25218324	IR	993	.	25214864	0.993	0.999	683	80308	25211404	25214470	25215258	25218324	29806281	25050000	25300000	683	2747	3066	788	immediate
SUPER_1	26811161	26815279	IR	992	.	26813220	0.992	1.000	393	203937	26811161	26812962	26813478	26815279	29806281	26700000	26950000	394	1886	1801	516	immediate
SUPER_1	27078638	27082056	IR	992	.	27080347	0.992	1.000	335	3726	27078638	27080125	27080569	27082056	29806281	26850000	27100000	335	3838	1487	444	immediate
SUPER_1	14329800	14335260	IR	987	.	14332530	0.987	1.000	547	6018	14329800	14332185	14332875	14335260	29806281	14100000	14350000	547	3875	2385	690	immediate
SUPER_1	7098513	7102207	IR	984	.	7100360	0.984	0.999	355	4055	7098513	7100145	7100575	7102207	29806281	6900000	7150000	355	3339	1632	430	immediate
SUPER_1	5739988	5742877	IR	969	.	5741437	0.969	0.989	305	3285	5739988	5741394	5741471	5742886	29806281	5500000	5750000	378	4023	1406	77	immediate
SUPER_1	27295399	27299273	IR	953	.	27297336	0.953	1.000	362	203978	27295399	27297064	27297608	27299273	29806281	27150000	27400000	362	2455	1665	544	immediate
SUPER_1	22183904	22188834	IR	890	.	22186369	0.890	0.997	446	5445	22183904	22185955	22186784	22188834	29806281	21950000	22200000	446	3939	2050	829	immediate
SUPER_1	169887	172945	IR	838	.	171416	0.838	0.999	260	3333	169887	171031	171801	172945	29806281	0	250000	260	2856	1144	770	immediate
SUPER_1	13278514	13283452	IR	811	.	13280983	0.811	1.000	454	5374	13278514	13280445	13281521	13283452	29806281	13050000	13300000	454	3849	1931	1076	immediate
SUPER_1	12309805	12312341	IR	793	.	12311073	0.793	0.995	165	2747	12309805	12310670	12311476	12312341	29806281	12100000	12350000	165	3517	865	806	immediate
SUPER_1	19017526	19019760	IR	769	.	19018643	0.769	0.999	164	2399	19017526	19018209	19019077	19019760	29806281	18800000	19050000	164	3643	683	868	immediate
SUPER_1	5581444	5583393	IR	764	.	5582421	0.764	0.980	120	77830	5581444	5582136	5582701	5583398	29806281	5450000	5700000	120	2206	692	565	immediate
SUPER_1	5756270	5758038	IR	757	.	5757154	0.757	1.000	120	115470	5756270	5756797	5757511	5758038	29806281	5650000	5900000	120	1785	527	714	immediate
SUPER_1	28661657	28663193	IR	740	.	28662425	0.740	0.998	111	218827	28661657	28662174	28662676	28663193	29806281	28550000	28800000	111	1873	517	502	immediate
SUPER_1	18263536	18265322	IR	737	.	18264429	0.737	0.978	112	5595	18263536	18264261	18264597	18265323	29806281	18150000	18400000	112	1907	725	336	immediate
SUPER_1	13881172	13887470	IR	724	.	13884319	0.724	0.990	592	6910	13881172	13883858	13884798	13887470	29806281	13650000	13900000	596	3905	2672	940	immediate
SUPER_1	1059154	1061274	IR	724	.	1060214	0.724	1.000	129	153137	1059154	1059736	1060692	1061274	29806281	900000	1150000	129	2670	582	956	immediate
SUPER_1	21194598	21200940	IR	702	.	21197769	0.702	0.969	481	7004	21194598	21197372	21198166	21200992	29806281	21000000	21250000	481	3296	2774	794	immediate
SUPER_1	3785739	3794829	IR	675	.	3790284	0.675	1.000	829	9929	3785739	3789371	3791197	3794829	29806281	3550000	3800000	829	4004	3632	1826	immediate
SUPER_1	29272980	29324816	IR	652	.	29298898	0.652	0.399	132	100029	29272980	29298550	29299246	29324835	29806281	29200000	29450000	132	1648	25570	696	immediate
SUPER_1	25641744	25643028	IR	637	.	25642386	0.637	0.992	73	7776	25641744	25642108	25642664	25643028	29806281	25500000	25750000	73	2372	364	556	immediate
SUPER_1	12326086	12327886	IR	541	.	12326986	0.541	0.909	118	2037	12326086	12326707	12327265	12327930	29806281	12200000	12450000	132	2116	621	558	immediate
SUPER_1	2066774	2069292	IR	535	.	2068033	0.535	0.950	61	2652	2066774	2067372	2068694	2069292	29806281	1850000	2100000	61	3633	598	1322	immediate
SUPER_1	9319059	9321438	IR	506	.	9320253	0.506	0.959	101	2731	9319059	9319786	9320720	9321438	29806281	9200000	9450000	101	2004	718	934	immediate
SUPER_1	24805782	24807116	IR	505	.	24806447	0.505	0.937	55	58477	24805782	24806284	24806614	24807119	29806281	24650000	24900000	55	2607	502	330	immediate
SUPER_1	12809040	12813898	IR	481	.	12811469	0.481	0.970	383	5199	12809040	12810784	12812154	12813948	29806281	12800000	13050000	383	191	1744	1370	immediate
SUPER_1	10657899	10662474	IR	480	.	10660069	0.480	0.887	159	4917	10657899	10659765	10660608	10662490	29806281	10500000	10750000	159	2669	1866	843	immediate
SUPER_1	14938656	14942206	IR	473	.	14940431	0.473	0.999	190	3777	14938656	14939592	14941270	14942206	29806281	14700000	14950000	190	4007	936	1678	immediate
SUPER_1	13079446	13084158	IR	444	.	13081802	0.444	0.936	311	5052	13079446	13081321	13082283	13084178	29806281	12950000	13200000	311	2196	1875	962	immediate
SUPER_1	2446714	2447754	IR	442	.	2447234	0.442	1.000	45	155218	2446714	2446907	2447561	2447754	29806281	2300000	2550000	45	2453	193	654	immediate
SUPER_1	8944498	8946840	IR	442	.	8945669	0.442	0.863	22	2374	8944498	8945136	8946206	8946840	29806281	8800000	9050000	22	2427	634	1070	immediate
SUPER_1	10377801	10380903	IR	437	.	10379352	0.437	0.984	125	3280	10377801	10378505	10380199	10380903	29806281	10150000	10400000	125	3822	704	1694	immediate
SUPER_1	26679742	26679952	IR	429	.	26679847	0.429	0.625	69	149958	26679742	26679808	26679912	26679952	29806281	26600000	26850000	375	1330	40	104	immediate
SUPER_1	26496966	26499996	IR	423	.	26498911	0.423	0.936	53	3010	26496966	26497693	26499269	26499997	29806281	26250000	26500000	0	4141	727	1576	immediate
SUPER_1	10432822	10533032	IR	415	.	10482645	0.415	0.971	104	100190	10432822	10433787	10532067	10533033	29806281	10350000	10600000	0	2215	965	98280	spaced
SUPER_1	9568587	9570604	IR	413	.	9569596	0.413	0.971	22	2150	9568587	9568757	9570435	9570604	29806281	9350000	9600000	22	3659	169	1678	immediate
SUPER_1	14949272	14951406	IR	412	.	14950339	0.412	0.929	51	2255	14949272	14949773	14950905	14951407	29806281	14750000	15000000	51	3338	501	1132	immediate
SUPER_1	2663096	2665508	IR	401	.	2664543	0.401	0.989	48	2356	2663096	2663467	2665138	2665508	29806281	2500000	2750000	0	2738	370	1671	immediate
SUPER_1	3566797	3693962	IR	397	.	3630408	0.397	0.383	32	127180	3566797	3629895	3630921	3693962	29806281	3550000	3800000	32	1339	63041	1026	immediate
SUPER_1	28551305	28592258	IR	393	.	28571285	0.393	0.787	40	41003	28551305	28552156	28591407	28592329	29806281	28500000	28750000	0	1196	851	39251	spaced
SUPER_1	14686366	14688526	IR	393	.	14687447	0.393	0.947	33	2163	14686366	14686742	14688153	14688526	29806281	14600000	14850000	33	1457	373	1411	immediate
SUPER_1	14063635	14243838	IR	387	.	14153535	0.387	0.934	270	180571	14063635	14065390	14242083	14243924	29806281	14000000	14250000	270	2562	1755	176693	wide
SUPER_1	2922402	2924933	IR	385	.	2923679	0.385	0.849	48	2664	2922402	2923012	2924346	2924933	29806281	2700000	2950000	48	3727	587	1334	immediate
SUPER_1	529897	573019	IR	377	.	551721	0.377	0.765	29	43070	529897	529965	572967	573019	29806281	350000	600000	0	3357	52	43002	spaced
