#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	15941982	15945002	IR	987	.	15943492	0.987	1.000	293	3288	15941982	15943286	15943698	15945002	23405942	15700000	15950000	293	4058	1304	412	immediate
SUPER_1	12195590	12198578	IR	986	.	12197084	0.986	0.999	287	3288	12195590	12196878	12197290	12198578	23405942	11950000	12200000	287	4117	1288	412	immediate
SUPER_1	11031006	11036274	IR	975	.	11033640	0.975	0.997	505	5835	11031006	11033297	11033983	11036278	23405942	10950000	11200000	505	1393	2291	686	immediate
SUPER_1	14137047	14138767	IR	943	.	14137907	0.943	0.994	145	2015	14137047	14137736	14138078	14138767	23405942	13950000	14200000	145	3131	689	342	immediate
SUPER_1	11712137	11714505	IR	826	.	11713321	0.826	0.997	172	2514	11712137	11713018	11713624	11714505	23405942	11500000	11750000	172	3555	881	606	immediate
SUPER_1	20407504	20410031	IR	814	.	20408440	0.814	0.834	37	2574	20407504	20407962	20409573	20410103	23405942	20200000	20450000	0	3479	458	1611	immediate
SUPER_1	6938316	6940009	IR	789	.	6939163	0.789	0.990	117	81462	6938316	6939010	6939316	6940009	23405942	6800000	7050000	117	2319	693	306	immediate
SUPER_1	3487832	3489378	IR	771	.	3488605	0.771	1.000	109	68029	3487832	3488385	3488825	3489378	23405942	3400000	3650000	109	1476	553	440	immediate
SUPER_1	2006557	2008475	IR	770	.	2007591	0.770	0.985	109	2033	2006557	2007080	2007954	2008475	23405942	1800000	2050000	109	3458	521	874	immediate
SUPER_1	5132690	5134858	IR	760	.	5133774	0.760	0.994	128	2276	5132690	5133366	5134182	5134858	23405942	4900000	5150000	128	3896	676	816	immediate
SUPER_1	4434459	4436278	IR	755	.	4435369	0.755	0.996	147	2062	4434459	4435183	4435555	4436278	23405942	4200000	4450000	148	3922	723	372	immediate
SUPER_1	17125493	17128565	IR	736	.	17127139	0.736	0.984	46	3109	17125493	17125678	17128380	17128566	23405942	17000000	17250000	46	2117	185	2702	spaced
SUPER_1	7713942	7716214	IR	734	.	7715078	0.734	0.993	139	2372	7713942	7714624	7715532	7716214	23405942	7500000	7750000	139	3584	682	908	immediate
SUPER_1	19816082	19818661	IR	730	.	19817078	0.730	0.958	132	2555	19816082	19817289	19817455	19818661	23405942	19600000	19850000	0	3622	1206	166	immediate
SUPER_1	17193464	17195840	IR	708	.	17194652	0.708	0.997	144	2492	17193464	17194148	17195156	17195840	23405942	17000000	17250000	144	3244	684	1008	immediate
SUPER_1	15143078	15145078	IR	676	.	15144078	0.676	0.993	87	2101	15143078	15143514	15144642	15145078	23405942	15100000	15350000	87	734	436	1128	immediate
SUPER_1	2234180	2235443	IR	659	.	2234813	0.659	0.990	95	167050	2234180	2234690	2234936	2235443	23405942	2100000	2350000	95	2246	507	246	immediate
SUPER_1	8293951	8298116	IR	653	.	8296523	0.653	0.986	82	4144	8293951	8294587	8297480	8298116	23405942	8150000	8400000	0	2433	636	2893	spaced
SUPER_1	16194337	16261437	IR	651	.	16228257	0.651	0.394	89	67129	16194337	16226572	16229202	16261483	23405942	16100000	16350000	0	2131	32235	2630	spaced
SUPER_1	17450477	17452891	IR	641	.	17451684	0.641	0.989	117	2488	17450477	17451114	17452254	17452891	23405942	17250000	17500000	117	3361	637	1140	immediate
SUPER_1	9006666	9008630	IR	636	.	9007648	0.636	1.000	89	79366	9006666	9007080	9008216	9008630	23405942	8850000	9100000	89	2627	414	1136	immediate
SUPER_1	20004205	20005657	IR	624	.	20004931	0.624	0.990	117	66109	20004205	20004795	20005068	20005657	23405942	19850000	20100000	117	2582	589	273	immediate
