#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	19767672	19770906	IR	962	.	19769289	0.962	1.000	295	3553	19767672	19768932	19769646	19770906	45632310	19550000	19800000	295	3654	1260	714	immediate
SUPER_1	25915859	25917825	IR	934	.	25916842	0.934	0.999	171	2078	25915859	25916696	25916988	25917825	45632310	25700000	25950000	178	3613	837	292	immediate
SUPER_1	16135415	16137519	IR	848	.	16136467	0.848	0.954	144	2256	16135415	16136297	16136668	16137519	45632310	16000000	16250000	159	2274	851	371	immediate
SUPER_1	14675351	14677937	IR	835	.	14676643	0.835	0.989	196	2800	14675351	14676306	14676987	14677937	45632310	14450000	14700000	196	3777	950	681	immediate
SUPER_1	11022514	11024542	IR	807	.	11023528	0.807	0.987	153	2170	11022514	11023329	11023727	11024547	45632310	10800000	11050000	154	3725	815	398	immediate
SUPER_1	19662904	19674220	IR	798	.	19668995	0.798	0.922	167	11293	19662904	19664442	19672694	19674220	45632310	19450000	19700000	0	3642	1526	8252	spaced
SUPER_1	19810256	19812744	IR	798	.	19811500	0.798	0.956	84	2534	19810256	19811233	19811767	19812744	45632310	19700000	19950000	84	1858	977	534	immediate
SUPER_1	29187054	29197630	IR	757	.	29192718	0.757	0.940	404	10554	29187054	29191939	29192745	29197631	45632310	28950000	29200000	0	4038	4885	806	immediate
SUPER_1	20612023	20614417	IR	753	.	20613247	0.753	0.883	102	49148	20612023	20612764	20613711	20614417	45632310	20550000	20800000	111	1053	706	947	immediate
SUPER_1	6393134	6395367	IR	750	.	6394265	0.750	0.942	116	76228	6393134	6393822	6394679	6395396	45632310	6250000	6500000	133	2404	688	857	immediate
SUPER_1	36637579	36653945	IR	721	.	36645845	0.721	0.450	106	16788	36637579	36645420	36646104	36654062	45632310	36450000	36700000	106	3262	7841	684	immediate
SUPER_1	45603820	45621538	IR	718	.	45612755	0.718	0.998	53	8234	45603820	45604257	45621101	45621538	45632310	45400000	45632310	324	3544	437	16844	spaced
SUPER_1	11168972	11170920	IR	701	.	11169946	0.701	0.981	119	2040	11168972	11169722	11170170	11170921	45632310	11050000	11300000	119	1998	750	448	immediate
SUPER_1	14936126	14940094	IR	698	.	14938463	0.698	0.947	155	3951	14936126	14937774	14938459	14940094	45632310	14700000	14950000	0	3968	1635	685	immediate
SUPER_1	18895046	18897408	IR	687	.	18896227	0.687	0.837	75	2592	18895046	18895705	18896749	18897460	45632310	18700000	18950000	78	3270	659	1044	immediate
SUPER_1	19253110	19258593	IR	667	.	19255732	0.667	1.000	557	6046	19253110	19255515	19256188	19258593	45632310	19050000	19300000	557	3430	2405	673	immediate
SUPER_1	15169954	15172186	IR	662	.	15171069	0.662	0.951	96	2474	15169954	15170669	15171475	15172186	45632310	14950000	15200000	96	3684	711	806	immediate
SUPER_1	33788882	33793488	IR	661	.	33790685	0.661	0.959	36	4558	33788882	33789272	33793101	33793488	45632310	33550000	33800000	0	4019	387	3829	spaced
SUPER_1	43781376	43783936	IR	660	.	43782657	0.660	0.974	109	2751	43781376	43782072	43783242	43783936	45632310	43550000	43800000	109	3877	694	1170	immediate
SUPER_1	14409639	14411675	IR	643	.	14410657	0.643	0.946	129	2117	14409639	14410253	14411061	14411710	45632310	14300000	14550000	152	1844	614	808	immediate
SUPER_1	19872500	19978598	IR	634	.	19925253	0.634	0.384	62	106080	19872500	19925487	19925715	19978598	45632310	19850000	20100000	0	1259	52883	228	immediate
SUPER_1	3169774	3171999	IR	628	.	3170887	0.628	0.994	174	2444	3169774	3170572	3171201	3172000	45632310	2950000	3200000	175	3681	798	629	immediate
SUPER_1	22596052	22601650	IR	618	.	22598851	0.618	0.984	425	6282	22596052	22598531	22599171	22601652	45632310	22400000	22650000	425	3314	2479	640	immediate
SUPER_1	17444869	17448463	IR	618	.	17446439	0.618	0.901	123	3787	17444869	17446124	17447208	17448467	45632310	17250000	17500000	123	3277	1255	1084	immediate
SUPER_1	14006930	14018643	IR	617	.	14013008	0.617	0.953	637	12621	14006930	14011487	14014158	14018643	45632310	13800000	14050000	688	3546	4485	2671	spaced
SUPER_1	31246390	31248453	IR	611	.	31247196	0.611	0.961	47	2218	31246390	31246883	31247961	31248453	45632310	31000000	31250000	47	4123	492	1078	immediate
SUPER_1	12304043	12305386	IR	597	.	12304666	0.597	0.850	42	20898	12304043	12304516	12304913	12305419	45632310	12150000	12400000	42	2578	473	397	immediate
SUPER_1	13471097	13474639	IR	594	.	13472868	0.594	0.993	210	3991	13471097	13472168	13473568	13474639	45632310	13250000	13500000	210	3714	1071	1400	immediate
SUPER_1	18517005	18518982	IR	582	.	18517993	0.582	0.857	38	2130	18517005	18517549	18518467	18518982	45632310	18500000	18750000	42	299	515	918	immediate
SUPER_1	26069140	26081347	IR	581	.	26074998	0.581	0.981	227	12474	26069140	26070621	26079867	26081347	45632310	25900000	26150000	227	2920	1480	9246	spaced
SUPER_1	20891568	20898111	IR	572	.	20894839	0.572	0.868	252	6954	20891568	20894391	20895288	20898156	45632310	20650000	20900000	252	4080	2823	897	immediate
SUPER_1	12718482	12733665	IR	570	.	12725966	0.570	0.966	87	15261	12718482	12718957	12733204	12733665	45632310	12600000	12850000	93	2101	461	14247	spaced
SUPER_1	11485550	11488379	IR	557	.	11486894	0.557	0.948	159	3128	11485550	11486443	11487499	11488379	45632310	11250000	11500000	316	3949	880	1056	immediate
SUPER_1	44168875	44240555	IR	556	.	44204715	0.556	0.401	74	71868	44168875	44203909	44205521	44240649	45632310	44100000	44350000	74	1745	35034	1612	immediate
SUPER_1	19066409	19090672	IR	544	.	19079032	0.544	0.964	212	24242	19066409	19068312	19088788	19090672	45632310	18900000	19150000	0	2975	1884	20476	spaced
SUPER_1	2932456	2934882	IR	544	.	2933669	0.544	0.947	69	2471	2932456	2933380	2933958	2934883	45632310	2800000	3050000	69	2227	924	578	immediate
SUPER_1	26217595	26283270	IR	536	.	26250145	0.536	0.910	55	65635	26217595	26217959	26282906	26283304	45632310	26200000	26450000	0	840	364	64947	spaced
SUPER_1	19406261	19409025	IR	531	.	19407904	0.531	0.995	59	2741	19406261	19406633	19408653	19409025	45632310	19300000	19550000	0	1793	372	2020	spaced
SUPER_1	19521064	19523646	IR	530	.	19522287	0.530	0.767	78	2812	19521064	19521703	19523007	19523684	45632310	19350000	19600000	86	2872	639	1304	immediate
SUPER_1	21591297	21593801	IR	530	.	21592902	0.530	0.309	47	2485	21591297	21591501	21593712	21593801	45632310	21400000	21650000	0	3209	89	2211	spaced
SUPER_1	32723713	32726109	IR	525	.	32724911	0.525	0.930	51	2524	32723713	32724502	32725320	32726120	45632310	32500000	32750000	51	3748	789	818	immediate
SUPER_1	34390090	34390926	IR	519	.	34390508	0.519	0.960	33	82021	34390090	34390462	34390554	34390927	45632310	34250000	34500000	33	2341	372	92	immediate
