#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	23739908	23746894	IR	991	.	23743401	0.991	1.000	708	7725	23739908	23742967	23743835	23746894	31243614	23500000	23750000	708	4056	3059	868	immediate
SUPER_1	18513894	18518770	IR	941	.	18516330	0.941	0.994	473	5399	18513894	18515953	18516711	18518770	31243614	18300000	18550000	495	3605	2059	758	immediate
SUPER_1	28267912	28274691	IR	905	.	28271302	0.905	0.999	649	117258	28267912	28270786	28271818	28274691	31243614	28200000	28450000	672	1188	2873	1032	immediate
SUPER_1	18521554	18524415	IR	839	.	18522985	0.839	0.967	137	5630	18521554	18522711	18523259	18524415	31243614	18300000	18550000	137	3716	1156	548	immediate
SUPER_1	23990054	23992639	IR	806	.	23991347	0.806	0.999	202	2866	23990054	23990973	23991721	23992639	31243614	23750000	24000000	202	4022	918	748	immediate
SUPER_1	4813603	4819479	IR	783	.	4816545	0.783	0.996	546	6593	4813603	4816237	4816845	4819487	31243614	4700000	4950000	663	1942	2634	608	immediate
SUPER_1	25709732	25721704	IR	762	.	25715804	0.762	0.930	323	37610	25709732	25714373	25717063	25721704	31243614	25550000	25800000	323	2761	4641	2690	spaced
SUPER_1	17691973	17694575	IR	741	.	17693275	0.741	0.970	147	2954	17691973	17693011	17693539	17694575	31243614	17450000	17700000	147	4054	1036	528	immediate
SUPER_1	20712771	20936895	IR	732	.	20824646	0.732	0.375	66	224187	20712771	20824598	20825176	20936895	31243614	20700000	20950000	66	2080	111719	578	immediate
SUPER_1	9908133	9979730	IR	717	.	9943551	0.717	0.371	25	71663	9908133	9943391	9944472	9979813	31243614	9900000	10150000	0	732	35258	1081	immediate
SUPER_1	7132409	7134465	IR	712	.	7133437	0.712	0.977	75	2110	7132409	7132976	7133898	7134465	31243614	6900000	7150000	75	3890	567	922	immediate
SUPER_1	8150857	8155779	IR	705	.	8153351	0.705	0.968	541	6059	8150857	8152782	8153913	8155779	31243614	8000000	8250000	1220	2555	1866	1131	immediate
SUPER_1	11771650	11773717	IR	686	.	11772792	0.686	0.916	42	2086	11771650	11772395	11772972	11773718	31243614	11550000	11800000	42	3711	745	577	immediate
SUPER_1	16698616	16700601	IR	675	.	16699608	0.675	0.994	106	2131	16698616	16699084	16700133	16700602	31243614	16550000	16800000	106	2493	468	1049	immediate
SUPER_1	661848	663592	IR	656	.	662720	0.656	0.960	99	17074	661848	662634	662806	663598	31243614	450000	700000	99	3545	786	172	immediate
SUPER_1	578441	579843	IR	643	.	579360	0.643	0.929	67	115498	578441	579010	579274	579847	31243614	500000	750000	32	1318	569	264	immediate
SUPER_1	3290697	3292935	IR	635	.	3291816	0.635	0.975	81	65810	3290697	3291263	3292369	3292936	31243614	3200000	3450000	81	1530	566	1106	immediate
SUPER_1	31041361	31043806	IR	618	.	31042234	0.618	0.973	51	2414	31041361	31041806	31043361	31043806	31243614	30850000	31100000	0	3209	445	1555	immediate
SUPER_1	1790563	1792444	IR	614	.	1791506	0.614	0.950	69	2034	1790563	1791296	1791711	1792449	31243614	1650000	1900000	69	2358	733	415	immediate
SUPER_1	16784872	16787348	IR	610	.	16786436	0.610	0.830	53	2445	16784872	16785841	16786488	16787348	31243614	16550000	16800000	0	3935	860	647	immediate
SUPER_1	15544045	15557454	IR	609	.	15551055	0.609	0.447	50	13440	15544045	15549385	15552114	15557515	31243614	15400000	15650000	0	2512	5340	2729	spaced
SUPER_1	24907489	24908218	IR	603	.	24907801	0.603	0.863	41	30745	24907489	24907778	24907929	24908245	31243614	24700000	24950000	67	3464	289	151	immediate
SUPER_1	16686367	16692001	IR	598	.	16688955	0.598	0.982	324	5970	16686367	16688011	16690377	16692001	31243614	16450000	16700000	324	3986	1624	2366	spaced
SUPER_1	5305999	5307912	IR	598	.	5306847	0.598	0.954	50	2067	5305999	5306519	5307392	5307912	31243614	5300000	5550000	50	115	520	873	immediate
SUPER_1	29294352	29350343	IR	596	.	29322356	0.596	0.393	62	84335	29294352	29322069	29322643	29350343	31243614	29150000	29400000	62	2872	27700	574	immediate
SUPER_1	3981672	3984269	IR	595	.	3982981	0.595	0.942	89	2771	3981672	3982476	3983465	3984292	31243614	3750000	4000000	89	3882	804	989	immediate
SUPER_1	15641366	15643324	IR	592	.	15642345	0.592	0.972	94	156678	15641366	15641939	15642760	15643324	31243614	15500000	15750000	94	2372	564	821	immediate
SUPER_1	15181054	15183938	IR	591	.	15182496	0.591	0.951	153	3035	15181054	15182211	15182781	15183964	31243614	15000000	15250000	153	3041	1157	570	immediate
SUPER_1	23531811	23533851	IR	587	.	23532831	0.587	0.953	94	2152	23531811	23532535	23533137	23533851	31243614	23300000	23550000	94	3880	714	602	immediate
