#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	77244758	77258158	IR	1000	.	77251458	1.000	0.998	1361	14834	77244758	77250690	77252226	77258164	276355679	77050000	77300000	1362	3357	5932	1536	immediate
SUPER_1	110748080	110756006	IR	1000	.	110752043	1.000	1.000	813	8819	110748080	110751539	110752547	110756006	276355679	110550000	110800000	813	3367	3459	1008	immediate
SUPER_1	113644072	113651410	IR	1000	.	113647741	1.000	0.999	730	8132	113644072	113647238	113648244	113651411	276355679	113450000	113700000	730	3295	3166	1006	immediate
SUPER_1	94689957	94696673	IR	1000	.	94693315	1.000	0.976	638	7545	94689957	94692900	94693730	94696742	276355679	94450000	94700000	638	4055	2943	830	immediate
SUPER_1	119190957	119197047	IR	1000	.	119194002	1.000	1.000	617	6782	119190957	119193614	119194390	119197047	276355679	118950000	119200000	617	4066	2657	776	immediate
SUPER_1	106728011	106733867	IR	1000	.	106730939	1.000	1.000	595	6555	106728011	106730570	106731308	106733867	276355679	106500000	106750000	595	3848	2559	738	immediate
SUPER_1	95619989	95625951	IR	1000	.	95622973	1.000	0.997	572	6637	95619989	95622572	95623374	95625951	276355679	95400000	95650000	572	3716	2577	802	immediate
SUPER_1	53880585	53885553	IR	1000	.	53883069	1.000	0.999	484	98771	53880585	53882756	53883382	53885553	276355679	53700000	53950000	484	3051	2171	626	immediate
SUPER_1	102903362	102908134	IR	1000	.	102905748	1.000	1.000	481	5286	102903362	102905464	102906032	102908134	276355679	102700000	102950000	481	3428	2102	568	immediate
SUPER_1	126775518	126778222	IR	1000	.	126776870	1.000	1.000	269	181705	126775518	126776744	126776996	126778222	276355679	126650000	126900000	269	2114	1226	252	immediate
SUPER_1	126772562	126775261	IR	1000	.	126773908	1.000	0.982	266	2983	126772562	126773786	126774045	126775261	276355679	126550000	126800000	266	3731	1216	259	immediate
SUPER_1	272406673	272408655	IR	1000	.	272407664	1.000	1.000	184	126398	272406673	272407508	272407820	272408655	276355679	272250000	272500000	184	2627	835	312	immediate
SUPER_1	107801220	107805840	IR	999	.	107803530	0.999	0.998	425	4974	107801220	107803223	107803837	107805840	276355679	107600000	107850000	425	3392	2003	614	immediate
SUPER_1	93803847	93808139	IR	999	.	93805993	0.999	0.998	403	4692	93803847	93805691	93806295	93808139	276355679	93600000	93850000	403	3433	1844	604	immediate
SUPER_1	185279748	185293168	IR	998	.	185286458	0.998	0.999	1356	14834	185279748	185285673	185287243	185293168	276355679	185100000	185350000	1360	3107	5925	1570	immediate
SUPER_1	112610044	112628151	IR	998	.	112619252	0.998	0.962	667	19238	112610044	112614593	112623602	112628155	276355679	112400000	112650000	668	3651	4549	9009	spaced
SUPER_1	260618549	260625078	IR	998	.	260621814	0.998	0.999	643	7188	260618549	260621431	260622197	260625078	276355679	260400000	260650000	643	3696	2881	766	immediate
SUPER_1	267251207	267256551	IR	998	.	267253879	0.998	0.999	529	5924	267251207	267253607	267254151	267256551	276355679	267050000	267300000	529	3397	2400	544	immediate
SUPER_1	147377823	147381105	IR	998	.	147379463	0.998	0.995	316	3627	147377823	147379230	147379699	147381105	276355679	147150000	147400000	316	3824	1406	469	immediate
SUPER_1	92060153	92066177	IR	997	.	92063165	0.997	0.997	574	6633	92060153	92062810	92063520	92066183	276355679	91850000	92100000	574	3552	2657	710	immediate
SUPER_1	127202548	127207356	IR	997	.	127204952	0.997	0.999	440	5242	127202548	127204548	127205356	127207356	276355679	127000000	127250000	440	3415	2000	808	immediate
SUPER_1	109680712	109683086	IR	997	.	109681899	0.997	0.998	203	27665	109680712	109681698	109682100	109683086	276355679	109450000	109700000	203	3864	986	402	immediate
SUPER_1	115700107	115709274	IR	995	.	115704694	0.995	0.988	828	10167	115700107	115704037	115705351	115709274	276355679	115500000	115750000	828	3411	3923	1314	immediate
SUPER_1	102045859	102052761	IR	995	.	102049310	0.995	0.997	644	8025	102045859	102048857	102049763	102052762	276355679	101850000	102100000	645	3321	2998	906	immediate
SUPER_1	99500806	99508742	IR	994	.	99504774	0.994	0.999	740	8736	99500806	99504198	99505350	99508742	276355679	99400000	99650000	740	1746	3392	1152	immediate
SUPER_1	104827729	104835179	IR	994	.	104831454	0.994	0.989	677	37205	104827729	104831065	104831843	104835182	276355679	104650000	104900000	677	3024	3336	778	immediate
SUPER_1	106379936	106385786	IR	994	.	106382861	0.994	0.998	573	6434	106379936	106382546	106383176	106385786	276355679	106200000	106450000	573	3047	2610	630	immediate
SUPER_1	111696211	111701241	IR	994	.	111698726	0.994	0.985	453	5891	111696211	111698424	111699028	111701251	276355679	111550000	111800000	453	2478	2213	604	immediate
SUPER_1	42523875	42528211	IR	992	.	42526043	0.992	1.000	397	5555	42523875	42525690	42526396	42528211	276355679	42350000	42600000	397	2933	1815	706	immediate
