#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	5787818	5790606	IR	910	.	5789212	0.910	1.000	245	3094	5787818	5788942	5789482	5790606	40500331	5550000	5800000	245	3986	1124	540	immediate
SUPER_1	18371017	18372981	IR	747	.	18371999	0.747	0.995	111	2083	18371017	18371578	18372420	18372981	40500331	18150000	18400000	111	3699	561	842	immediate
SUPER_1	31056033	31059061	IR	655	.	31057547	0.655	0.926	99	3141	31056033	31057042	31058052	31059067	40500331	30900000	31150000	99	2625	1009	1010	immediate
SUPER_1	12854950	12857010	IR	633	.	12855980	0.633	0.976	80	2126	12854950	12855457	12856503	12857010	40500331	12650000	12900000	80	3432	507	1046	immediate
SUPER_1	24627462	24631793	IR	626	.	24629628	0.626	0.981	232	4637	24627462	24629004	24630252	24631793	40500331	24400000	24650000	232	3826	1541	1248	immediate
SUPER_1	15714989	15718043	IR	594	.	15716916	0.594	0.990	70	3034	15714989	15715498	15717534	15718043	40500331	15600000	15850000	0	1941	509	2036	spaced
SUPER_1	18444423	18446949	IR	592	.	18445686	0.592	0.981	79	2630	18444423	18444909	18446463	18446949	40500331	18200000	18450000	79	4094	486	1554	immediate
SUPER_1	24673660	24682132	IR	569	.	24677896	0.569	0.990	601	9323	24673660	24676882	24678910	24682135	40500331	24450000	24700000	601	3798	3222	2028	spaced
SUPER_1	40406379	40417611	IR	561	.	40411727	0.561	0.727	46	11231	40406379	40409097	40414893	40417639	40500331	40300000	40500331	0	1866	2718	5796	spaced
SUPER_1	2824777	2833462	IR	551	.	2828880	0.551	0.965	75	8841	2824777	2825457	2832784	2833462	40500331	2600000	2850000	75	3818	678	7327	spaced
SUPER_1	37809479	37901162	IR	544	.	37854829	0.544	0.953	81	91660	37809479	37810331	37900326	37901162	40500331	37700000	37950000	0	2588	836	89995	spaced
SUPER_1	34449075	34623934	IR	527	.	34536957	0.527	0.958	92	174839	34449075	34449965	34623044	34623934	40500331	34400000	34650000	0	2274	890	173079	wide
SUPER_1	28446237	28448543	IR	520	.	28447390	0.520	0.943	79	2684	28446237	28446917	28447863	28448547	40500331	28250000	28500000	79	3289	680	946	immediate
SUPER_1	18682043	18712144	IR	519	.	18697468	0.519	0.968	186	30078	18682043	18683967	18710227	18712144	40500331	18650000	18900000	0	784	1917	26260	spaced
SUPER_1	37284626	37323036	IR	519	.	37303397	0.519	0.834	58	38391	37284626	37285349	37322414	37323036	40500331	37100000	37350000	0	3397	622	37065	spaced
SUPER_1	21450095	21498786	IR	516	.	21473961	0.516	0.894	53	48080	21450095	21452287	21496594	21498787	40500331	21450000	21700000	0	407	2192	44307	spaced
SUPER_1	16676933	16684556	IR	514	.	16681225	0.514	0.927	69	7605	16676933	16677673	16683855	16684556	40500331	16650000	16900000	0	512	701	6182	spaced
SUPER_1	6371851	6575817	IR	511	.	6473435	0.511	0.921	113	203945	6371851	6373188	6574497	6575817	40500331	6350000	6600000	0	2063	1320	201309	wide
SUPER_1	32185835	32188147	IR	502	.	32187005	0.502	0.918	62	2392	32185835	32186286	32187724	32188147	40500331	31950000	32200000	62	3949	423	1438	immediate
SUPER_1	38964830	39144985	IR	484	.	39055194	0.484	0.961	76	180088	38964830	38965748	39144070	39144985	40500331	38950000	39200000	0	1748	915	178322	wide
SUPER_1	3174229	3200256	IR	482	.	3186884	0.482	0.921	97	26004	3174229	3175124	3199397	3200256	40500331	3000000	3250000	0	3120	859	24273	spaced
SUPER_1	33111586	33120478	IR	480	.	33115632	0.480	0.685	79	8540	33111586	33115909	33116215	33120478	40500331	33100000	33350000	0	267	4263	306	immediate
SUPER_1	34164492	34168260	IR	478	.	34166376	0.478	0.929	151	4004	34164492	34165869	34166883	34168294	40500331	33950000	34200000	151	3606	1377	1014	immediate
SUPER_1	5477434	5692052	IR	476	.	5584812	0.476	0.929	76	214754	5477434	5478176	5691310	5692056	40500331	5450000	5700000	76	2245	742	213134	wide
SUPER_1	4344166	4346932	IR	475	.	4345549	0.475	0.970	113	2876	4344166	4345139	4345960	4346932	40500331	4100000	4350000	113	4092	972	821	immediate
SUPER_1	28937782	28939946	IR	473	.	28938874	0.473	0.908	28	2201	28937782	28938216	28939532	28939946	40500331	28750000	29000000	28	3147	414	1316	immediate
SUPER_1	26698902	26701413	IR	465	.	26700171	0.465	0.799	36	2966	26698902	26699345	26701004	26701413	40500331	26550000	26800000	36	2502	409	1659	immediate
SUPER_1	27506971	27589025	IR	459	.	27548150	0.459	0.949	63	82078	27506971	27507538	27588460	27589025	40500331	27350000	27600000	63	3299	565	80922	spaced
SUPER_1	38599613	38602627	IR	456	.	38601120	0.456	0.978	95	3088	38599613	38600238	38602002	38602628	40500331	38400000	38650000	95	3351	625	1764	immediate
SUPER_1	15835738	15887859	IR	449	.	15862193	0.449	0.954	96	52104	15835738	15836685	15886912	15887863	40500331	15650000	15900000	0	3529	947	50227	spaced
SUPER_1	32803361	32869448	IR	446	.	32836436	0.446	0.412	178	66389	32803361	32836005	32836868	32869448	40500331	32700000	32950000	178	2273	32580	863	immediate
SUPER_1	21840563	21844313	IR	446	.	21842438	0.446	0.981	166	3908	21840563	21841580	21843297	21844313	40500331	21600000	21850000	166	4040	1016	1717	immediate
SUPER_1	17763651	17980491	IR	442	.	17872407	0.442	0.936	206	216823	17763651	17765563	17978647	17980491	40500331	17750000	18000000	0	2034	1844	213084	wide
SUPER_1	30458040	30460248	IR	439	.	30459146	0.439	0.936	35	2441	30458040	30458401	30459891	30460248	40500331	30250000	30500000	35	3485	357	1490	immediate
SUPER_1	15726270	15731606	IR	438	.	15728965	0.438	0.569	53	5373	15726270	15728655	15729275	15731606	40500331	15650000	15900000	53	1315	2331	620	immediate
SUPER_1	19668013	19670979	IR	436	.	19669496	0.436	0.925	72	3161	19668013	19668860	19670132	19670985	40500331	19450000	19700000	72	3658	847	1272	immediate
SUPER_1	8484043	8487513	IR	432	.	8485782	0.432	0.926	72	3718	8484043	8484887	8486677	8487513	40500331	8400000	8650000	72	1429	836	1790	immediate
SUPER_1	31135425	31138440	IR	432	.	31136915	0.432	0.952	68	3154	31135425	31135978	31137887	31138443	40500331	31100000	31350000	68	615	553	1909	immediate
SUPER_1	16541189	16639566	IR	431	.	16590626	0.431	0.967	216	98353	16541189	16543100	16637673	16639566	40500331	16400000	16650000	0	3172	1893	94573	spaced
SUPER_1	38312447	38548183	IR	426	.	38430315	0.426	0.389	111	236018	38312447	38429553	38431077	38548195	40500331	38300000	38550000	111	2171	117106	1524	immediate
SUPER_1	39670391	39675009	IR	426	.	39672700	0.426	0.701	83	4802	39670391	39672294	39673106	39675014	40500331	39450000	39700000	83	3711	1903	812	immediate
SUPER_1	34930918	34932873	IR	423	.	34931857	0.423	0.968	57	2244	34930918	34931293	34932498	34932875	40500331	34800000	35050000	57	2198	375	1205	immediate
SUPER_1	29890332	29990384	IR	422	.	29940359	0.422	0.408	253	100785	29890332	29939649	29941069	29990384	40500331	29750000	30000000	253	3172	49315	1420	immediate
