#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_X	599121	602483	IR	481	.	600802	0.481	0.957	119	3627	599121	600027	601577	602501	8552900	550000	800000	120	846	906	1550	immediate
SUPER_X	197932	201645	IR	438	.	199446	0.438	0.982	135	3693	197932	199043	200534	201645	8552900	0	250000	0	3329	1111	1491	immediate
SUPER_X	1553541	1579248	IR	335	.	1566668	0.335	0.996	1438	25695	1553541	1561648	1571141	1579270	8552900	1553540	1790550	0	214	8107	9493	spaced
SUPER_X	523572	556327	IR	332	.	540433	0.332	0.938	221	32726	523572	526516	553430	556327	8552900	450000	700000	0	1499	2897	26914	spaced
SUPER_X	4474470	4481927	IR	329	.	4478111	0.329	0.981	438	8241	4474470	4476955	4479442	4481937	8552900	4313812	4563812	438	2739	2485	2487	spaced
SUPER_X	2163633	2235260	IR	325	.	2199925	0.325	0.955	865	71606	2163633	2171374	2227603	2235260	8552900	1990750	2240750	0	3478	7657	56229	spaced
SUPER_X	443107	447732	IR	323	.	445782	0.323	0.976	127	4608	443107	444117	446722	447740	8552900	200000	450000	0	4090	1010	2605	spaced
SUPER_X	2611983	2719687	IR	323	.	2665912	0.323	0.860	77	107849	2611983	2613052	2718619	2719687	8552900	2499823	2749823	77	2766	1068	105567	wide
SUPER_X	1931243	1980694	IR	321	.	1955583	0.321	0.994	453	49426	1931243	1934031	1977906	1980696	8552900	1790750	2040750	0	2753	2788	43875	spaced
SUPER_X	626652	642049	IR	319	.	634387	0.319	0.989	310	15783	626652	628459	640242	642050	8552900	400000	650000	310	3905	1807	11783	spaced
SUPER_X	381109	387582	IR	318	.	384253	0.318	0.994	128	6589	381109	381729	386962	387583	8552900	150000	400000	128	3905	620	5233	spaced
SUPER_X	1157621	1162021	IR	318	.	1160082	0.318	0.974	47	4382	1157621	1158037	1161605	1162021	8552900	1136719	1386719	0	384	416	3568	spaced
SUPER_X	1289818	1405869	IR	317	.	1347580	0.317	0.910	171	116031	1289818	1292855	1402841	1405869	8552900	1186719	1427256	0	2685	3028	109986	wide
SUPER_X	2494540	2584264	IR	317	.	2539204	0.317	0.926	27	89744	2494540	2494891	2583913	2584264	8552900	2449823	2699823	27	1492	351	89022	spaced
SUPER_X	901476	940406	IR	317	.	921426	0.317	0.852	25	38905	901476	902843	939039	940411	8552900	750000	1000000	0	2848	1367	36196	spaced
SUPER_X	2422858	2456350	IR	316	.	2439981	0.316	0.996	46	33474	2422858	2423139	2456069	2456350	8552900	2399823	2649823	0	662	281	32930	spaced
SUPER_X	2288214	2299956	IR	314	.	2294528	0.314	0.990	443	11719	2288214	2290933	2297237	2299958	8552900	2090750	2300596	0	3388	2719	6304	spaced
SUPER_X	1253880	1259312	IR	314	.	1256561	0.314	0.998	315	5811	1253880	1255352	1257841	1259312	8552900	1136719	1386719	315	1997	1471	2489	spaced
SUPER_X	1072824	1131010	IR	312	.	1101572	0.312	0.941	37	58045	1072824	1073270	1130564	1131022	8552900	900000	1136519	0	3365	446	57294	spaced
SUPER_X	4992855	4996690	IR	310	.	4994781	0.310	0.964	77	3883	4992855	4993471	4996075	4996690	8552900	4763812	5013812	77	3849	615	2604	spaced
SUPER_X	1446228	1453315	IR	308	.	1449448	0.308	0.903	112	7069	1446228	1447406	1452137	1453315	8552900	1427456	1553340	0	371	1178	4731	spaced
SUPER_X	241455	250477	IR	308	.	245494	0.308	0.886	42	9002	241455	241954	249979	250477	8552900	200000	450000	0	765	498	8025	spaced
SUPER_X	708298	714475	IR	306	.	711825	0.306	1.000	151	6153	708298	709128	713645	714475	8552900	500000	750000	0	3522	830	4517	spaced
SUPER_X	754464	851185	IR	305	.	802415	0.305	0.986	229	96702	754464	756144	849505	851185	8552900	650000	900000	0	2546	1680	93361	spaced
SUPER_X	942140	1025294	IR	304	.	983668	0.304	0.990	238	83592	942140	943433	1024002	1025294	8552900	800000	1050000	238	3061	1292	80569	spaced
SUPER_X	155608	159031	IR	302	.	157568	0.302	0.998	144	3390	155608	156432	158207	159031	8552900	0	250000	0	2621	824	1775	immediate
SUPER_X	8416856	8504981	IR	301	.	8461090	0.301	0.948	20	88124	8416856	8417147	8504690	8504981	8552900	8266914	8516914	20	3233	291	87543	spaced
SUPER_X	649808	661485	IR	299	.	655485	0.299	0.985	131	11756	649808	650558	660735	661488	8552900	450000	700000	132	3427	750	10177	spaced
