#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	92982638	92988151	IR	930	.	92985411	0.930	0.973	410	6079	92982638	92985038	92985784	92988151	127942443	92842264	93092264	427	2385	2367	746	immediate
SUPER_1	50813121	50816723	IR	899	.	50814922	0.899	0.973	175	3827	50813121	50814514	50815330	50816724	127942443	50659490	50909490	175	2590	1393	816	immediate
SUPER_1	22573817	22579966	IR	852	.	22576924	0.852	0.862	185	6623	22573817	22576664	22577184	22579966	127942443	22563255	22813255	185	227	2782	520	immediate
SUPER_1	1852840	1857136	IR	837	.	1854988	0.837	0.960	180	5210	1852840	1854579	1855397	1857142	127942443	1650000	1900000	180	3416	1739	818	immediate
SUPER_1	77919711	77922233	IR	786	.	77920972	0.786	0.984	192	2840	77919711	77920829	77921116	77922233	127942443	77689182	77939182	193	3863	1117	287	immediate
SUPER_1	111884890	111890260	IR	745	.	111887588	0.745	0.867	76	5938	111884890	111887163	111888015	111890260	127942443	111715047	111965047	76	2875	2245	852	immediate
SUPER_1	52133065	52136963	IR	701	.	52135014	0.701	0.984	227	4165	52133065	52134409	52135619	52136963	127942443	52059946	52157946	229	1250	1344	1210	immediate
SUPER_1	100911379	100915353	IR	698	.	100913366	0.698	0.990	307	164243	100911379	100913033	100913701	100915353	127942443	100789314	101039314	307	2067	1652	668	immediate
SUPER_1	4324403	4327063	IR	692	.	4325735	0.692	0.917	81	2777	4324403	4325523	4325943	4327071	127942443	4186351	4436351	81	2322	1120	420	immediate
SUPER_1	36435638	36449000	IR	689	.	36442319	0.689	0.639	115	13952	36435638	36442226	36442412	36449052	127942443	36259057	36509057	115	3054	6588	186	immediate
SUPER_1	113622879	113625096	IR	646	.	113623990	0.646	0.987	170	2395	113622879	113623625	113624350	113625101	127942443	113415047	113665047	170	3482	746	725	immediate
SUPER_1	114896933	114902730	IR	633	.	114900184	0.633	0.886	77	5778	114896933	114899714	114899959	114902730	127942443	114710388	114960388	0	3157	2771	245	immediate
SUPER_1	118970755	118973732	IR	622	.	118972243	0.622	0.988	231	3251	118970755	118971931	118972562	118973732	127942443	118759283	119009283	235	3549	1170	631	immediate
SUPER_1	63937657	64023627	IR	612	.	63980158	0.612	0.909	33	85941	63937657	63938290	64023009	64023627	127942443	63923614	64173614	0	950	618	84719	spaced
SUPER_1	100815194	100823925	IR	609	.	100819562	0.609	0.980	684	9613	100815194	100818534	100820590	100823925	127942443	100589314	100839314	785	3837	3335	2056	spaced
SUPER_1	58372982	58375784	IR	599	.	58374378	0.599	0.950	136	2939	58372982	58374096	58374676	58375784	127942443	58141654	58391654	136	3878	1108	580	immediate
SUPER_1	44713362	44716766	IR	589	.	44715066	0.589	0.935	91	3868	44713362	44714650	44715482	44716766	127942443	44562130	44812130	91	2548	1284	832	immediate
SUPER_1	56299049	56305591	IR	573	.	56302320	0.573	0.971	312	7135	56299049	56301436	56303204	56305591	127942443	56141654	56391654	312	2677	2387	1768	immediate
SUPER_1	20666135	20669339	IR	568	.	20667764	0.568	0.895	85	3242	20666135	20667303	20668207	20669339	127942443	20484126	20734126	91	3060	1132	904	immediate
SUPER_1	32476890	32479361	IR	565	.	32478460	0.565	0.947	44	2449	32476890	32477600	32478651	32479362	127942443	32313857	32563857	0	2737	710	1051	immediate
SUPER_1	109827351	109829390	IR	559	.	109828230	0.559	0.980	61	2075	109827351	109827804	109828938	109829390	127942443	109727697	109977697	61	1677	452	1134	immediate
SUPER_1	80257594	80264986	IR	552	.	80261290	0.552	0.952	290	7983	80257594	80260339	80262241	80265021	127942443	80054138	80304138	290	3452	2745	1902	immediate
SUPER_1	109825083	109827215	IR	548	.	109826149	0.548	1.000	88	2210	109825083	109825475	109826823	109827215	127942443	109577697	109827697	88	4140	392	1348	immediate
SUPER_1	114486069	114488781	IR	544	.	114487425	0.544	0.901	61	2828	114486069	114486812	114488038	114488802	127942443	114310388	114560388	62	2950	743	1226	immediate
SUPER_1	57633148	57635806	IR	542	.	57634477	0.542	0.892	85	2777	57633148	57634315	57634639	57635818	127942443	57441654	57691654	88	3213	1167	324	immediate
SUPER_1	109992400	109996416	IR	540	.	109994408	0.540	0.986	272	6152	109992400	109993648	109995168	109996416	127942443	109877697	110092697	272	1945	1248	1520	immediate
SUPER_1	11760458	11856900	IR	532	.	11809147	0.532	0.963	23	96390	11760458	11760512	11856848	11856900	127942443	11625683	11875683	0	3049	52	96336	spaced
SUPER_1	14615078	14618746	IR	529	.	14616897	0.529	0.863	159	3914	14615078	14616424	14617406	14618746	127942443	14525683	14775683	161	1520	1340	982	immediate
SUPER_1	57407285	57412021	IR	522	.	57409661	0.522	0.952	204	5326	57407285	57409013	57410310	57412021	127942443	57241654	57491654	204	2799	1711	1297	immediate
SUPER_1	5545893	5548897	IR	513	.	5547395	0.513	0.931	126	3199	5545893	5546584	5548206	5548926	127942443	5346437	5596437	139	3349	691	1622	immediate
SUPER_1	60092726	60095400	IR	511	.	60094063	0.511	0.969	97	2909	60092726	60093398	60094728	60095405	127942443	59877414	60127414	97	3610	672	1330	immediate
SUPER_1	91630914	91639832	IR	508	.	91635590	0.508	0.914	181	11037	91630914	91632776	91637970	91639851	127942443	91457726	91707726	164	2960	1862	5194	spaced
SUPER_1	59035491	59037756	IR	508	.	59036891	0.508	0.893	34	2244	59035491	59036516	59036731	59037756	127942443	58863108	59113108	0	2891	1025	215	immediate
SUPER_1	65160184	65292113	IR	508	.	65226242	0.508	0.952	27	131891	65160184	65160226	65292073	65292113	127942443	65063094	65313094	224	2717	40	131847	wide
SUPER_1	79075591	79078544	IR	497	.	79077067	0.497	0.998	248	3184	79075591	79076711	79077424	79078544	127942443	78854138	79104138	248	3715	1120	713	immediate
SUPER_1	1334558	1336548	IR	494	.	1335574	0.494	0.792	25	2028	1334558	1335350	1335756	1336569	127942443	1150000	1400000	28	3092	792	406	immediate
SUPER_1	79782110	79786268	IR	493	.	79784189	0.493	0.993	249	4379	79782110	79783457	79784921	79786268	127942443	79654138	79904138	249	2167	1347	1464	immediate
SUPER_1	44480250	44482411	IR	493	.	44481331	0.493	0.946	69	2292	44480250	44480722	44481939	44482412	127942443	44312130	44562130	69	2819	472	1217	immediate
SUPER_1	110742661	110745039	IR	491	.	110743850	0.491	0.897	78	2534	110742661	110743232	110744468	110745078	127942443	110554097	110804097	78	3162	571	1236	immediate
SUPER_1	6108455	6110542	IR	491	.	6109329	0.491	0.876	44	9020	6108455	6109358	6109659	6110542	127942443	5900086	6150086	44	3490	883	301	immediate
SUPER_1	61195127	61197489	IR	487	.	61196308	0.487	0.913	43	2423	61195127	61195676	61196940	61197513	127942443	61073614	61323614	44	2044	549	1264	immediate
SUPER_1	22841303	22848775	IR	486	.	22845042	0.486	0.956	300	8685	22841303	22844278	22845800	22848781	127942443	22613255	22863255	309	3862	2975	1522	immediate
SUPER_1	23139538	23142790	IR	485	.	23141164	0.485	0.888	28	3283	23139538	23140522	23141806	23142802	127942443	23013255	23263255	28	2131	984	1284	immediate
SUPER_1	17637599	17640727	IR	484	.	17639163	0.484	0.992	280	3543	17637599	17638983	17639343	17640727	127942443	17470380	17720380	280	2812	1384	360	immediate
SUPER_1	15581175	15702552	IR	481	.	15641513	0.481	0.930	41	121358	15581175	15581825	15701908	15702552	127942443	15575683	15825683	0	1102	644	120083	wide
SUPER_1	112779804	112787034	IR	480	.	112783420	0.480	0.976	358	7711	112779804	112782488	112784352	112787034	127942443	112565047	112815047	358	3639	2682	1864	immediate
SUPER_1	72589894	72659713	IR	477	.	72624868	0.477	0.846	67	70875	72589894	72594717	72654890	72659730	127942443	72502623	72752623	67	2036	4823	60173	spaced
SUPER_1	76399054	76401749	IR	476	.	76400401	0.476	0.948	80	2754	76399054	76400013	76400790	76401749	127942443	76239182	76489182	80	2686	959	777	immediate
SUPER_1	77307312	77309128	IR	471	.	77308329	0.471	0.685	33	2180	77307312	77308172	77308287	77309128	127942443	77289182	77539182	33	317	841	115	immediate
SUPER_1	34156832	34260447	IR	466	.	34209059	0.466	0.889	36	103551	34156832	34156904	34260383	34260447	127942443	34059057	34309057	0	2492	64	103479	wide
SUPER_1	62060171	62096984	IR	462	.	62078842	0.462	0.636	49	36759	62060171	62064348	62092815	62096984	127942443	61973614	62223614	0	1749	4169	28467	spaced
SUPER_1	57176095	57179395	IR	452	.	57177766	0.452	0.533	30	3381	57176095	57177626	57177909	57179395	127942443	56991654	57241654	30	3101	1486	283	immediate
SUPER_1	119997928	120001405	IR	451	.	119999942	0.451	0.545	43	3434	119997928	119999481	119999923	120001405	127942443	119759283	120009283	0	4006	1482	442	immediate
SUPER_1	3979095	3982280	IR	451	.	3980179	0.451	0.580	29	3118	3979095	3980740	3980730	3982280	127942443	3886351	4136351	0	1572	1550	-10	overlap
