#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	123599368	123602179	IR	939	.	123600773	0.939	0.984	216	3177	123599368	123600565	123600982	123602184	196968248	123450000	123700000	216	2512	1197	417	immediate
SUPER_1	21870654	21873091	IR	934	.	21871649	0.934	1.000	194	44835	21870654	21871485	21872260	21873091	196968248	21800000	22050000	194	1197	831	775	immediate
SUPER_1	159353959	159356143	IR	927	.	159355051	0.927	0.983	184	2420	159353959	159354892	159355210	159356151	196968248	159150000	159400000	184	3417	933	318	immediate
SUPER_1	86662210	86667593	IR	810	.	86664924	0.810	0.946	318	5762	86662210	86664406	86665442	86667593	196968248	86650000	86900000	318	248	2151	1036	immediate
SUPER_1	173814350	173815814	IR	801	.	173815082	0.801	0.993	109	71845	173814350	173814927	173815237	173815814	196968248	173700000	173950000	109	1917	577	310	immediate
SUPER_1	50275780	50277900	IR	793	.	50276841	0.793	0.975	138	2487	50275780	50276686	50276997	50277900	196968248	50200000	50450000	138	1280	903	311	immediate
SUPER_1	138512479	138518848	IR	788	.	138515885	0.788	0.972	431	7151	138512479	138515237	138516090	138518871	196968248	138300000	138550000	431	3594	2758	853	immediate
SUPER_1	115775708	115778523	IR	768	.	115777116	0.768	0.991	190	3139	115775708	115776710	115777522	115778523	196968248	115550000	115800000	190	3785	1001	812	immediate
SUPER_1	95196535	95199360	IR	766	.	95197948	0.766	0.988	177	3139	95196535	95197551	95198345	95199360	196968248	94950000	95200000	177	4132	1015	794	immediate
SUPER_1	150190708	150201249	IR	760	.	150195998	0.760	0.969	759	11722	150190708	150195166	150196830	150201249	196968248	150100000	150350000	770	1599	4419	1664	immediate
SUPER_1	528292	532942	IR	750	.	530617	0.750	0.648	145	4864	528292	530347	530887	533031	196968248	350000	600000	145	3010	2055	540	immediate
SUPER_1	107958581	107962402	IR	748	.	107960494	0.748	0.976	237	4131	107958581	107959920	107961068	107962402	196968248	107850000	108100000	237	1841	1334	1148	immediate
SUPER_1	57872140	57881732	IR	737	.	57876936	0.737	0.956	642	62459	57872140	57876305	57877567	57881809	196968248	57800000	58050000	642	1282	4165	1262	immediate
SUPER_1	16765853	16776405	IR	736	.	16771542	0.736	0.859	43	10538	16765853	16766137	16776121	16776447	196968248	16550000	16800000	0	3685	284	9984	spaced
SUPER_1	149979185	149982542	IR	732	.	149980864	0.732	0.988	244	3934	149979185	149980465	149981263	149982542	196968248	149750000	150000000	244	3847	1279	798	immediate
SUPER_1	155708199	155917683	IR	715	.	155812880	0.715	0.394	194	209939	155708199	155783114	155842856	155917683	196968248	155700000	155950000	194	1882	74827	59742	spaced
SUPER_1	130051908	130056086	IR	711	.	130053997	0.711	0.957	235	4618	130051908	130053435	130054559	130056109	196968248	129900000	130150000	235	2566	1527	1124	immediate
SUPER_1	81532315	81534251	IR	703	.	81533283	0.703	0.984	116	2029	81532315	81532871	81533695	81534256	196968248	81500000	81750000	116	554	556	824	immediate
SUPER_1	103864709	103871653	IR	697	.	103868274	0.697	0.959	407	7609	103864709	103866818	103869544	103871719	196968248	103650000	103900000	407	3636	2109	2726	spaced
SUPER_1	139467339	139470523	IR	688	.	139468931	0.688	0.963	153	3424	139467339	139468440	139469422	139470535	196968248	139250000	139500000	153	3648	1101	982	immediate
SUPER_1	24161841	24181693	IR	678	.	24171287	0.678	0.991	71	19835	24161841	24162288	24181246	24181693	196968248	24100000	24350000	0	1195	447	18958	spaced
SUPER_1	56373548	56375917	IR	669	.	56374962	0.669	0.864	110	2546	56373548	56374503	56374962	56375946	196968248	56250000	56500000	83	2078	955	459	immediate
