#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	104750258	104752376	IR	1000	.	104751317	1.000	1.000	228	44887	104750258	104751202	104751432	104752376	108215379	104550000	104800000	228	3355	944	230	immediate
SUPER_1	37672581	37676949	IR	997	.	37674765	0.997	1.000	434	4829	37672581	37674508	37675022	37676949	108215379	37450000	37700000	434	3745	1927	514	immediate
SUPER_1	101487228	101490684	IR	995	.	101488956	0.995	0.999	350	88470	101487228	101488774	101489138	101490684	108215379	101350000	101600000	350	2315	1546	364	immediate
SUPER_1	80726826	80740108	IR	989	.	80733467	0.989	1.000	1348	87097	80726826	80732757	80734177	80740108	108215379	80550000	80800000	1348	3057	5931	1420	immediate
SUPER_1	68265413	68280279	IR	988	.	68272846	0.988	0.999	1487	16594	68265413	68272034	68273658	68280279	108215379	68150000	68400000	1489	2047	6621	1624	immediate
SUPER_1	16333581	16344891	IR	988	.	16339235	0.988	0.997	1115	12687	16333581	16338702	16339777	16344891	108215379	16100000	16350000	1173	3987	5114	1075	immediate
SUPER_1	73843782	73856872	IR	975	.	73850327	0.975	1.000	1305	14457	73843782	73849571	73851083	73856872	108215379	73650000	73900000	1311	3338	5789	1512	immediate
SUPER_1	75868832	75884026	IR	972	.	75876429	0.972	0.999	1505	16786	75868832	75875548	75877310	75884026	108215379	75650000	75900000	1505	3773	6716	1762	immediate
SUPER_1	97425789	97439989	IR	970	.	97432889	0.970	1.000	1423	15761	97425789	97432048	97433730	97439989	108215379	97200000	97450000	1437	3881	6259	1682	immediate
SUPER_1	5568477	5583774	IR	965	.	5576126	0.965	1.000	1547	16961	5568477	5575228	5577024	5583774	108215379	5400000	5650000	1552	2935	6750	1796	immediate
SUPER_1	12560540	12572856	IR	965	.	12566598	0.965	0.995	1165	13551	12560540	12565817	12567604	12572856	108215379	12400000	12650000	1259	2778	5252	1787	immediate
SUPER_1	7007657	7016215	IR	963	.	7011936	0.963	0.989	804	10917	7007657	7011570	7012337	7016215	108215379	6800000	7050000	864	3532	3878	767	immediate
SUPER_1	22025646	22041166	IR	961	.	22033406	0.961	1.000	1567	17193	22025646	22032493	22034319	22041166	108215379	21800000	22050000	1567	3889	6847	1826	immediate
SUPER_1	55288747	55290914	IR	961	.	55289830	0.961	0.984	186	2379	55288747	55289683	55289978	55290921	108215379	55100000	55350000	186	3163	936	295	immediate
SUPER_1	33771279	33784821	IR	959	.	33777651	0.959	0.981	1085	13521	33771279	33777854	33778248	33784821	108215379	33650000	33900000	0	2134	6573	394	immediate
SUPER_1	21138333	21140697	IR	924	.	21139515	0.924	1.000	201	2585	21138333	21139287	21139743	21140697	108215379	20900000	21150000	201	3991	954	456	immediate
SUPER_1	30137716	30139956	IR	907	.	30138836	0.907	1.000	197	2419	30137716	30138610	30139062	30139956	108215379	29900000	30150000	197	3980	894	452	immediate
SUPER_1	102231336	102236514	IR	902	.	102233925	0.902	0.998	447	5657	102231336	102233507	102234343	102236514	108215379	102050000	102300000	451	3065	2171	836	immediate
SUPER_1	4007496	4011994	IR	897	.	4009745	0.897	0.990	346	4873	4007496	4009379	4010111	4011994	108215379	3800000	4050000	347	3495	1883	732	immediate
SUPER_1	86617541	86630235	IR	862	.	86623706	0.862	0.939	163	12870	86617541	86618336	86629440	86630256	108215379	86400000	86650000	181	3731	795	11104	spaced
SUPER_1	28831734	28834647	IR	853	.	28833193	0.853	0.988	239	3167	28831734	28833003	28833383	28834647	108215379	28650000	28900000	239	3053	1264	380	immediate
SUPER_1	7673619	7681269	IR	834	.	7677444	0.834	0.974	658	38390	7673619	7676832	7678056	7681333	108215379	7500000	7750000	658	2957	3213	1224	immediate
SUPER_1	4943834	4945750	IR	821	.	4944792	0.821	0.998	142	2049	4943834	4944475	4945109	4945750	108215379	4700000	4950000	142	4079	641	634	immediate
SUPER_1	68387546	68395750	IR	808	.	68391648	0.808	1.000	730	33544	68387546	68390773	68392523	68395750	108215379	68200000	68450000	730	3193	3227	1750	immediate
SUPER_1	33489150	33491949	IR	803	.	33490546	0.803	0.985	206	3029	33489150	33490122	33490977	33491950	108215379	33250000	33500000	206	4008	972	855	immediate
SUPER_1	68725832	68728792	IR	792	.	68727318	0.792	0.989	221	3203	68725832	68726912	68727724	68728792	108215379	68500000	68750000	221	3788	1068	812	immediate
SUPER_1	4373563	4385059	IR	769	.	4379311	0.769	1.000	1121	12771	4373563	4378458	4380164	4385059	108215379	4150000	4400000	1121	3821	4895	1706	immediate
SUPER_1	87407094	87412362	IR	751	.	87409728	0.751	0.960	349	6570	87407094	87409286	87410170	87412381	108215379	87200000	87450000	353	3495	2192	884	immediate
SUPER_1	6757661	6944877	IR	743	.	6851269	0.743	0.386	131	187476	6757661	6850853	6851685	6944951	108215379	6700000	6950000	133	2521	93192	832	immediate
SUPER_1	102844175	102852227	IR	739	.	102848415	0.739	0.993	280	8400	102844175	102845456	102850946	102852233	108215379	102650000	102900000	370	3303	1281	5490	spaced
SUPER_1	4880700	4883322	IR	734	.	4882019	0.734	0.977	154	2779	4880700	4881573	4882465	4883322	108215379	4650000	4900000	154	3866	857	892	immediate
