#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	131679419	131682325	IR	870	.	131680872	0.870	1.000	204	3115	131679419	131680443	131681301	131682325	208675734	131450000	131700000	204	3847	1024	858	immediate
SUPER_1	134020002	134022176	IR	787	.	134021089	0.787	0.993	128	2282	134020002	134020684	134021494	134022176	208675734	133800000	134050000	128	3684	682	810	immediate
SUPER_1	164013550	164022036	IR	781	.	164017815	0.781	0.813	444	9332	164013550	164017248	164018382	164022036	208675734	163850000	164100000	444	2796	3654	1134	immediate
SUPER_1	50508663	50620790	IR	762	.	50564722	0.762	0.376	74	112112	50508663	50563756	50565697	50620803	208675734	50500000	50750000	306	1078	55093	1941	immediate
SUPER_1	126721199	126723514	IR	724	.	126722358	0.724	0.948	172	2874	126721199	126722159	126722594	126723514	208675734	126550000	126800000	172	2872	920	435	immediate
SUPER_1	10390152	10392476	IR	695	.	10391314	0.695	0.998	133	2494	10390152	10390790	10391838	10392476	208675734	10350000	10600000	133	688	638	1048	immediate
SUPER_1	156683052	156729560	IR	616	.	156705800	0.616	0.878	2562	46481	156683052	156701719	156710924	156729560	208675734	156500000	156750000	0	3438	18636	9205	spaced
SUPER_1	71606435	71610507	IR	612	.	71608471	0.612	0.998	288	4345	71606435	71607723	71609219	71610507	208675734	71400000	71650000	288	3474	1288	1496	immediate
SUPER_1	51198670	51201532	IR	584	.	51200099	0.584	0.986	176	3108	51198670	51199476	51200728	51201532	208675734	51000000	51250000	176	3334	804	1252	immediate
SUPER_1	134252169	134254451	IR	559	.	134253322	0.559	0.918	74	2451	134252169	134252998	134253622	134254476	208675734	134250000	134500000	74	55	829	624	immediate
SUPER_1	125367934	125373802	IR	516	.	125370868	0.516	0.983	375	6326	125367934	125369934	125371802	125373802	208675734	125150000	125400000	375	3680	2000	1868	immediate
SUPER_1	104637419	104744597	IR	463	.	104691064	0.463	0.484	56	107261	104637419	104642784	104739232	104744608	208675734	104600000	104850000	56	1516	5365	96448	spaced
SUPER_1	110986134	111029057	IR	461	.	111008083	0.461	0.530	70	42904	110986134	110991549	111023642	111029060	208675734	110800000	111050000	0	3459	5415	32093	spaced
SUPER_1	153402394	153405164	IR	423	.	153403273	0.423	0.772	21	2679	153402394	153402781	153404777	153405166	208675734	153250000	153500000	0	2562	387	1996	immediate
SUPER_1	3594658	3598960	IR	413	.	3596805	0.413	0.969	284	4754	3594658	3596287	3597337	3598960	208675734	3350000	3600000	286	4113	1623	1050	immediate
SUPER_1	82646	204411	IR	413	.	143586	0.413	0.978	211	122003	82646	83660	203397	204429	208675734	0	250000	211	2392	1014	119737	wide
SUPER_1	21273584	21276258	IR	411	.	21274921	0.411	1.000	104	2752	21273584	21274065	21275777	21276258	208675734	21050000	21300000	104	3748	481	1712	immediate
SUPER_1	35484798	35487845	IR	390	.	35485965	0.390	0.801	42	3045	35484798	35485902	35486741	35487861	208675734	35450000	35700000	0	605	1104	839	immediate
SUPER_1	72785530	72787991	IR	390	.	72786761	0.390	0.914	29	2468	72785530	72786099	72787422	72788001	208675734	72550000	72800000	29	3945	569	1323	immediate
SUPER_1	60440128	60441627	IR	385	.	60440905	0.385	0.940	29	40885	60440128	60440195	60441564	60441627	208675734	60300000	60550000	198	2347	63	1369	immediate
SUPER_1	59251681	59340242	IR	382	.	59296274	0.382	0.949	29	88473	59251681	59251774	59340149	59340247	208675734	59150000	59400000	0	2432	93	88375	spaced
SUPER_1	98902557	98904596	IR	376	.	98903579	0.376	0.972	50	87749	98902557	98902699	98904455	98904596	208675734	98750000	99000000	599	2559	141	1756	immediate
SUPER_1	140170885	140175561	IR	374	.	140173223	0.374	0.999	274	5990	140170885	140172156	140174290	140175562	208675734	139950000	140200000	274	3720	1271	2134	spaced
SUPER_1	191781236	191970839	IR	374	.	191875594	0.374	0.977	41	189568	191781236	191781664	191970411	191970839	208675734	191750000	192000000	0	2100	428	188747	wide
SUPER_1	39066614	39066838	IR	365	.	39066766	0.365	0.854	32	45000	39066614	39066696	39066768	39066838	208675734	38900000	39150000	325	2778	70	72	immediate
SUPER_1	79337431	79340073	IR	360	.	79338752	0.360	0.997	79	2687	79337431	79337796	79339708	79340073	208675734	79100000	79350000	79	3979	365	1912	immediate
SUPER_1	208426153	208640847	IR	360	.	208533861	0.360	0.948	36	214673	208426153	208426673	208640327	208640847	208675734	208400000	208650000	0	2224	520	213654	wide
SUPER_1	133409317	133645722	IR	358	.	133527254	0.358	0.928	76	236382	133409317	133410359	133644681	133645722	208675734	133400000	133650000	0	2125	1041	234322	wide
SUPER_1	59912774	59915379	IR	357	.	59914076	0.357	0.946	72	2880	59912774	59913383	59914770	59915379	208675734	59700000	59950000	72	3567	609	1387	immediate
SUPER_1	47059748	47072734	IR	355	.	47066159	0.355	0.662	33	12942	47059748	47059819	47072687	47072734	208675734	46900000	47150000	384	2770	47	12868	spaced
SUPER_1	137622489	137786314	IR	354	.	137704902	0.354	0.400	155	163721	137622489	137668552	137740279	137786314	208675734	137550000	137800000	0	2573	46035	71727	spaced
SUPER_1	157747028	157879578	IR	352	.	157813507	0.352	0.758	27	132512	157747028	157747090	157879531	157879578	208675734	157700000	157950000	360	1888	47	132441	wide
SUPER_1	102936470	103019792	IR	352	.	102978495	0.352	0.840	26	83243	102936470	102936564	103019713	103019792	208675734	102800000	103050000	0	2968	79	83149	spaced
SUPER_1	48868258	49074249	IR	351	.	48971484	0.351	1.000	184	196378	48868258	48868275	49074232	49074249	208675734	48850000	49100000	1	2020	17	205957	wide
SUPER_1	94873436	94932330	IR	351	.	94902620	0.351	0.960	141	58872	94873436	94875136	94930633	94932330	208675734	94700000	94950000	0	3381	1697	55497	spaced
SUPER_1	47885142	48069896	IR	351	.	47977504	0.351	0.949	37	184772	47885142	47885198	48069840	48069899	208675734	47850000	48100000	422	2125	56	184642	wide
SUPER_1	127647044	127649240	IR	351	.	127647956	0.351	0.784	36	2119	127647044	127647160	127649149	127649240	208675734	127400000	127650000	454	4135	91	1989	immediate
SUPER_1	85115980	85147038	IR	351	.	85131735	0.351	0.909	20	31045	85115980	85116020	85146998	85147042	208675734	85000000	85250000	57	2191	40	30978	spaced
SUPER_1	86187771	86210952	IR	350	.	86199019	0.350	1.000	613	23163	86187771	86191252	86207471	86210952	208675734	86000000	86250000	0	3322	3481	16219	spaced
SUPER_1	37950013	38152715	IR	350	.	38051228	0.350	0.712	30	202664	37950013	37950070	38152658	38152738	208675734	37950000	38200000	463	1689	57	202588	wide
SUPER_1	12853390	13005011	IR	350	.	12929528	0.350	0.380	29	93239	12853390	12911858	12946590	13005011	208675734	12800000	13050000	0	2153	58421	34732	spaced
SUPER_1	58955452	59126881	IR	349	.	59041188	0.349	0.943	314	172797	58955452	58958518	59123827	59126881	208675734	58900000	59150000	314	2352	3054	165309	wide
SUPER_1	46595980	46666159	IR	348	.	46631576	0.348	0.178	37	70146	46595980	46596169	46666086	46666159	208675734	46550000	46800000	0	1351	73	69917	spaced
SUPER_1	48561053	48741847	IR	347	.	48651596	0.347	0.951	294	181928	48561053	48563805	48739095	48741863	208675734	48500000	48750000	295	2524	2752	175290	wide
SUPER_1	84844299	84983743	IR	347	.	84914492	0.347	0.970	159	139423	84844299	84845846	84982196	84983743	208675734	84750000	85000000	0	2733	1547	136350	wide
SUPER_1	13875868	14060117	IR	347	.	13967519	0.347	0.039	23	184211	13875868	13875906	14060079	14060186	208675734	13850000	14100000	0	1966	38	184173	wide
SUPER_1	46709859	46768207	IR	347	.	46739518	0.347	0.753	23	58321	46709859	46709948	46768140	46768207	208675734	46600000	46850000	0	2317	67	58192	spaced
SUPER_1	74108578	74222773	IR	346	.	74165707	0.346	0.992	424	114585	74108578	74110700	74220653	74222773	208675734	74000000	74250000	424	2761	2120	109953	wide
SUPER_1	37764322	37818533	IR	346	.	37791838	0.346	0.819	35	54143	37764322	37764405	37818465	37818533	208675734	37600000	37850000	0	3190	68	54060	spaced
SUPER_1	199198323	199362986	IR	345	.	199280505	0.345	0.903	32	170234	199198323	199198385	199362930	199362986	208675734	199150000	199400000	376	2177	56	164545	wide
SUPER_1	72958895	73172076	IR	345	.	73065921	0.345	0.500	21	213132	72958895	72958944	73172027	73172121	208675734	72950000	73200000	0	1924	49	213083	wide
SUPER_1	58368103	58505900	IR	344	.	58436811	0.344	0.932	244	138515	58368103	58370075	58503961	58505900	208675734	58300000	58550000	244	2283	1939	133886	wide
SUPER_1	85500498	85541215	IR	344	.	85520951	0.344	0.932	42	136984	85500498	85500566	85541147	85541220	208675734	85350000	85600000	506	2847	68	40581	spaced
SUPER_1	157545614	157676933	IR	344	.	157611309	0.344	0.549	42	132412	157545614	157545707	157676882	157676933	208675734	157500000	157750000	369	1854	51	131175	wide
SUPER_1	178565972	178634565	IR	344	.	178599875	0.344	0.378	42	68570	178565972	178600315	178600316	178634565	208675734	178500000	178750000	0	1671	34249	1	immediate
SUPER_1	73728211	73788723	IR	344	.	73758620	0.344	0.740	27	60468	73728211	73728268	73788666	73788743	208675734	73550000	73800000	299	3474	57	60398	spaced
SUPER_1	200132459	200205446	IR	343	.	200168957	0.343	0.974	228	73682	200132459	200134087	200203818	200205446	208675734	200000000	200250000	229	2815	1628	69731	spaced
SUPER_1	51446033	51642344	IR	343	.	51544483	0.343	0.384	47	148361	51446033	51494111	51594266	51642352	208675734	51400000	51650000	0	2403	48078	100155	wide
SUPER_1	38152610	38207887	IR	343	.	38180157	0.343	0.500	39	55325	38152610	38152726	38207825	38207887	208675734	38100000	38350000	535	1337	62	55099	spaced
SUPER_1	199507246	199688620	IR	343	.	199597572	0.343	0.646	25	181310	199507246	199507345	199688556	199688620	208675734	199450000	199700000	0	2465	64	181211	wide
SUPER_1	66599199	66690813	IR	343	.	66644601	0.343	0.381	22	91546	66599199	66619921	66670139	66690813	208675734	66550000	66800000	0	1583	20674	50218	spaced
SUPER_1	41851274	41893376	IR	342	.	41872151	0.342	0.977	180	42420	41851274	41852473	41892177	41893376	208675734	41700000	41950000	180	2871	1199	39704	spaced
SUPER_1	58149250	58231116	IR	342	.	58189791	0.342	0.965	165	81849	58149250	58151051	58229318	58231116	208675734	58000000	58250000	0	3169	1798	78267	spaced
SUPER_1	197439552	197468369	IR	342	.	197453737	0.342	0.952	107	29217	197439552	197440352	197467569	197468369	208675734	197250000	197500000	107	3399	800	27217	spaced
SUPER_1	26491434	26642274	IR	342	.	26567006	0.342	0.454	95	151156	26491434	26500014	26633721	26642274	208675734	26450000	26700000	220	1947	8553	133707	wide
SUPER_1	52874445	52949513	IR	342	.	52911551	0.342	0.434	43	75030	52874445	52874618	52949430	52949513	208675734	52800000	53050000	0	1866	83	74812	spaced
SUPER_1	9824711	9871692	IR	342	.	9848221	0.342	0.863	39	46972	9824711	9824791	9871623	9871692	208675734	9650000	9900000	566	3303	69	46832	spaced
SUPER_1	159507362	159712649	IR	342	.	159609571	0.342	0.383	22	116865	159507362	159595871	159624223	159712649	208675734	159500000	159750000	0	1833	88426	28352	spaced
SUPER_1	50135867	50246210	IR	342	.	50190645	0.342	0.885	21	110268	50135867	50135944	50246133	50246220	208675734	50000000	50250000	0	3183	77	110189	wide
SUPER_1	39268367	39285294	IR	341	.	39277308	0.341	0.980	38	16902	39268367	39268667	39284994	39285294	208675734	39250000	39500000	0	447	300	16327	spaced
SUPER_1	49956973	50000451	IR	341	.	49978375	0.341	0.769	31	43455	49956973	49957033	50000391	50000469	208675734	49850000	50100000	0	2145	60	43358	spaced
SUPER_1	168747768	168894369	IR	341	.	168820768	0.341	0.384	31	131967	168747768	168762635	168879598	168894369	208675734	168650000	168900000	0	2851	14771	116963	wide
SUPER_1	203136402	203194410	IR	341	.	203165190	0.341	0.623	31	57961	203136402	203136459	203194353	203194445	208675734	203050000	203300000	358	1923	57	57894	spaced
SUPER_1	189921158	189992699	IR	341	.	189957241	0.341	0.800	27	71458	189921158	189921241	189992616	189992716	208675734	189750000	190000000	0	3448	83	71375	spaced
SUPER_1	58651510	58862002	IR	341	.	58756269	0.341	0.383	24	194411	58651510	58667615	58845897	58862094	208675734	58650000	58900000	0	1779	16105	178282	wide
SUPER_1	36538369	36621136	IR	341	.	36579667	0.341	0.891	21	82707	36538369	36538426	36621079	36621143	208675734	36400000	36650000	186	2995	57	82653	spaced
SUPER_1	133013938	133126969	IR	340	.	133070135	0.340	0.946	67	112981	133013938	133014868	133126039	133126970	208675734	132900000	133150000	0	2840	930	111171	wide
SUPER_1	190065659	190081071	IR	340	.	190072933	0.340	0.916	52	15410	190065659	190066791	190079939	190081088	208675734	190050000	190300000	0	389	1132	13148	spaced
SUPER_1	61013416	61156089	IR	340	.	61084695	0.340	0.948	42	142819	61013416	61013959	61155546	61156089	208675734	60950000	61200000	42	2245	543	141587	wide
SUPER_1	37456974	37622458	IR	340	.	37539688	0.340	0.787	32	165427	37456974	37457063	37622388	37622458	208675734	37400000	37650000	359	2328	70	165325	wide
SUPER_1	189395616	189556014	IR	340	.	189476142	0.340	0.926	28	160308	189395616	189395703	189555927	189556021	208675734	189350000	189600000	0	2096	87	160224	wide
SUPER_1	35197850	35360656	IR	340	.	35279728	0.340	0.385	27	131409	35197850	35229309	35329240	35360656	208675734	35150000	35400000	0	2154	31416	99931	spaced
SUPER_1	190159679	190302833	IR	340	.	190231529	0.340	0.383	25	143110	190159679	190227215	190235315	190302833	208675734	190100000	190350000	0	2187	67518	8100	spaced
SUPER_1	14997943	15123951	IR	340	.	15060868	0.340	0.963	24	126009	14997943	14998240	15123654	15123951	208675734	14900000	15150000	24	2682	297	125414	wide
SUPER_1	50374174	50508741	IR	340	.	50441905	0.340	0.383	24	134489	50374174	50396321	50486611	50508741	208675734	50300000	50550000	0	2357	22130	90290	spaced
SUPER_1	182815829	182836964	IR	339	.	182826683	0.339	0.987	253	21118	182815829	182817299	182835494	182836980	208675734	182600000	182850000	0	3773	1470	18195	spaced
SUPER_1	48792075	48837891	IR	339	.	48814498	0.339	0.947	234	45737	48792075	48793483	48836483	48837933	208675734	48650000	48900000	0	2749	1408	43000	spaced
SUPER_1	87005754	87219644	IR	339	.	87112673	0.339	0.942	93	214063	87005754	87006829	87218569	87219644	208675734	87000000	87250000	93	1878	1075	211740	wide
SUPER_1	106770056	106806446	IR	339	.	106788179	0.339	0.955	66	42055	106770056	106770369	106806145	106806446	208675734	106600000	106850000	66	3137	301	35776	spaced
SUPER_1	36160767	36244728	IR	339	.	36202727	0.339	0.958	64	123991	36160767	36161381	36244114	36244728	208675734	36050000	36300000	64	2545	614	82733	spaced
SUPER_1	40029854	40095014	IR	339	.	40062017	0.339	0.614	37	65077	40029854	40029937	40094931	40095074	208675734	39850000	40100000	0	3540	83	64994	spaced
SUPER_1	180496199	180511660	IR	339	.	180503972	0.339	0.438	35	15406	180496199	180496247	180511612	180511706	208675734	180350000	180600000	468	2565	48	15365	spaced
SUPER_1	38712388	38811019	IR	339	.	38761689	0.339	0.629	31	98592	38712388	38712446	38810961	38811058	208675734	38700000	38950000	340	1028	58	98515	spaced
SUPER_1	36456348	36479235	IR	339	.	36467701	0.339	0.434	25	22882	36456348	36456425	36479197	36479235	208675734	36300000	36550000	118	2796	38	22772	spaced
SUPER_1	41488859	41507984	IR	339	.	41498237	0.339	0.826	22	19076	41488859	41488928	41507927	41507984	208675734	41350000	41600000	253	2473	57	18999	spaced
SUPER_1	85708151	85822570	IR	339	.	85764954	0.339	0.937	22	114345	85708151	85708225	85822496	85822575	208675734	85600000	85850000	0	2755	74	114271	wide
SUPER_1	7508114	7537554	IR	338	.	7523277	0.338	0.766	111	29420	7508114	7510055	7535629	7537554	208675734	7300000	7550000	0	3713	1925	25574	spaced
SUPER_1	131852206	132031013	IR	338	.	131941318	0.338	0.948	77	178781	131852206	131853156	132030063	132031013	208675734	131850000	132100000	0	1526	950	176907	wide
SUPER_1	86706290	86795691	IR	338	.	86750892	0.338	0.977	72	89476	86706290	86706764	86795223	86795691	208675734	86550000	86800000	74	3349	468	88459	spaced
SUPER_1	74266900	74357637	IR	338	.	74312402	0.338	0.804	39	90699	74266900	74266978	74357559	74357656	208675734	74150000	74400000	569	2704	78	90581	spaced
SUPER_1	168161073	168212706	IR	338	.	168186404	0.338	0.878	35	51607	168161073	168161604	168212189	168212706	208675734	168000000	168250000	0	3114	517	50585	spaced
SUPER_1	197534603	197638233	IR	338	.	197585980	0.338	0.383	29	103576	197534603	197582705	197590145	197638233	208675734	197400000	197650000	0	3106	48088	7440	spaced
SUPER_1	103567079	103706943	IR	338	.	103637491	0.338	0.906	26	139773	103567079	103567567	103706464	103706943	208675734	103500000	103750000	0	2283	479	138897	wide
SUPER_1	174112556	174126731	IR	338	.	174119241	0.338	0.730	23	14121	174112556	174112630	174126677	174126731	208675734	173900000	174150000	0	3660	54	14047	spaced
SUPER_1	49682829	49745290	IR	337	.	49714310	0.337	0.508	420	62479	49682829	49696420	49731699	49745326	208675734	49500000	49750000	0	3567	13591	35279	spaced
SUPER_1	34543885	34597011	IR	337	.	34570036	0.337	0.994	313	53100	34543885	34545741	34595156	34597011	208675734	34400000	34650000	0	2840	1855	49415	spaced
SUPER_1	9154378	9231113	IR	337	.	9192597	0.337	0.973	262	77002	9154378	9156181	9229310	9231116	208675734	9000000	9250000	263	3212	1803	73129	spaced
SUPER_1	190706556	190720284	IR	337	.	190713638	0.337	0.956	78	14170	190706556	190707199	190719647	190720284	208675734	190500000	190750000	78	3556	637	12448	spaced
SUPER_1	196439798	196631412	IR	337	.	196535250	0.337	0.946	59	191583	196439798	196440690	196630522	196631412	208675734	196400000	196650000	0	2259	890	189832	wide
SUPER_1	59457296	59478036	IR	337	.	59467753	0.337	0.913	38	20759	59457296	59457882	59477450	59478036	208675734	59450000	59700000	38	294	586	19568	spaced
SUPER_1	187952024	188043068	IR	337	.	187997372	0.337	0.952	37	91003	187952024	187952083	188043009	188043071	208675734	187800000	188050000	552	3292	59	90926	spaced
SUPER_1	73944046	73980971	IR	337	.	73962731	0.337	0.934	34	36887	73944046	73944107	73980914	73980971	208675734	73750000	74000000	296	3541	57	36807	spaced
SUPER_1	157211480	157410394	IR	337	.	157311274	0.337	0.783	34	198849	157211480	157211545	157410329	157410412	208675734	157200000	157450000	0	1848	65	198784	wide
SUPER_1	38423155	38507987	IR	337	.	38465575	0.337	0.847	29	84779	38423155	38423205	38507937	38507996	208675734	38400000	38650000	386	1092	50	84732	spaced
SUPER_1	150562511	150631064	IR	337	.	150596706	0.337	0.746	29	68554	150562511	150562570	150631020	150631064	208675734	150400000	150650000	319	3279	44	68450	spaced
